ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result
0,935539,500,,500,Wales,0.00,3.52,9,1,50,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2023-08-05T16:32:28Z,0,0,0,0,0,500,Wales,550,England,05/08/2023,17:30,6,9,20,9,0,0,4,Principality Stadium,-1,NA,1,2023,,,,0,,0,,1000536,Nic Berry,1000526,Mike Adamson,1000716,Andrea Piardi,1000646,Joy Neville,3,International,Y,W
1,935539,33844,Sam Costelow,500,Wales,0.00,3.52,9,1,50,35,82,8,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,0,,0,,0,,0,,0,,0,,32,42,28,0,2023-08-05T16:32:28Z,1,0,0,0,0,500,Wales,550,England,05/08/2023,17:30,6,9,20,9,0,0,4,Principality Stadium,-1,NA,1,2023,10,10,Fly Half,0,,0,,1000536,Nic Berry,1000526,Mike Adamson,1000716,Andrea Piardi,1000646,Joy Neville,3,International,Y,W
2,935539,22053,Lewis Ludlam,550,England,3.52,3.52,13,1,18,60,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2023-08-05T16:32:32Z,1,1,0,0,0,500,Wales,550,England,05/08/2023,17:30,6,9,20,9,0,0,4,Principality Stadium,-1,NA,1,2023,06,6,Blindside Flanker,0,,0,,1000536,Nic Berry,1000526,Mike Adamson,1000716,Andrea Piardi,1000646,Joy Neville,3,International,N,L
3,935539,0,,550,England,3.52,3.52,13,1,18,60,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2023-08-05T16:32:32Z,1,1,0,0,0,500,Wales,550,England,05/08/2023,17:30,6,9,20,9,0,0,4,Principality Stadium,-1,NA,1,2023,,,,0,,0,,1000536,Nic Berry,1000526,Mike Adamson,1000716,Andrea Piardi,1000646,Joy Neville,3,International,N,L
4,935539,22053,Lewis Ludlam,550,England,3.52,6.76,13,1,18,60,25,56,1,Carry,105,Restart Return,107,Tackled Dominant,109,Crossed Gain line,460,Dominant Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,7,7,7,3,2023-08-05T16:32:32Z,1,1,0,0,0,500,Wales,550,England,05/08/2023,17:30,6,9,20,9,0,0,4,Principality Stadium,-1,NA,1,2023,06,6,Blindside Flanker,0,,0,,1000536,Nic Berry,1000526,Mike Adamson,1000716,Andrea Piardi,1000646,Joy Neville,3,International,N,L
5,935539,29813,Rio Dyer,500,Wales,4.20,4.20,14,1,82,8,0,0,2,Tackle,142,Chase,161,Missed,0,,475,Ineffective Tackle,708,1st Tackler,0,,0,,0,,0,,0,,0,0,0,0,2023-08-05T16:32:32Z,1,1,0,0,0,500,Wales,550,England,05/08/2023,17:30,6,9,20,9,0,0,4,Principality Stadium,-1,NA,1,2023,11,11,Left Wing,0,,0,,1000536,Nic Berry,1000526,Mike Adamson,1000716,Andrea Piardi,1000646,Joy Neville,3,International,Y,W
6,935539,29813,Rio Dyer,500,Wales,4.20,4.20,14,1,82,8,0,0,12,Missed Tackle,162,Bumped Off,166,Tackled,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2023-08-05T16:32:32Z,1,1,0,0,0,500,Wales,550,England,05/08/2023,17:30,6,9,20,9,0,0,4,Principality Stadium,-1,NA,1,2023,11,11,Left Wing,0,,0,,1000536,Nic Berry,1000526,Mike Adamson,1000716,Andrea Piardi,1000646,Joy Neville,3,International,Y,W
7,935539,22053,Lewis Ludlam,550,England,4.60,4.60,14,1,18,60,0,0,10,Attacking Qualities,116,Defender Beaten,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2023-08-05T16:32:33Z,1,1,0,0,0,500,Wales,550,England,05/08/2023,17:30,6,9,20,9,0,0,4,Principality Stadium,-1,NA,1,2023,06,6,Blindside Flanker,0,,0,,1000536,Nic Berry,1000526,Mike Adamson,1000716,Andrea Piardi,1000646,Joy Neville,3,International,N,L
8,935539,38684,Christ Tshiunza,500,Wales,5.56,5.56,15,1,78,7,0,0,2,Tackle,142,Chase,160,Passive,441,Assist,475,Ineffective Tackle,709,2nd Tackler,0,,0,,0,,0,,0,,0,0,0,0,2023-08-05T16:32:34Z,1,1,0,0,0,500,Wales,550,England,05/08/2023,17:30,6,9,20,9,0,0,4,Principality Stadium,-1,NA,1,2023,06,6,Blindside Flanker,0,,0,,1000536,Nic Berry,1000526,Mike Adamson,1000716,Andrea Piardi,1000646,Joy Neville,3,International,Y,W
9,935539,24607,David Ribbans,550,England,6.12,6.12,15,1,22,61,0,0,10,Attacking Qualities,529,Snake,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2023-08-05T16:32:35Z,1,1,0,0,0,500,Wales,550,England,05/08/2023,17:30,6,9,20,9,0,0,4,Principality Stadium,-1,NA,1,2023,04,4,Lock (4),0,,0,,1000536,Nic Berry,1000526,Mike Adamson,1000716,Andrea Piardi,1000646,Joy Neville,3,International,N,L
10,935539,22053,Lewis Ludlam,550,England,6.76,15.60,16,1,25,56,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,670,Tight Right Blindside Movement Ruck,0,,0,,0,,0,,0,,0,0,-4,1,2023-08-05T16:32:35Z,1,1,0,0,0,500,Wales,550,England,05/08/2023,17:30,6,9,20,9,0,0,4,Principality Stadium,-1,NA,1,2023,06,6,Blindside Flanker,0,,0,,1000536,Nic Berry,1000526,Mike Adamson,1000716,Andrea Piardi,1000646,Joy Neville,3,International,N,L
11,935539,39808,Tom Pearson,550,England,7.64,7.64,17,1,25,56,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2023-08-05T16:32:27Z,1,1,0,0,0,500,Wales,550,England,05/08/2023,17:30,6,9,20,9,0,0,4,Principality Stadium,-1,NA,1,2023,07,7,Openside Flanker,0,,0,,1000536,Nic Berry,1000526,Mike Adamson,1000716,Andrea Piardi,1000646,Joy Neville,3,International,N,L
12,935539,22778,Ellis Genge,550,England,8.36,8.36,18,1,25,56,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2023-08-05T16:32:28Z,1,1,0,0,0,500,Wales,550,England,05/08/2023,17:30,6,9,20,9,0,0,4,Principality Stadium,-1,NA,1,2023,01,1,Loosehead Prop,0,,0,,1000536,Nic Berry,1000526,Mike Adamson,1000716,Andrea Piardi,1000646,Joy Neville,3,International,N,L
13,935539,27294,Jamie Blamire,550,England,10.28,10.28,20,1,25,56,0,0,43,Ruck OOA,575,Attended,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,3,0,,0,,0,,0,,0,,0,0,0,0,2023-08-05T16:32:30Z,1,1,0,0,0,500,Wales,550,England,05/08/2023,17:30,6,9,20,9,0,0,4,Principality Stadium,-1,NA,1,2023,02,2,Hooker,0,,0,,1000536,Nic Berry,1000526,Mike Adamson,1000716,Andrea Piardi,1000646,Joy Neville,3,International,N,L
14,935539,7635,Danny Care,550,England,15.60,15.60,25,1,24,56,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2023-08-05T16:32:44Z,2,1,0,0,0,500,Wales,550,England,05/08/2023,17:30,6,9,20,9,0,0,4,Principality Stadium,-1,NA,1,2023,09,9,Scrum Half,0,,0,,1000536,Nic Berry,1000526,Mike Adamson,1000716,Andrea Piardi,1000646,Joy Neville,3,International,N,L
15,935539,7635,Danny Care,550,England,15.60,15.60,25,1,24,56,0,0,47,Playmaker Options,671,Halfback at Breakdown,674,Playmaker Option - Kick,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2023-08-05T16:32:44Z,2,1,0,0,0,500,Wales,550,England,05/08/2023,17:30,6,9,20,9,0,0,4,Principality Stadium,-1,NA,1,2023,09,9,Scrum Half,0,,0,,1000536,Nic Berry,1000526,Mike Adamson,1000716,Andrea Piardi,1000646,Joy Neville,3,International,N,L
16,935539,7635,Danny Care,550,England,16.48,20.32,26,1,21,57,46,55,4,Kick,346,Box,198,Caught Full,186,Kick in Play (Own 22),0,,0,,0,,0,,0,,0,,0,,25,25,0,0,2023-08-05T16:32:45Z,2,1,0,0,0,500,Wales,550,England,05/08/2023,17:30,6,9,20,9,0,0,4,Principality Stadium,-1,NA,1,2023,09,9,Scrum Half,0,,0,,1000536,Nic Berry,1000526,Mike Adamson,1000716,Andrea Piardi,1000646,Joy Neville,3,International,N,L
17,935539,0,,550,England,3.52,20.32,30,1,18,60,46,55,15,Possession,307,50m Restart,351,Kick in Play,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,28,0,0,0,2023-08-05T16:32:32Z,2,1,0,0,0,500,Wales,550,England,05/08/2023,17:30,6,9,20,9,0,0,4,Principality Stadium,-1,NA,1,2023,,,,0,,0,,1000536,Nic Berry,1000526,Mike Adamson,1000716,Andrea Piardi,1000646,Joy Neville,3,International,N,L
