ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result
0,935542,600,,600,Ireland,0.00,4.12,3,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2023-08-19T16:31:13Z,0,0,0,0,0,600,Ireland,550,England,19/08/2023,17:30,12,3,29,10,0,0,117,Aviva Stadium,-1,NA,1,2023,,,,0,,0,,1000504,Paul Williams,1000493,Craig Evans,1000664,Adam Jones,1000485,Ben Whitehouse,3,International,Y,W
1,935542,21546,Ross Byrne,600,Ireland,0.00,4.12,3,1,50,34,83,58,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,0,,0,,0,,0,,0,,0,,33,41,25,0,2023-08-19T16:31:13Z,1,0,0,0,0,600,Ireland,550,England,19/08/2023,17:30,12,3,29,10,0,0,117,Aviva Stadium,-1,NA,1,2023,10,10,Fly Half,0,,0,,1000504,Paul Williams,1000493,Craig Evans,1000664,Adam Jones,1000485,Ben Whitehouse,3,International,Y,W
2,935542,18601,Billy Vunipola,550,England,4.12,4.12,7,1,17,10,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2023-08-19T16:31:17Z,1,1,0,0,0,600,Ireland,550,England,19/08/2023,17:30,12,3,29,10,0,0,117,Aviva Stadium,-1,NA,1,2023,08,8,Number 8,0,,0,,1000504,Paul Williams,1000493,Craig Evans,1000664,Adam Jones,1000485,Ben Whitehouse,3,International,N,L
3,935542,0,,550,England,4.12,4.12,7,1,17,10,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2023-08-19T16:31:17Z,1,1,0,0,0,600,Ireland,550,England,19/08/2023,17:30,12,3,29,10,0,0,117,Aviva Stadium,-1,NA,1,2023,,,,0,,0,,1000504,Paul Williams,1000493,Craig Evans,1000664,Adam Jones,1000485,Ben Whitehouse,3,International,N,L
4,935542,18601,Billy Vunipola,550,England,4.12,6.40,7,1,17,10,21,9,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,4,4,1,1,2023-08-19T16:31:17Z,1,1,0,0,0,600,Ireland,550,England,19/08/2023,17:30,12,3,29,10,0,0,117,Aviva Stadium,-1,NA,1,2023,08,8,Number 8,0,,0,,1000504,Paul Williams,1000493,Craig Evans,1000664,Adam Jones,1000485,Ben Whitehouse,3,International,N,L
5,935542,19657,Tadhg Beirne,600,Ireland,6.00,6.00,9,1,80,55,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,0,,0,,0,,0,,0,,0,0,0,0,2023-08-19T16:31:18Z,1,1,0,0,0,600,Ireland,550,England,19/08/2023,17:30,12,3,29,10,0,0,117,Aviva Stadium,-1,NA,1,2023,04,4,Lock (4),0,,0,,1000504,Paul Williams,1000493,Craig Evans,1000664,Adam Jones,1000485,Ben Whitehouse,3,International,Y,W
6,935542,10268,Peter O'Mahony,600,Ireland,6.04,6.04,9,1,80,55,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,0,,0,,0,,0,,0,,0,0,0,0,2023-08-19T16:31:19Z,1,1,0,0,0,600,Ireland,550,England,19/08/2023,17:30,12,3,29,10,0,0,117,Aviva Stadium,-1,NA,1,2023,06,6,Blindside Flanker,0,,0,,1000504,Paul Williams,1000493,Craig Evans,1000664,Adam Jones,1000485,Ben Whitehouse,3,International,Y,W
7,935542,18601,Billy Vunipola,550,England,6.40,13.60,9,1,21,9,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,668,Tight Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-2,1,2023-08-19T16:31:19Z,1,1,0,0,0,600,Ireland,550,England,19/08/2023,17:30,12,3,29,10,0,0,117,Aviva Stadium,-1,NA,1,2023,08,8,Number 8,0,,0,,1000504,Paul Williams,1000493,Craig Evans,1000664,Adam Jones,1000485,Ben Whitehouse,3,International,N,L
8,935542,20440,Maro Itoje,550,England,6.92,6.92,10,1,21,9,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2023-08-19T16:31:12Z,1,1,0,0,0,600,Ireland,550,England,19/08/2023,17:30,12,3,29,10,0,0,117,Aviva Stadium,-1,NA,1,2023,04,4,Lock (4),0,,0,,1000504,Paul Williams,1000493,Craig Evans,1000664,Adam Jones,1000485,Ben Whitehouse,3,International,N,L
9,935542,10187,Jamie George,550,England,7.60,7.60,10,1,21,9,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2023-08-19T16:31:13Z,1,1,0,0,0,600,Ireland,550,England,19/08/2023,17:30,12,3,29,10,0,0,117,Aviva Stadium,-1,NA,1,2023,02,2,Hooker,0,,0,,1000504,Paul Williams,1000493,Craig Evans,1000664,Adam Jones,1000485,Ben Whitehouse,3,International,N,L
