ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result
0,935824,700,,700,Scotland,0.00,3.52,5,1,50,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2023-08-26T16:30:55Z,0,0,0,0,0,700,Scotland,2850,Georgia,26/08/2023,17:30,0,6,33,6,0,0,5,Scottish Gas Murrayfield,-1,NA,1,2023,,,,0,,0,,241,Mathieu Raynal,1000438,Tual Trainini,1000567,Ludovic Cayre,1000489,Thomas Charabas,3,International,Y,W
1,935824,37753,Luka Matkava,2850,Georgia,0.00,3.52,5,1,50,35,72,9,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,752,Kicked Left,0,,0,,0,,0,,0,,0,,23,35,26,0,2023-08-26T16:30:55Z,1,0,0,0,0,700,Scotland,2850,Georgia,26/08/2023,17:30,0,6,33,6,0,0,5,Scottish Gas Murrayfield,-1,NA,1,2023,10,10,Fly Half,0,,0,,241,Mathieu Raynal,1000438,Tual Trainini,1000567,Ludovic Cayre,1000489,Thomas Charabas,3,International,N,L
2,935824,17125,Grant Gilchrist,700,Scotland,3.52,3.52,9,1,28,59,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2023-08-26T16:30:59Z,1,1,0,0,0,700,Scotland,2850,Georgia,26/08/2023,17:30,0,6,33,6,0,0,5,Scottish Gas Murrayfield,-1,NA,1,2023,05,5,Lock (5),0,,0,,241,Mathieu Raynal,1000438,Tual Trainini,1000567,Ludovic Cayre,1000489,Thomas Charabas,3,International,Y,W
3,935824,17125,Grant Gilchrist,700,Scotland,5.80,17.64,11,1,28,59,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,670,Tight Right Blindside Movement Ruck,0,,0,,0,,0,,0,,0,0,-3,1,2023-08-26T16:31:01Z,1,1,0,0,0,700,Scotland,2850,Georgia,26/08/2023,17:30,0,6,33,6,0,0,5,Scottish Gas Murrayfield,-1,NA,1,2023,05,5,Lock (5),0,,0,,241,Mathieu Raynal,1000438,Tual Trainini,1000567,Ludovic Cayre,1000489,Thomas Charabas,3,International,Y,W
4,935824,30035,Rory Darge,700,Scotland,6.68,6.68,12,1,28,59,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2023-08-26T16:30:50Z,1,1,0,0,0,700,Scotland,2850,Georgia,26/08/2023,17:30,0,6,33,6,0,0,5,Scottish Gas Murrayfield,-1,NA,1,2023,07,7,Openside Flanker,0,,0,,241,Mathieu Raynal,1000438,Tual Trainini,1000567,Ludovic Cayre,1000489,Thomas Charabas,3,International,Y,W
5,935824,21754,Jamie Ritchie,700,Scotland,7.04,7.04,12,1,28,59,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2023-08-26T16:30:50Z,1,1,0,0,0,700,Scotland,2850,Georgia,26/08/2023,17:30,0,6,33,6,0,0,5,Scottish Gas Murrayfield,-1,NA,1,2023,06,6,Blindside Flanker,0,,0,,241,Mathieu Raynal,1000438,Tual Trainini,1000567,Ludovic Cayre,1000489,Thomas Charabas,3,International,Y,W
6,935824,43932,Luka Ivanishvili,2850,Georgia,10.00,10.00,15,1,72,9,0,0,43,Ruck OOA,577,Not Clearing,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2023-08-26T16:30:53Z,1,1,0,0,0,700,Scotland,2850,Georgia,26/08/2023,17:30,0,6,33,6,0,0,5,Scottish Gas Murrayfield,-1,NA,1,2023,06,6,Blindside Flanker,0,,0,,241,Mathieu Raynal,1000438,Tual Trainini,1000567,Ludovic Cayre,1000489,Thomas Charabas,3,International,N,L
7,935824,22627,Sam Skinner,700,Scotland,11.08,11.08,16,1,28,59,0,0,43,Ruck OOA,575,Attended,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,3,0,,0,,0,,0,,0,,0,0,0,0,2023-08-26T16:30:54Z,1,1,0,0,0,700,Scotland,2850,Georgia,26/08/2023,17:30,0,6,33,6,0,0,5,Scottish Gas Murrayfield,-1,NA,1,2023,04,4,Lock (4),0,,0,,241,Mathieu Raynal,1000438,Tual Trainini,1000567,Ludovic Cayre,1000489,Thomas Charabas,3,International,Y,W
8,935824,23744,Ben White,700,Scotland,17.64,17.64,23,1,27,59,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2023-08-26T16:31:13Z,2,1,0,0,0,700,Scotland,2850,Georgia,26/08/2023,17:30,0,6,33,6,0,0,5,Scottish Gas Murrayfield,-1,NA,1,2023,09,9,Scrum Half,0,,0,,241,Mathieu Raynal,1000438,Tual Trainini,1000567,Ludovic Cayre,1000489,Thomas Charabas,3,International,Y,W
9,935824,23744,Ben White,700,Scotland,17.64,17.64,23,1,27,59,0,0,47,Playmaker Options,671,Halfback at Breakdown,674,Playmaker Option - Kick,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2023-08-26T16:31:13Z,2,1,0,0,0,700,Scotland,2850,Georgia,26/08/2023,17:30,0,6,33,6,0,0,5,Scottish Gas Murrayfield,-1,NA,1,2023,09,9,Scrum Half,0,,0,,241,Mathieu Raynal,1000438,Tual Trainini,1000567,Ludovic Cayre,1000489,Thomas Charabas,3,International,Y,W
