ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result
0,936531,650,,650,France,0.00,3.96,3,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-02-02T20:01:18Z,0,0,0,0,0,650,France,600,Ireland,02/02/2024,21:00,10,17,17,38,0,0,8,Orange Velodrome,-1,NA,1,2024,,,,0,,0,,1000725,Karl Dickson,1000398,Matthew Carley,1000544,Jordan Way,1000485,Ben Whitehouse,209,Six Nations,Y,L
1,936531,33614,Jack Crowley,600,Ireland,0.00,3.96,3,1,50,34,89,32,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,754,Kicked Straight,0,,0,,0,,0,,0,,0,,39,39,2,0,2024-02-02T20:01:18Z,1,0,0,0,0,650,France,600,Ireland,02/02/2024,21:00,10,17,17,38,0,0,8,Orange Velodrome,-1,NA,1,2024,10,10,Fly Half,0,,0,,1000725,Karl Dickson,1000398,Matthew Carley,1000544,Jordan Way,1000485,Ben Whitehouse,209,Six Nations,N,W
2,936531,20582,Charles Ollivon,650,France,3.96,3.96,7,1,11,36,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-02-02T20:01:22Z,1,1,0,0,0,650,France,600,Ireland,02/02/2024,21:00,10,17,17,38,0,0,8,Orange Velodrome,-1,NA,1,2024,07,7,Openside Flanker,0,,0,,1000725,Karl Dickson,1000398,Matthew Carley,1000544,Jordan Way,1000485,Ben Whitehouse,209,Six Nations,Y,L
3,936531,0,,650,France,3.96,3.96,7,1,11,36,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-02-02T20:01:22Z,1,1,0,0,0,650,France,600,Ireland,02/02/2024,21:00,10,17,17,38,0,0,8,Orange Velodrome,-1,NA,1,2024,,,,0,,0,,1000725,Karl Dickson,1000398,Matthew Carley,1000544,Jordan Way,1000485,Ben Whitehouse,209,Six Nations,Y,L
4,936531,20582,Charles Ollivon,650,France,3.96,5.40,7,1,11,36,12,37,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,1,1,0,0,2024-02-02T20:01:22Z,1,1,0,0,0,650,France,600,Ireland,02/02/2024,21:00,10,17,17,38,0,0,8,Orange Velodrome,-1,NA,1,2024,07,7,Openside Flanker,0,,0,,1000725,Karl Dickson,1000398,Matthew Carley,1000544,Jordan Way,1000485,Ben Whitehouse,209,Six Nations,Y,L
5,936531,23914,Hugo Keenan,600,Ireland,4.96,4.96,8,1,88,32,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,0,,0,,0,,0,,0,,0,0,0,0,2024-02-02T20:01:23Z,1,1,0,0,0,650,France,600,Ireland,02/02/2024,21:00,10,17,17,38,0,0,8,Orange Velodrome,-1,NA,1,2024,15,15,Full Back,0,,0,,1000725,Karl Dickson,1000398,Matthew Carley,1000544,Jordan Way,1000485,Ben Whitehouse,209,Six Nations,N,W
6,936531,20582,Charles Ollivon,650,France,5.40,10.04,8,1,12,37,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,556,4-5 Seconds,664,Close Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,1,8,2024-02-02T20:01:24Z,1,1,0,0,0,650,France,600,Ireland,02/02/2024,21:00,10,17,17,38,0,0,8,Orange Velodrome,-1,NA,1,2024,07,7,Openside Flanker,0,,0,,1000725,Karl Dickson,1000398,Matthew Carley,1000544,Jordan Way,1000485,Ben Whitehouse,209,Six Nations,Y,L
7,936531,19401,Jonathan Danty,650,France,5.92,5.92,9,1,12,37,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2024-02-02T20:01:20Z,1,1,0,0,0,650,France,600,Ireland,02/02/2024,21:00,10,17,17,38,0,0,8,Orange Velodrome,-1,NA,1,2024,12,12,Inside Centre,0,,0,,1000725,Karl Dickson,1000398,Matthew Carley,1000544,Jordan Way,1000485,Ben Whitehouse,209,Six Nations,Y,L
8,936531,24578,Peato Mauvaka,650,France,6.04,6.04,9,1,12,37,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2024-02-02T20:01:20Z,1,1,0,0,0,650,France,600,Ireland,02/02/2024,21:00,10,17,17,38,0,0,8,Orange Velodrome,-1,NA,1,2024,02,2,Hooker,0,,0,,1000725,Karl Dickson,1000398,Matthew Carley,1000544,Jordan Way,1000485,Ben Whitehouse,209,Six Nations,Y,L
9,936531,22244,Paul Gabrillagues,650,France,6.32,6.32,9,1,12,37,0,0,43,Ruck OOA,572,Cleaned Out,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,3,0,,0,,0,,0,,0,,0,0,0,0,2024-02-02T20:01:20Z,1,1,0,0,0,650,France,600,Ireland,02/02/2024,21:00,10,17,17,38,0,0,8,Orange Velodrome,-1,NA,1,2024,04,4,Lock (4),0,,0,,1000725,Karl Dickson,1000398,Matthew Carley,1000544,Jordan Way,1000485,Ben Whitehouse,209,Six Nations,Y,L
