ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result
0,936538,700,,700,Scotland,0.00,3.44,2,1,50,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-02-24T16:45:54Z,0,0,0,0,0,700,Scotland,550,England,24/02/2024,16:45,17,13,30,21,0,0,5,Scottish Gas Murrayfield,-1,NA,3,2024,,,,0,,0,,1000501,Andrew Brace,1000737,Chris Busby,1001179,Eoghan Cross,122,Marius Jonker,209,Six Nations,Y,W
1,936538,11041,George Ford,550,England,0.00,3.44,2,1,50,35,67,32,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,754,Kicked Straight,0,,0,,0,,0,,0,,0,,17,18,3,0,2024-02-24T16:45:54Z,1,0,0,0,0,700,Scotland,550,England,24/02/2024,16:45,17,13,30,21,0,0,5,Scottish Gas Murrayfield,-1,NA,3,2024,10,10,Fly Half,0,,0,,1000501,Andrew Brace,1000737,Chris Busby,1001179,Eoghan Cross,122,Marius Jonker,209,Six Nations,N,L
2,936538,23315,Blair Kinghorn,700,Scotland,3.44,3.44,5,1,33,36,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-02-24T16:45:57Z,1,1,0,0,0,700,Scotland,550,England,24/02/2024,16:45,17,13,30,21,0,0,5,Scottish Gas Murrayfield,-1,NA,3,2024,15,15,Full Back,0,,0,,1000501,Andrew Brace,1000737,Chris Busby,1001179,Eoghan Cross,122,Marius Jonker,209,Six Nations,Y,W
3,936538,23315,Blair Kinghorn,700,Scotland,3.44,5.12,5,1,33,36,36,37,1,Carry,105,Restart Return,122,Off Load,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,4,4,3,3,2024-02-24T16:45:57Z,1,1,0,0,0,700,Scotland,550,England,24/02/2024,16:45,17,13,30,21,0,0,5,Scottish Gas Murrayfield,-1,NA,3,2024,15,15,Full Back,0,,0,,1000501,Andrew Brace,1000737,Chris Busby,1001179,Eoghan Cross,122,Marius Jonker,209,Six Nations,Y,W
4,936538,23732,Ben Earl,550,England,4.48,4.48,6,1,66,31,0,0,2,Tackle,142,Chase,155,Offload Allowed,0,,474,Neutral Tackle,708,1st Tackler,0,,0,,0,,0,,0,,0,0,0,0,2024-02-24T16:45:58Z,1,1,0,0,0,700,Scotland,550,England,24/02/2024,16:45,17,13,30,21,0,0,5,Scottish Gas Murrayfield,-1,NA,3,2024,08,8,Number 8,0,,0,,1000501,Andrew Brace,1000737,Chris Busby,1001179,Eoghan Cross,122,Marius Jonker,209,Six Nations,N,L
5,936538,23315,Blair Kinghorn,700,Scotland,5.12,5.84,7,1,36,37,36,36,3,Pass,151,Offload,128,Own Player,679,Short Pass,681,Left Pass,700,0th Receiver,0,,0,,0,,0,,0,,1,1,1,0,2024-02-24T16:45:59Z,1,1,0,0,0,700,Scotland,550,England,24/02/2024,16:45,17,13,30,21,0,0,5,Scottish Gas Murrayfield,-1,NA,3,2024,15,15,Full Back,0,,0,,1000501,Andrew Brace,1000737,Chris Busby,1001179,Eoghan Cross,122,Marius Jonker,209,Six Nations,Y,W
6,936538,23331,Sione Tuipulotu,700,Scotland,5.84,5.84,8,1,36,36,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-02-24T16:45:59Z,1,1,0,0,0,700,Scotland,550,England,24/02/2024,16:45,17,13,30,21,0,0,5,Scottish Gas Murrayfield,-1,NA,3,2024,12,12,Inside Centre,0,,0,,1000501,Andrew Brace,1000737,Chris Busby,1001179,Eoghan Cross,122,Marius Jonker,209,Six Nations,Y,W
7,936538,23331,Sione Tuipulotu,700,Scotland,5.84,7.36,8,1,36,36,44,36,1,Carry,106,Support Carry,107,Tackled Dominant,109,Crossed Gain line,460,Dominant Contact,502,2 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,8,8,7,7,2024-02-24T16:45:59Z,1,1,0,0,0,700,Scotland,550,England,24/02/2024,16:45,17,13,30,21,0,0,5,Scottish Gas Murrayfield,-1,NA,3,2024,12,12,Inside Centre,0,,0,,1000501,Andrew Brace,1000737,Chris Busby,1001179,Eoghan Cross,122,Marius Jonker,209,Six Nations,Y,W
8,936538,9054,Dan Cole,550,England,7.20,7.20,9,1,63,32,0,0,2,Tackle,142,Chase,160,Passive,0,,475,Ineffective Tackle,708,1st Tackler,0,,0,,0,,0,,0,,0,0,0,0,2024-02-24T16:46:01Z,1,1,0,0,0,700,Scotland,550,England,24/02/2024,16:45,17,13,30,21,0,0,5,Scottish Gas Murrayfield,-1,NA,3,2024,03,3,Tighthead Prop,0,,0,,1000501,Andrew Brace,1000737,Chris Busby,1001179,Eoghan Cross,122,Marius Jonker,209,Six Nations,N,L
9,936538,34938,Ethan Roots,550,England,7.24,7.24,9,1,63,32,0,0,2,Tackle,142,Chase,160,Passive,441,Assist,475,Ineffective Tackle,709,2nd Tackler,0,,0,,0,,0,,0,,0,0,0,0,2024-02-24T16:46:01Z,1,1,0,0,0,700,Scotland,550,England,24/02/2024,16:45,17,13,30,21,0,0,5,Scottish Gas Murrayfield,-1,NA,3,2024,06,6,Blindside Flanker,0,,0,,1000501,Andrew Brace,1000737,Chris Busby,1001179,Eoghan Cross,122,Marius Jonker,209,Six Nations,N,L
