ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result
0,936544,600,,600,Ireland,0.00,4.00,0,1,49,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-03-16T16:46:17Z,0,0,0,0,0,600,Ireland,700,Scotland,16/03/2024,16:45,7,6,17,13,0,0,117,Aviva Stadium,-1,NA,5,2024,,,,0,,0,,1000398,Matthew Carley,1000725,Karl Dickson,1000576,Christophe Ridley,122,Marius Jonker,209,Six Nations,Y,W
1,936544,19647,Finn Russell,700,Scotland,0.00,4.00,0,1,49,35,85,52,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,0,,0,,0,,0,,0,,0,,36,40,18,0,2024-03-16T16:46:17Z,1,0,0,0,0,600,Ireland,700,Scotland,16/03/2024,16:45,7,6,17,13,0,0,117,Aviva Stadium,-1,NA,5,2024,10,10,Fly Half,0,,0,,1000398,Matthew Carley,1000725,Karl Dickson,1000576,Christophe Ridley,122,Marius Jonker,209,Six Nations,N,L
2,936544,24778,Caelan Doris,600,Ireland,4.00,4.00,4,1,15,16,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-03-16T16:46:21Z,1,1,0,0,0,600,Ireland,700,Scotland,16/03/2024,16:45,7,6,17,13,0,0,117,Aviva Stadium,-1,NA,5,2024,08,8,Number 8,0,,0,,1000398,Matthew Carley,1000725,Karl Dickson,1000576,Christophe Ridley,122,Marius Jonker,209,Six Nations,Y,W
3,936544,0,,600,Ireland,4.00,4.00,4,1,15,16,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-03-16T16:46:21Z,1,1,0,0,0,600,Ireland,700,Scotland,16/03/2024,16:45,7,6,17,13,0,0,117,Aviva Stadium,-1,NA,5,2024,,,,0,,0,,1000398,Matthew Carley,1000725,Karl Dickson,1000576,Christophe Ridley,122,Marius Jonker,209,Six Nations,Y,W
4,936544,24778,Caelan Doris,600,Ireland,4.00,6.04,4,1,15,16,18,18,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,4,4,2,2,2024-03-16T16:46:21Z,1,1,0,0,0,600,Ireland,700,Scotland,16/03/2024,16:45,7,6,17,13,0,0,117,Aviva Stadium,-1,NA,5,2024,08,8,Number 8,0,,0,,1000398,Matthew Carley,1000725,Karl Dickson,1000576,Christophe Ridley,122,Marius Jonker,209,Six Nations,Y,W
5,936544,28595,Kyle Steyn,700,Scotland,5.40,5.40,5,1,83,51,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,0,,0,,0,,0,,0,,0,0,0,0,2024-03-16T16:46:23Z,1,1,0,0,0,600,Ireland,700,Scotland,16/03/2024,16:45,7,6,17,13,0,0,117,Aviva Stadium,-1,NA,5,2024,14,14,Right Wing,0,,0,,1000398,Matthew Carley,1000725,Karl Dickson,1000576,Christophe Ridley,122,Marius Jonker,209,Six Nations,N,L
6,936544,22764,Scott Cummings,700,Scotland,5.80,5.80,6,1,83,51,0,0,40,Defensive Action,560,Tackle Arrival,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-03-16T16:46:23Z,1,1,0,0,0,600,Ireland,700,Scotland,16/03/2024,16:45,7,6,17,13,0,0,117,Aviva Stadium,-1,NA,5,2024,05,5,Lock (5),0,,0,,1000398,Matthew Carley,1000725,Karl Dickson,1000576,Christophe Ridley,122,Marius Jonker,209,Six Nations,N,L
7,936544,24778,Caelan Doris,600,Ireland,6.04,18.08,6,1,18,18,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,676,N/A Movement Ruck,0,,0,,0,,0,,0,,0,0,0,0,2024-03-16T16:46:23Z,1,1,0,0,0,600,Ireland,700,Scotland,16/03/2024,16:45,7,6,17,13,0,0,117,Aviva Stadium,-1,NA,5,2024,08,8,Number 8,0,,0,,1000398,Matthew Carley,1000725,Karl Dickson,1000576,Christophe Ridley,122,Marius Jonker,209,Six Nations,Y,W
8,936544,22764,Scott Cummings,700,Scotland,6.64,6.64,7,1,82,50,0,0,43,Ruck OOA,578,Got Cleaned Out,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2024-03-16T16:46:12Z,1,1,0,0,0,600,Ireland,700,Scotland,16/03/2024,16:45,7,6,17,13,0,0,117,Aviva Stadium,-1,NA,5,2024,05,5,Lock (5),0,,0,,1000398,Matthew Carley,1000725,Karl Dickson,1000576,Christophe Ridley,122,Marius Jonker,209,Six Nations,N,L
9,936544,31014,Dan Sheehan,600,Ireland,6.80,6.80,7,1,18,18,0,0,43,Ruck OOA,572,Cleaned Out,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2024-03-16T16:46:12Z,1,1,0,0,0,600,Ireland,700,Scotland,16/03/2024,16:45,7,6,17,13,0,0,117,Aviva Stadium,-1,NA,5,2024,02,2,Hooker,0,,0,,1000398,Matthew Carley,1000725,Karl Dickson,1000576,Christophe Ridley,122,Marius Jonker,209,Six Nations,Y,W
10,936544,36697,Joe McCarthy,600,Ireland,7.24,7.24,7,1,18,18,0,0,43,Ruck OOA,572,Cleaned Out,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2024-03-16T16:46:12Z,1,1,0,0,0,600,Ireland,700,Scotland,16/03/2024,16:45,7,6,17,13,0,0,117,Aviva Stadium,-1,NA,5,2024,04,4,Lock (4),0,,0,,1000398,Matthew Carley,1000725,Karl Dickson,1000576,Christophe Ridley,122,Marius Jonker,209,Six Nations,Y,W
11,936544,23299,Andrew Porter,600,Ireland,9.12,9.12,9,1,18,18,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,3,0,,0,,0,,0,,0,,0,0,0,0,2024-03-16T16:46:14Z,1,1,0,0,0,600,Ireland,700,Scotland,16/03/2024,16:45,7,6,17,13,0,0,117,Aviva Stadium,-1,NA,5,2024,01,1,Loosehead Prop,0,,0,,1000398,Matthew Carley,1000725,Karl Dickson,1000576,Christophe Ridley,122,Marius Jonker,209,Six Nations,Y,W
12,936544,19657,Tadhg Beirne,600,Ireland,12.64,12.64,13,1,18,18,0,0,43,Ruck OOA,574,Secured,586,Own Team 4th Entry,591,OOA Entry 4th Entry- Att,632,Attacking OOA,0,4,0,,0,,0,,0,,0,,0,0,0,0,2024-03-16T16:46:18Z,1,1,0,0,0,600,Ireland,700,Scotland,16/03/2024,16:45,7,6,17,13,0,0,117,Aviva Stadium,-1,NA,5,2024,05,5,Lock (5),0,,0,,1000398,Matthew Carley,1000725,Karl Dickson,1000576,Christophe Ridley,122,Marius Jonker,209,Six Nations,Y,W
