ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result
0,936863,951,,951,Romania,0.00,4.00,2,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,951,Romania,2950,USA,05/08/2023,20:00,0,19,17,31,0,0,142,Stadionul National Arcul de Triumf,-1,NA,1,2023,,,,0,,0,,1000525,Sam Grove-White,1000761,Hollie Davidson,1000665,Anthony Woodthorpe,1000384,Matteo Liperini,3,International,Y,L
1,936863,28402,Luke Carty,2950,USA,0.00,4.00,2,1,50,34,79,25,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,0,,0,,0,,0,,0,,0,,29,30,9,0,,1,0,0,0,0,951,Romania,2950,USA,05/08/2023,20:00,0,19,17,31,0,0,142,Stadionul National Arcul de Triumf,-1,NA,1,2023,10,10,Fly Half,0,,0,,1000525,Sam Grove-White,1000761,Hollie Davidson,1000665,Anthony Woodthorpe,1000384,Matteo Liperini,3,International,N,W
2,936863,8870,Mihai Macovei,951,Romania,4.00,4.00,6,1,22,43,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,0,0,0,951,Romania,2950,USA,05/08/2023,20:00,0,19,17,31,0,0,142,Stadionul National Arcul de Triumf,-1,NA,1,2023,06,6,Blindside Flanker,0,,0,,1000525,Sam Grove-White,1000761,Hollie Davidson,1000665,Anthony Woodthorpe,1000384,Matteo Liperini,3,International,Y,L
3,936863,0,,951,Romania,4.00,4.00,6,1,22,43,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,0,0,0,951,Romania,2950,USA,05/08/2023,20:00,0,19,17,31,0,0,142,Stadionul National Arcul de Triumf,-1,NA,1,2023,,,,0,,0,,1000525,Sam Grove-White,1000761,Hollie Davidson,1000665,Anthony Woodthorpe,1000384,Matteo Liperini,3,International,Y,L
4,936863,8870,Mihai Macovei,951,Romania,4.00,5.44,6,1,22,43,20,42,1,Carry,105,Restart Return,409,Tackled Ineffective,111,Failed Gain line,462,Ineffective Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,0,0,0,0,,1,1,0,0,0,951,Romania,2950,USA,05/08/2023,20:00,0,19,17,31,0,0,142,Stadionul National Arcul de Triumf,-1,NA,1,2023,06,6,Blindside Flanker,0,,0,,1000525,Sam Grove-White,1000761,Hollie Davidson,1000665,Anthony Woodthorpe,1000384,Matteo Liperini,3,International,Y,L
5,936863,17207,Greg Peterson,2950,USA,4.88,4.88,7,1,78,26,0,0,2,Tackle,142,Chase,159,Sack,0,,473,Dominant Tackle,708,1st Tackler,0,,0,,0,,0,,0,,0,0,0,0,,1,1,0,0,0,951,Romania,2950,USA,05/08/2023,20:00,0,19,17,31,0,0,142,Stadionul National Arcul de Triumf,-1,NA,1,2023,05,5,Lock (5),0,,0,,1000525,Sam Grove-White,1000761,Hollie Davidson,1000665,Anthony Woodthorpe,1000384,Matteo Liperini,3,International,N,W
6,936863,8870,Mihai Macovei,951,Romania,5.44,10.04,7,1,20,42,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,556,4-5 Seconds,664,Close Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-11,3,,1,1,0,0,0,951,Romania,2950,USA,05/08/2023,20:00,0,19,17,31,0,0,142,Stadionul National Arcul de Triumf,-1,NA,1,2023,06,6,Blindside Flanker,0,,0,,1000525,Sam Grove-White,1000761,Hollie Davidson,1000665,Anthony Woodthorpe,1000384,Matteo Liperini,3,International,Y,L
7,936863,17207,Greg Peterson,2950,USA,7.20,7.20,9,1,80,26,0,0,43,Ruck OOA,577,Not Clearing,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,,1,1,0,0,0,951,Romania,2950,USA,05/08/2023,20:00,0,19,17,31,0,0,142,Stadionul National Arcul de Triumf,-1,NA,1,2023,05,5,Lock (5),0,,0,,1000525,Sam Grove-White,1000761,Hollie Davidson,1000665,Anthony Woodthorpe,1000384,Matteo Liperini,3,International,N,W
8,936863,27535,Alexandru Savin,951,Romania,7.28,7.28,9,1,20,42,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,,1,1,0,0,0,951,Romania,2950,USA,05/08/2023,20:00,0,19,17,31,0,0,142,Stadionul National Arcul de Triumf,-1,NA,1,2023,01,1,Loosehead Prop,0,,0,,1000525,Sam Grove-White,1000761,Hollie Davidson,1000665,Anthony Woodthorpe,1000384,Matteo Liperini,3,International,Y,L
9,936863,37927,Cristi Boboc,951,Romania,7.56,7.56,10,1,20,42,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,,1,1,0,0,0,951,Romania,2950,USA,05/08/2023,20:00,0,19,17,31,0,0,142,Stadionul National Arcul de Triumf,-1,NA,1,2023,07,7,Openside Flanker,0,,0,,1000525,Sam Grove-White,1000761,Hollie Davidson,1000665,Anthony Woodthorpe,1000384,Matteo Liperini,3,International,Y,L
