ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result
0,937715,954,,954,Fiji,0.00,3.68,1,1,49,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,954,Fiji,750,Tonga,22/07/2023,15:00,26,15,36,20,0,0,72,Churchill Park,-1,NA,1,2022,,,,0,,0,,1000504,Paul Williams,1000678,James Doleman,1000688,Michael Winter,-1,,3,International,Y,W
1,937715,30799,Caleb Muntz,954,Fiji,0.00,3.68,1,1,49,35,76,55,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,753,Kicked Right,0,,0,,0,,0,,0,,0,,27,34,21,0,,1,0,0,-1,0,954,Fiji,750,Tonga,22/07/2023,15:00,26,15,36,20,0,0,72,Churchill Park,-1,NA,1,2022,10,10,Fly Half,0,,0,,1000504,Paul Williams,1000678,James Doleman,1000688,Michael Winter,-1,,3,International,Y,W
2,937715,21155,Vaea Fifita,750,Tonga,3.68,3.68,5,1,24,13,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,0,-1,0,954,Fiji,750,Tonga,22/07/2023,15:00,26,15,36,20,0,0,72,Churchill Park,-1,NA,1,2022,08,8,Number 8,0,,0,,1000504,Paul Williams,1000678,James Doleman,1000688,Michael Winter,-1,,3,International,N,L
3,937715,21155,Vaea Fifita,750,Tonga,3.68,6.84,5,1,24,13,24,13,1,Carry,105,Restart Return,108,Tackled Neutral,110,Neutral Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,0,0,0,0,,1,1,0,-1,0,954,Fiji,750,Tonga,22/07/2023,15:00,26,15,36,20,0,0,72,Churchill Park,-1,NA,1,2022,08,8,Number 8,0,,0,,1000504,Paul Williams,1000678,James Doleman,1000688,Michael Winter,-1,,3,International,N,L
4,937715,21371,Levani Botia,954,Fiji,4.72,4.72,6,1,76,55,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,0,,0,,0,,0,,0,,0,0,0,0,,1,1,0,-1,0,954,Fiji,750,Tonga,22/07/2023,15:00,26,15,36,20,0,0,72,Churchill Park,-1,NA,1,2022,07,7,Openside Flanker,0,,0,,1000504,Paul Williams,1000678,James Doleman,1000688,Michael Winter,-1,,3,International,Y,W
5,937715,21155,Vaea Fifita,750,Tonga,6.84,10.88,8,1,24,13,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,556,4-5 Seconds,676,N/A Movement Ruck,0,,0,,0,,0,,0,,0,0,0,0,,1,1,0,-1,0,954,Fiji,750,Tonga,22/07/2023,15:00,26,15,36,20,0,0,72,Churchill Park,-1,NA,1,2022,08,8,Number 8,0,,0,,1000504,Paul Williams,1000678,James Doleman,1000688,Michael Winter,-1,,3,International,N,L
6,937715,22726,Sam Lousi,750,Tonga,6.96,6.96,8,1,24,13,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,,1,1,0,-1,0,954,Fiji,750,Tonga,22/07/2023,15:00,26,15,36,20,0,0,72,Churchill Park,-1,NA,1,2022,05,5,Lock (5),0,,0,,1000504,Paul Williams,1000678,James Doleman,1000688,Michael Winter,-1,,3,International,N,L
7,937715,22136,Siegfried Fisi'ihoi,750,Tonga,7.12,7.12,8,1,24,13,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,,1,1,0,-1,0,954,Fiji,750,Tonga,22/07/2023,15:00,26,15,36,20,0,0,72,Churchill Park,-1,NA,1,2022,01,1,Loosehead Prop,0,,0,,1000504,Paul Williams,1000678,James Doleman,1000688,Michael Winter,-1,,3,International,N,L
8,937715,35331,Siua Maile,750,Tonga,9.12,9.12,10,1,24,13,0,0,43,Ruck OOA,575,Attended,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,3,0,,0,,0,,0,,0,,0,0,0,0,,1,1,0,-1,0,954,Fiji,750,Tonga,22/07/2023,15:00,26,15,36,20,0,0,72,Churchill Park,-1,NA,1,2022,02,2,Hooker,0,,0,,1000504,Paul Williams,1000678,James Doleman,1000688,Michael Winter,-1,,3,International,N,L
9,937715,20156,Sonatane Takulua,750,Tonga,10.88,10.88,12,1,24,13,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,2,1,0,-1,0,954,Fiji,750,Tonga,22/07/2023,15:00,26,15,36,20,0,0,72,Churchill Park,-1,NA,1,2022,09,9,Scrum Half,0,,0,,1000504,Paul Williams,1000678,James Doleman,1000688,Michael Winter,-1,,3,International,N,L
10,937715,20156,Sonatane Takulua,750,Tonga,10.88,10.88,12,1,24,13,0,0,47,Playmaker Options,671,Halfback at Breakdown,675,Playmaker Option - Pass,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,2,1,0,-1,0,954,Fiji,750,Tonga,22/07/2023,15:00,26,15,36,20,0,0,72,Churchill Park,-1,NA,1,2022,09,9,Scrum Half,0,,0,,1000504,Paul Williams,1000678,James Doleman,1000688,Michael Winter,-1,,3,International,N,L
11,937715,20156,Sonatane Takulua,750,Tonga,12.08,13.32,13,1,24,13,9,13,3,Pass,169,Complete,0,,679,Short Pass,687,Neutral Pass,700,0th Receiver,0,,0,,0,,0,,0,,0,15,15,0,,2,1,0,-1,0,954,Fiji,750,Tonga,22/07/2023,15:00,26,15,36,20,0,0,72,Churchill Park,-1,NA,1,2022,09,9,Scrum Half,0,,0,,1000504,Paul Williams,1000678,James Doleman,1000688,Michael Winter,-1,,3,International,N,L
12,937715,28913,Otumaka Mausia,750,Tonga,13.32,13.32,14,1,9,13,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,2,1,0,-1,0,954,Fiji,750,Tonga,22/07/2023,15:00,26,15,36,20,0,0,72,Churchill Park,-1,NA,1,2022,10,10,Fly Half,0,,0,,1000504,Paul Williams,1000678,James Doleman,1000688,Michael Winter,-1,,3,International,N,L
13,937715,0,,750,Tonga,13.32,13.32,14,1,9,13,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,2,1,0,-1,0,954,Fiji,750,Tonga,22/07/2023,15:00,26,15,36,20,0,0,72,Churchill Park,-1,NA,1,2022,,,,0,,0,,1000504,Paul Williams,1000678,James Doleman,1000688,Michael Winter,-1,,3,International,N,L
14,937715,28913,Otumaka Mausia,750,Tonga,13.32,13.32,14,1,9,13,0,0,47,Playmaker Options,656,First Receiver,674,Playmaker Option - Kick,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,2,1,0,-1,0,954,Fiji,750,Tonga,22/07/2023,15:00,26,15,36,20,0,0,72,Churchill Park,-1,NA,1,2022,10,10,Fly Half,0,,0,,1000504,Paul Williams,1000678,James Doleman,1000688,Michael Winter,-1,,3,International,N,L
15,937715,28913,Otumaka Mausia,750,Tonga,13.88,17.96,15,1,9,13,77,17,4,Kick,190,Territorial,198,Caught Full,186,Kick in Play (Own 22),0,,0,,0,,0,,0,,0,,0,,68,68,0,0,,2,1,0,-1,0,954,Fiji,750,Tonga,22/07/2023,15:00,26,15,36,20,0,0,72,Churchill Park,-1,NA,1,2022,10,10,Fly Half,0,,0,,1000504,Paul Williams,1000678,James Doleman,1000688,Michael Winter,-1,,3,International,N,L
16,937715,0,,750,Tonga,3.68,17.96,19,1,24,13,77,17,15,Possession,307,50m Restart,351,Kick in Play,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,53,0,0,0,,2,1,0,-1,0,954,Fiji,750,Tonga,22/07/2023,15:00,26,15,36,20,0,0,72,Churchill Park,-1,NA,1,2022,,,,0,,0,,1000504,Paul Williams,1000678,James Doleman,1000688,Michael Winter,-1,,3,International,N,L
17,937715,38792,Sireli Maqala,954,Fiji,17.96,17.96,19,1,23,51,0,0,18,Collection,273,Defensive Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,2,0,-1,0,954,Fiji,750,Tonga,22/07/2023,15:00,26,15,36,20,0,0,72,Churchill Park,-1,NA,1,2022,15,15,Full Back,0,,0,,1000504,Paul Williams,1000678,James Doleman,1000688,Michael Winter,-1,,3,International,Y,W
18,937715,38792,Sireli Maqala,954,Fiji,17.96,17.96,19,1,23,51,0,0,44,Counter Attack,619,Outcome - Kick To Opposition,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,2,0,-1,0,954,Fiji,750,Tonga,22/07/2023,15:00,26,15,36,20,0,0,72,Churchill Park,-1,NA,1,2022,15,15,Full Back,0,,0,,1000504,Paul Williams,1000678,James Doleman,1000688,Michael Winter,-1,,3,International,Y,W
19,937715,38792,Sireli Maqala,954,Fiji,17.96,19.92,19,1,23,51,26,46,1,Carry,104,Kick Return,121,Pass,109,Crossed Gain line,0,,500,0 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,4,4,0,0,,1,2,0,-1,0,954,Fiji,750,Tonga,22/07/2023,15:00,26,15,36,20,0,0,72,Churchill Park,-1,NA,1,2022,15,15,Full Back,0,,0,,1000504,Paul Williams,1000678,James Doleman,1000688,Michael Winter,-1,,3,International,Y,W
20,937715,38792,Sireli Maqala,954,Fiji,19.92,20.28,21,1,26,46,26,52,3,Pass,169,Complete,0,,686,Medium Pass,682,Right Pass,700,0th Receiver,0,,0,,0,,0,,0,,5,5,1,0,,1,2,0,-1,0,954,Fiji,750,Tonga,22/07/2023,15:00,26,15,36,20,0,0,72,Churchill Park,-1,NA,1,2022,15,15,Full Back,0,,0,,1000504,Paul Williams,1000678,James Doleman,1000688,Michael Winter,-1,,3,International,Y,W
21,937715,26863,Albert Tuisue,954,Fiji,20.28,20.28,21,1,26,52,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,2,0,-1,0,954,Fiji,750,Tonga,22/07/2023,15:00,26,15,36,20,0,0,72,Churchill Park,-1,NA,1,2022,08,8,Number 8,0,,0,,1000504,Paul Williams,1000678,James Doleman,1000688,Michael Winter,-1,,3,International,Y,W
22,937715,26863,Albert Tuisue,954,Fiji,20.28,24.36,21,1,26,52,45,56,1,Carry,104,Kick Return,107,Tackled Dominant,109,Crossed Gain line,460,Dominant Contact,502,2 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,19,20,1,1,,1,2,0,-1,0,954,Fiji,750,Tonga,22/07/2023,15:00,26,15,36,20,0,0,72,Churchill Park,-1,NA,1,2022,08,8,Number 8,0,,0,,1000504,Paul Williams,1000678,James Doleman,1000688,Michael Winter,-1,,3,International,Y,W
