ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result
0,938933,186,,186,Japan XV,0.00,4.00,1,1,49,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-06-29T10:01:36Z,0,0,0,0,0,186,Japan XV,4600,Maori All Blacks,29/06/2024,19:00,5,17,10,36,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,1,2023,,,,0,,0,,1001179,Eoghan Cross,1000565,Luc Ramos,1000630,Damian Schneider,1000231,Brian MacNeice,1,Tour Match,Y,L
1,938933,26760,Takuya Yamasawa,186,Japan XV,0.00,4.00,1,1,49,35,89,14,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,0,,0,,0,,0,,0,,0,,40,46,22,0,2024-06-29T10:01:36Z,1,0,1,0,0,186,Japan XV,4600,Maori All Blacks,29/06/2024,19:00,5,17,10,36,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,1,2023,10,10,Fly Half,0,,0,,1001179,Eoghan Cross,1000565,Luc Ramos,1000630,Damian Schneider,1000231,Brian MacNeice,1,Tour Match,Y,L
2,938933,33032,Cole Forbes,4600,Maori All Blacks,4.00,4.00,5,1,11,54,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-06-29T10:01:41Z,1,1,1,0,0,186,Japan XV,4600,Maori All Blacks,29/06/2024,19:00,5,17,10,36,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,1,2023,15,15,Full Back,0,,0,,1001179,Eoghan Cross,1000565,Luc Ramos,1000630,Damian Schneider,1000231,Brian MacNeice,1,Tour Match,N,W
3,938933,0,,4600,Maori All Blacks,4.00,4.00,5,1,11,54,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-06-29T10:01:41Z,1,1,1,0,0,186,Japan XV,4600,Maori All Blacks,29/06/2024,19:00,5,17,10,36,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,1,2023,,,,0,,0,,1001179,Eoghan Cross,1000565,Luc Ramos,1000630,Damian Schneider,1000231,Brian MacNeice,1,Tour Match,N,W
4,938933,33032,Cole Forbes,4600,Maori All Blacks,4.76,5.32,6,1,12,54,11,46,3,Pass,169,Complete,0,,686,Medium Pass,681,Left Pass,700,0th Receiver,0,,0,,0,,0,,0,,8,8,1,0,2024-06-29T10:01:41Z,1,1,1,0,0,186,Japan XV,4600,Maori All Blacks,29/06/2024,19:00,5,17,10,36,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,1,2023,15,15,Full Back,0,,0,,1001179,Eoghan Cross,1000565,Luc Ramos,1000630,Damian Schneider,1000231,Brian MacNeice,1,Tour Match,N,W
5,938933,34445,Cullen Grace,4600,Maori All Blacks,5.32,5.32,6,1,11,46,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-06-29T10:01:43Z,1,1,1,0,0,186,Japan XV,4600,Maori All Blacks,29/06/2024,19:00,5,17,10,36,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,1,2023,08,8,Number 8,0,,0,,1001179,Eoghan Cross,1000565,Luc Ramos,1000630,Damian Schneider,1000231,Brian MacNeice,1,Tour Match,N,W
6,938933,34445,Cullen Grace,4600,Maori All Blacks,5.32,7.96,6,1,11,46,16,49,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,4,5,1,1,2024-06-29T10:01:43Z,1,1,1,0,0,186,Japan XV,4600,Maori All Blacks,29/06/2024,19:00,5,17,10,36,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,1,2023,08,8,Number 8,0,,0,,1001179,Eoghan Cross,1000565,Luc Ramos,1000630,Damian Schneider,1000231,Brian MacNeice,1,Tour Match,N,W
7,938933,28920,Eishin Kuwano,186,Japan XV,6.72,6.72,8,1,86,21,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,0,,0,,0,,0,,0,,0,0,0,0,2024-06-29T10:01:43Z,1,1,1,0,0,186,Japan XV,4600,Maori All Blacks,29/06/2024,19:00,5,17,10,36,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,1,2023,04,4,Lock (4),0,,0,,1001179,Eoghan Cross,1000565,Luc Ramos,1000630,Damian Schneider,1000231,Brian MacNeice,1,Tour Match,Y,L
8,938933,23418,Shogo Miura,186,Japan XV,7.20,7.20,8,1,86,21,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,0,,0,,0,,0,,0,,0,0,0,0,2024-06-29T10:01:44Z,1,1,1,0,0,186,Japan XV,4600,Maori All Blacks,29/06/2024,19:00,5,17,10,36,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,1,2023,01,1,Loosehead Prop,0,,0,,1001179,Eoghan Cross,1000565,Luc Ramos,1000630,Damian Schneider,1000231,Brian MacNeice,1,Tour Match,Y,L
9,938933,34445,Cullen Grace,4600,Maori All Blacks,7.96,13.56,9,1,16,49,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,557,5-6 Seconds,663,Close Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-1,9,2024-06-29T10:01:45Z,1,1,1,0,0,186,Japan XV,4600,Maori All Blacks,29/06/2024,19:00,5,17,10,36,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,1,2023,08,8,Number 8,0,,0,,1001179,Eoghan Cross,1000565,Luc Ramos,1000630,Damian Schneider,1000231,Brian MacNeice,1,Tour Match,N,W
