ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result
0,941350,800,,800,Argentina,0.00,3.44,2,1,49,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-07-13T19:12:04Z,0,0,0,0,0,800,Argentina,650,France,13/07/2024,16:00,21,10,33,25,0,0,55,Estadio José Amalfitani,-1,NA,1,2024,,,,0,,0,,1000501,Andrew Brace,1000737,Chris Busby,1001179,Eoghan Cross,1000368,Quinton Immelman,3,International,Y,W
1,941350,28238,Santiago Carreras,800,Argentina,0.00,3.44,2,1,49,34,92,52,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,0,,0,,0,,0,,0,,0,,42,46,18,0,2024-07-13T19:12:04Z,1,0,1,0,0,800,Argentina,650,France,13/07/2024,16:00,21,10,33,25,0,0,55,Estadio José Amalfitani,-1,NA,1,2024,10,10,Fly Half,0,,0,,1000501,Andrew Brace,1000737,Chris Busby,1001179,Eoghan Cross,1000368,Quinton Immelman,3,International,Y,W
2,941350,20303,Baptiste Serin,650,France,3.44,3.44,6,1,8,16,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-07-13T19:12:07Z,1,1,1,0,0,800,Argentina,650,France,13/07/2024,16:00,21,10,33,25,0,0,55,Estadio José Amalfitani,-1,NA,1,2024,09,9,Scrum Half,0,,0,,1000501,Andrew Brace,1000737,Chris Busby,1001179,Eoghan Cross,1000368,Quinton Immelman,3,International,N,L
3,941350,0,,650,France,3.44,3.44,6,1,8,16,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-07-13T19:12:07Z,1,1,1,0,0,800,Argentina,650,France,13/07/2024,16:00,21,10,33,25,0,0,55,Estadio José Amalfitani,-1,NA,1,2024,,,,0,,0,,1000501,Andrew Brace,1000737,Chris Busby,1001179,Eoghan Cross,1000368,Quinton Immelman,3,International,N,L
4,941350,20303,Baptiste Serin,650,France,4.28,8.88,7,1,12,16,47,8,4,Kick,190,Territorial,199,Collected Bounce,186,Kick in Play (Own 22),0,,0,,0,,0,,0,,0,,0,,35,36,0,0,2024-07-13T19:12:08Z,1,1,1,0,0,800,Argentina,650,France,13/07/2024,16:00,21,10,33,25,0,0,55,Estadio José Amalfitani,-1,NA,1,2024,09,9,Scrum Half,0,,0,,1000501,Andrew Brace,1000737,Chris Busby,1001179,Eoghan Cross,1000368,Quinton Immelman,3,International,N,L
5,941350,0,,650,France,3.44,8.88,11,1,8,16,47,8,15,Possession,307,50m Restart,351,Kick in Play,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,39,0,0,0,2024-07-13T19:12:07Z,1,1,1,0,0,800,Argentina,650,France,13/07/2024,16:00,21,10,33,25,0,0,55,Estadio José Amalfitani,-1,NA,1,2024,,,,0,,0,,1000501,Andrew Brace,1000737,Chris Busby,1001179,Eoghan Cross,1000368,Quinton Immelman,3,International,N,L
6,941350,19775,Santiago Cordero,800,Argentina,8.88,8.88,11,1,53,60,0,0,18,Collection,274,Defensive Loose Ball,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-07-13T19:12:12Z,1,2,1,0,0,800,Argentina,650,France,13/07/2024,16:00,21,10,33,25,0,0,55,Estadio José Amalfitani,-1,NA,1,2024,15,15,Full Back,0,,0,,1000501,Andrew Brace,1000737,Chris Busby,1001179,Eoghan Cross,1000368,Quinton Immelman,3,International,Y,W
7,941350,19775,Santiago Cordero,800,Argentina,8.88,10.96,11,1,53,60,55,56,1,Carry,104,Kick Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,3,3,1,1,2024-07-13T19:12:12Z,1,2,1,0,0,800,Argentina,650,France,13/07/2024,16:00,21,10,33,25,0,0,55,Estadio José Amalfitani,-1,NA,1,2024,15,15,Full Back,0,,0,,1000501,Andrew Brace,1000737,Chris Busby,1001179,Eoghan Cross,1000368,Quinton Immelman,3,International,Y,W
8,941350,36653,Mickael Guillard,650,France,10.48,10.48,13,1,46,10,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,0,,0,,0,,0,,0,,0,0,0,0,2024-07-13T19:12:14Z,1,2,1,0,0,800,Argentina,650,France,13/07/2024,16:00,21,10,33,25,0,0,55,Estadio José Amalfitani,-1,NA,1,2024,04,4,Lock (4),0,,0,,1000501,Andrew Brace,1000737,Chris Busby,1001179,Eoghan Cross,1000368,Quinton Immelman,3,International,N,L
9,941350,39684,Lenni Nouchi,650,France,10.56,10.56,13,1,46,10,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,0,,0,,0,,0,,0,,0,0,0,0,2024-07-13T19:12:14Z,1,2,1,0,0,800,Argentina,650,France,13/07/2024,16:00,21,10,33,25,0,0,55,Estadio José Amalfitani,-1,NA,1,2024,06,6,Blindside Flanker,0,,0,,1000501,Andrew Brace,1000737,Chris Busby,1001179,Eoghan Cross,1000368,Quinton Immelman,3,International,N,L
10,941350,19775,Santiago Cordero,800,Argentina,10.96,13.00,13,1,55,56,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,554,2-3 Seconds,661,Mid Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-3,12,2024-07-13T19:12:15Z,1,2,1,0,0,800,Argentina,650,France,13/07/2024,16:00,21,10,33,25,0,0,55,Estadio José Amalfitani,-1,NA,1,2024,15,15,Full Back,0,,0,,1000501,Andrew Brace,1000737,Chris Busby,1001179,Eoghan Cross,1000368,Quinton Immelman,3,International,Y,W
11,941350,19761,Pablo Matera,800,Argentina,11.12,11.12,14,1,55,56,0,0,43,Ruck OOA,572,Cleaned Out,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2024-07-13T19:12:15Z,1,2,1,0,0,800,Argentina,650,France,13/07/2024,16:00,21,10,33,25,0,0,55,Estadio José Amalfitani,-1,NA,1,2024,06,6,Blindside Flanker,0,,0,,1000501,Andrew Brace,1000737,Chris Busby,1001179,Eoghan Cross,1000368,Quinton Immelman,3,International,Y,W
