ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result
0,941446,100,,100,Australia,0.00,4.08,0,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-07-13T09:56:10Z,0,0,0,0,0,100,Australia,500,Wales,13/07/2024,19:45,23,14,36,28,0,0,215,AAMI Park,-1,NA,1,2023,,,,0,,0,,1000823,Nika Amashukeli,1000398,Matthew Carley,1000545,Pierre Brousset,227,Glenn Newman,3,International,Y,W
1,941446,25826,Ben Thomas,500,Wales,0.00,4.08,0,1,50,34,76,33,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,754,Kicked Straight,0,,0,,0,,0,,0,,0,,26,26,1,0,2024-07-13T09:56:10Z,1,0,1,0,0,100,Australia,500,Wales,13/07/2024,19:45,23,14,36,28,0,0,215,AAMI Park,-1,NA,1,2023,10,10,Fly Half,0,,0,,1000823,Nika Amashukeli,1000398,Matthew Carley,1000545,Pierre Brousset,227,Glenn Newman,3,International,N,L
2,941446,33500,Tom Wright,100,Australia,4.08,4.08,4,1,24,35,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-07-13T09:56:14Z,1,1,1,0,0,100,Australia,500,Wales,13/07/2024,19:45,23,14,36,28,0,0,215,AAMI Park,-1,NA,1,2023,15,15,Full Back,0,,0,,1000823,Nika Amashukeli,1000398,Matthew Carley,1000545,Pierre Brousset,227,Glenn Newman,3,International,Y,W
3,941446,33500,Tom Wright,100,Australia,4.08,5.52,4,1,24,35,21,35,1,Carry,105,Restart Return,409,Tackled Ineffective,111,Failed Gain line,462,Ineffective Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,0,0,0,0,2024-07-13T09:56:14Z,1,1,1,0,0,100,Australia,500,Wales,13/07/2024,19:45,23,14,36,28,0,0,215,AAMI Park,-1,NA,1,2023,15,15,Full Back,0,,0,,1000823,Nika Amashukeli,1000398,Matthew Carley,1000545,Pierre Brousset,227,Glenn Newman,3,International,Y,W
4,941446,0,,100,Australia,4.96,4.96,5,1,22,35,0,0,45,Defensive Exits,629,Carried out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-07-13T09:56:15Z,1,1,1,0,0,100,Australia,500,Wales,13/07/2024,19:45,23,14,36,28,0,0,215,AAMI Park,-1,NA,1,2023,,,,0,,0,,1000823,Nika Amashukeli,1000398,Matthew Carley,1000545,Pierre Brousset,227,Glenn Newman,3,International,Y,W
5,941446,22744,Owen Watkin,500,Wales,5.00,5.00,5,1,78,33,0,0,2,Tackle,142,Chase,159,Sack,0,,473,Dominant Tackle,708,1st Tackler,0,,0,,0,,0,,0,,0,0,0,0,2024-07-13T09:56:15Z,1,1,1,0,0,100,Australia,500,Wales,13/07/2024,19:45,23,14,36,28,0,0,215,AAMI Park,-1,NA,1,2023,13,13,Outside Centre,0,,0,,1000823,Nika Amashukeli,1000398,Matthew Carley,1000545,Pierre Brousset,227,Glenn Newman,3,International,N,L
6,941446,33500,Tom Wright,100,Australia,5.52,9.24,5,1,21,35,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,555,3-4 Seconds,663,Close Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,1,5,2024-07-13T09:56:15Z,1,1,1,0,0,100,Australia,500,Wales,13/07/2024,19:45,23,14,36,28,0,0,215,AAMI Park,-1,NA,1,2023,15,15,Full Back,0,,0,,1000823,Nika Amashukeli,1000398,Matthew Carley,1000545,Pierre Brousset,227,Glenn Newman,3,International,Y,W
7,941446,35943,Charlie Cale,100,Australia,6.40,6.40,6,1,21,35,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2024-07-13T09:56:16Z,1,1,1,0,0,100,Australia,500,Wales,13/07/2024,19:45,23,14,36,28,0,0,215,AAMI Park,-1,NA,1,2023,08,8,Number 8,0,,0,,1000823,Nika Amashukeli,1000398,Matthew Carley,1000545,Pierre Brousset,227,Glenn Newman,3,International,Y,W
8,941446,32110,Josh Flook,100,Australia,6.44,6.44,6,1,21,35,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2024-07-13T09:56:16Z,1,1,1,0,0,100,Australia,500,Wales,13/07/2024,19:45,23,14,36,28,0,0,215,AAMI Park,-1,NA,1,2023,13,13,Outside Centre,0,,0,,1000823,Nika Amashukeli,1000398,Matthew Carley,1000545,Pierre Brousset,227,Glenn Newman,3,International,Y,W
9,941446,25639,Matt Faessler,100,Australia,7.44,7.44,7,1,21,35,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,3,0,,0,,0,,0,,0,,0,0,0,0,2024-07-13T09:56:17Z,1,1,1,0,0,100,Australia,500,Wales,13/07/2024,19:45,23,14,36,28,0,0,215,AAMI Park,-1,NA,1,2023,02,2,Hooker,0,,0,,1000823,Nika Amashukeli,1000398,Matthew Carley,1000545,Pierre Brousset,227,Glenn Newman,3,International,Y,W
