ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,941451,850,,850,New Zealand,0.00,3.32,5,1,49,33,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-08-17T07:06:57Z,0,0,0,0,0,850,New Zealand,800,Argentina,17/08/2024,19:05,35,3,42,10,0,0,58,Eden Park,-1,NA,2,2024,,,,0,,0,,1000716,Andrea Piardi,271,Angus Gardner,1000536,Nic Berry,122,Marius Jonker,214,The Rugby Championship,Y,W,0,,0,
1,941451,28238,Santiago Carreras,800,Argentina,0.00,3.32,5,1,49,33,90,24,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,41,42,9,0,2024-08-17T07:06:57Z,1,0,1,0,0,850,New Zealand,800,Argentina,17/08/2024,19:05,35,3,42,10,0,0,58,Eden Park,-1,NA,2,2024,10,10,Fly Half,0,,0,,1000716,Andrea Piardi,271,Angus Gardner,1000536,Nic Berry,122,Marius Jonker,214,The Rugby Championship,N,L,0,,0,
2,941451,21740,Damian McKenzie,850,New Zealand,3.32,3.32,8,1,11,44,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-08-17T07:07:00Z,1,1,1,0,0,850,New Zealand,800,Argentina,17/08/2024,19:05,35,3,42,10,0,0,58,Eden Park,-1,NA,2,2024,10,10,Fly Half,0,,0,,1000716,Andrea Piardi,271,Angus Gardner,1000536,Nic Berry,122,Marius Jonker,214,The Rugby Championship,Y,W,0,,0,
3,941451,0,,850,New Zealand,3.32,3.32,8,1,11,44,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,30,0,0,0,2024-08-17T07:07:00Z,1,1,1,0,0,850,New Zealand,800,Argentina,17/08/2024,19:05,35,3,42,10,0,0,58,Eden Park,-1,NA,2,2024,,,,0,,0,,1000716,Andrea Piardi,271,Angus Gardner,1000536,Nic Berry,122,Marius Jonker,214,The Rugby Championship,Y,W,0,,0,
4,941451,21740,Damian McKenzie,850,New Zealand,4.80,8.60,10,1,13,45,40,68,4,Kick,347,Touch Kick,193,Kick in Touch (Full),186,Kick in Play (Own 22),0,,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,28,36,0,0,2024-08-17T07:07:01Z,1,1,1,0,0,850,New Zealand,800,Argentina,17/08/2024,19:05,35,3,42,10,0,0,58,Eden Park,-1,NA,2,2024,10,10,Fly Half,0,,0,,1000716,Andrea Piardi,271,Angus Gardner,1000536,Nic Berry,122,Marius Jonker,214,The Rugby Championship,Y,W,0,,0,
5,941451,0,,800,Argentina,0.00,8.60,14,1,49,33,60,0,26,Sequences,307,50m Restart,315,Kick Out of Play,0,,0,,0,,0,,0,,0,,0,,0,,11,0,0,0,2024-08-17T07:06:57Z,1,1,1,0,0,850,New Zealand,800,Argentina,17/08/2024,19:05,35,3,42,10,0,0,58,Eden Park,-1,NA,2,2024,,,,0,,0,,1000716,Andrea Piardi,271,Angus Gardner,1000536,Nic Berry,122,Marius Jonker,214,The Rugby Championship,N,L,0,,0,
6,941451,0,,850,New Zealand,3.32,8.60,14,1,11,44,40,68,15,Possession,307,50m Restart,315,Kick Out of Play,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,30,0,0,0,2024-08-17T07:07:00Z,1,1,1,0,0,850,New Zealand,800,Argentina,17/08/2024,19:05,35,3,42,10,0,0,58,Eden Park,-1,NA,2,2024,,,,0,,0,,1000716,Andrea Piardi,271,Angus Gardner,1000536,Nic Berry,122,Marius Jonker,214,The Rugby Championship,Y,W,0,,0,
7,941451,20776,Julian Montoya,800,Argentina,23.84,25.56,29,1,60,0,59,8,6,Lineout Throw,372,Throw Middle,376,Won Clean Catch,211,Off The Top,0,5,662,Mid Right Open Movement Lineout,730,5 Players,724,Halfback in Position,0,,0,,0,,8,0,-1,22,2024-08-17T07:07:20Z,1,2,2,0,0,850,New Zealand,800,Argentina,17/08/2024,19:05,35,3,42,10,0,0,58,Eden Park,-1,NA,2,2024,02,2,Hooker,0,,0,,1000716,Andrea Piardi,271,Angus Gardner,1000536,Nic Berry,122,Marius Jonker,214,The Rugby Championship,N,L,19761,Pablo Matera,800,Argentina
8,941451,19761,Pablo Matera,800,Argentina,25.56,25.56,31,1,59,8,0,0,27,Lineout Take,387,Lineout Win Middle,376,Won Clean,211,Off The Top,396,Clean Catch,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-08-17T07:07:22Z,1,2,2,0,0,850,New Zealand,800,Argentina,17/08/2024,19:05,35,3,42,10,0,0,58,Eden Park,-1,NA,2,2024,06,6,Blindside Flanker,0,,0,,1000716,Andrea Piardi,271,Angus Gardner,1000536,Nic Berry,122,Marius Jonker,214,The Rugby Championship,N,L,20776,Julian Montoya,800,Argentina
9,941451,19761,Pablo Matera,800,Argentina,25.80,26.72,31,1,59,8,55,8,3,Pass,169,Complete,0,,679,Short Pass,687,Neutral Pass,700,0th Receiver,0,,0,,0,,0,,0,,0,5,5,0,2024-08-17T07:07:22Z,1,2,2,0,0,850,New Zealand,800,Argentina,17/08/2024,19:05,35,3,42,10,0,0,58,Eden Park,-1,NA,2,2024,06,6,Blindside Flanker,0,,0,,1000716,Andrea Piardi,271,Angus Gardner,1000536,Nic Berry,122,Marius Jonker,214,The Rugby Championship,N,L,23457,Gonzalo Bertranou,800,Argentina
10,941451,23457,Gonzalo Bertranou,800,Argentina,26.72,26.72,32,1,55,8,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-08-17T07:07:23Z,1,2,2,0,0,850,New Zealand,800,Argentina,17/08/2024,19:05,35,3,42,10,0,0,58,Eden Park,-1,NA,2,2024,09,9,Scrum Half,0,,0,,1000716,Andrea Piardi,271,Angus Gardner,1000536,Nic Berry,122,Marius Jonker,214,The Rugby Championship,N,L,0,,0,
11,941451,23457,Gonzalo Bertranou,800,Argentina,26.76,27.88,32,1,54,11,52,23,3,Pass,169,Complete,0,,686,Medium Pass,682,Right Pass,701,1st Receiver,0,,0,,0,,0,,0,,12,13,3,0,2024-08-17T07:07:23Z,1,2,2,0,0,850,New Zealand,800,Argentina,17/08/2024,19:05,35,3,42,10,0,0,58,Eden Park,-1,NA,2,2024,09,9,Scrum Half,0,,0,,1000716,Andrea Piardi,271,Angus Gardner,1000536,Nic Berry,122,Marius Jonker,214,The Rugby Championship,N,L,28238,Santiago Carreras,800,Argentina
