ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,941549,954,,954,Fiji,0.00,3.08,4,1,50,33,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-09-14T10:05:20Z,0,0,0,0,0,954,Fiji,2950,USA,14/09/2024,19:05,10,3,22,3,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,5,2024,,,,0,,0,,1000493,Craig Evans,1000761,Hollie Davidson,1000525,Sam Grove-White,1000438,Tual Trainini,219,Pacific Nations Cup,Y,W,0,,0,,
1,941549,30799,Caleb Muntz,954,Fiji,0.00,3.08,4,1,50,33,70,58,14,Restart,281,50m Restart,285,Restart Opp Error,289,Short,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,20,33,26,0,2024-09-14T10:05:20Z,1,1,1,0,0,954,Fiji,2950,USA,14/09/2024,19:05,10,3,22,3,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,5,2024,10,10,Fly Half,0,,0,,1000493,Craig Evans,1000761,Hollie Davidson,1000525,Sam Grove-White,1000438,Tual Trainini,219,Pacific Nations Cup,Y,W,0,,0,,
2,941549,38021,Jason Damm,2950,USA,3.08,3.08,7,1,30,10,0,0,18,Collection,275,Restart Catch,278,Fail,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-09-14T10:05:23Z,1,1,1,0,0,954,Fiji,2950,USA,14/09/2024,19:05,10,3,22,3,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,5,2024,05,5,Lock (5),0,,0,,1000493,Craig Evans,1000761,Hollie Davidson,1000525,Sam Grove-White,1000438,Tual Trainini,219,Pacific Nations Cup,N,L,0,,0,,
3,941549,38021,Jason Damm,2950,USA,3.52,3.52,8,1,25,0,0,0,8,Turnover,253,Carried in Touch,678,Error on Defence,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-09-14T10:05:23Z,1,1,1,0,0,954,Fiji,2950,USA,14/09/2024,19:05,10,3,22,3,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,5,2024,05,5,Lock (5),0,,0,,1000493,Craig Evans,1000761,Hollie Davidson,1000525,Sam Grove-White,1000438,Tual Trainini,219,Pacific Nations Cup,N,L,0,,0,,
4,941549,0,,954,Fiji,0.00,7.04,11,1,50,33,75,68,15,Possession,350,50m Restart Retained,415,Own Lineout,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,24,0,0,0,2024-09-14T10:05:20Z,1,1,1,0,0,954,Fiji,2950,USA,14/09/2024,19:05,10,3,22,3,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,5,2024,,,,0,,0,,1000493,Craig Evans,1000761,Hollie Davidson,1000525,Sam Grove-White,1000438,Tual Trainini,219,Pacific Nations Cup,Y,W,0,,0,,
5,941549,0,,954,Fiji,0.00,7.04,11,1,50,33,75,68,26,Sequences,307,50m Restart,415,Own Lineout,0,,0,,0,,0,,0,,0,,0,,0,,24,0,0,0,2024-09-14T10:05:20Z,1,1,1,0,0,954,Fiji,2950,USA,14/09/2024,19:05,10,3,22,3,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,5,2024,,,,0,,0,,1000493,Craig Evans,1000761,Hollie Davidson,1000525,Sam Grove-White,1000438,Tual Trainini,219,Pacific Nations Cup,Y,W,0,,0,,
6,941549,34455,Tevita Ikanivere,954,Fiji,25.36,29.12,30,1,75,68,74,49,6,Lineout Throw,373,Throw Back,380,Won Other,420,Catch and Run,0,6+1,676,N/A Movement Lineout,731,6 Players,725,Forward at Halfback (+1),0,,0,,0,,19,0,0,0,2024-09-14T10:05:45Z,1,2,2,0,0,954,Fiji,2950,USA,14/09/2024,19:05,10,3,22,3,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,5,2024,02,2,Hooker,0,,0,,1000493,Craig Evans,1000761,Hollie Davidson,1000525,Sam Grove-White,1000438,Tual Trainini,219,Pacific Nations Cup,Y,W,0,,0,,
7,941549,35673,Kitione Salawa,954,Fiji,29.12,29.12,33,1,74,49,0,0,18,Collection,272,Attacking Loose Ball,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-09-14T10:05:49Z,1,2,2,0,0,954,Fiji,2950,USA,14/09/2024,19:05,10,3,22,3,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,5,2024,07,7,Openside Flanker,0,,0,,1000493,Craig Evans,1000761,Hollie Davidson,1000525,Sam Grove-White,1000438,Tual Trainini,219,Pacific Nations Cup,Y,W,0,,0,,
8,941549,35673,Kitione Salawa,954,Fiji,29.12,34.12,33,1,74,49,78,49,1,Carry,103,Other Carry,122,Off Load,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,4,5,2,2,2024-09-14T10:05:49Z,1,2,2,0,0,954,Fiji,2950,USA,14/09/2024,19:05,10,3,22,3,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,5,2024,07,7,Openside Flanker,0,,0,,1000493,Craig Evans,1000761,Hollie Davidson,1000525,Sam Grove-White,1000438,Tual Trainini,219,Pacific Nations Cup,Y,W,38094,Cory Daniel,2950,USA,9
9,941549,38094,Cory Daniel,2950,USA,30.00,30.00,34,1,24,19,0,0,2,Tackle,144,Line,155,Offload Allowed,0,,474,Neutral Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2024-09-14T10:05:50Z,1,2,2,0,0,954,Fiji,2950,USA,14/09/2024,19:05,10,3,22,3,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,5,2024,07,7,Openside Flanker,0,,0,,1000493,Craig Evans,1000761,Hollie Davidson,1000525,Sam Grove-White,1000438,Tual Trainini,219,Pacific Nations Cup,N,L,35673,Kitione Salawa,954,Fiji,8
