ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,941791,600,,600,Ireland,0.00,3.08,1,1,50,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-02-01T16:46:58Z,0,0,0,0,0,600,Ireland,550,England,01/02/2025,16:45,5,10,27,22,0,0,117,Aviva Stadium,-1,NA,1,2025,,,,0,,0,,1000428,Ben O'Keeffe,1000678,James Doleman,1000761,Hollie Davidson,227,Glenn Newman,209,Six Nations,Y,W,0,,0,
1,941791,26046,Marcus Smith,550,England,0.00,3.08,1,1,50,35,65,39,14,Restart,281,50m Restart,284,Restart Retained,289,Short,754,Kicked Straight,0,,0,,0,,0,,0,,0,,15,15,4,0,2025-02-01T16:46:58Z,1,0,1,0,0,600,Ireland,550,England,01/02/2025,16:45,5,10,27,22,0,0,117,Aviva Stadium,-1,NA,1,2025,10,10,Fly Half,0,,0,,1000428,Ben O'Keeffe,1000678,James Doleman,1000761,Hollie Davidson,227,Glenn Newman,209,Six Nations,N,L,0,,0,
2,941791,33914,Freddie Steward,550,England,3.08,3.08,4,1,65,39,0,0,18,Collection,437,Tap Back,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-02-01T16:47:01Z,1,0,1,0,0,600,Ireland,550,England,01/02/2025,16:45,5,10,27,22,0,0,117,Aviva Stadium,-1,NA,1,2025,15,15,Full Back,0,,0,,1000428,Ben O'Keeffe,1000678,James Doleman,1000761,Hollie Davidson,227,Glenn Newman,209,Six Nations,N,L,0,,0,
3,941791,33914,Freddie Steward,550,England,3.08,3.32,4,1,65,39,65,37,3,Pass,169,Complete,0,,679,Short Pass,681,Left Pass,700,0th Receiver,0,,0,,0,,0,,0,,1,1,0,0,2025-02-01T16:47:01Z,1,0,1,0,0,600,Ireland,550,England,01/02/2025,16:45,5,10,27,22,0,0,117,Aviva Stadium,-1,NA,1,2025,15,15,Full Back,0,,0,,1000428,Ben O'Keeffe,1000678,James Doleman,1000761,Hollie Davidson,227,Glenn Newman,209,Six Nations,N,L,25981,Ben Curry,550,England
4,941791,25981,Ben Curry,550,England,3.32,3.32,4,1,65,37,0,0,18,Collection,272,Attacking Loose Ball,278,Fail,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-02-01T16:47:01Z,1,0,1,0,0,600,Ireland,550,England,01/02/2025,16:45,5,10,27,22,0,0,117,Aviva Stadium,-1,NA,1,2025,07,7,Openside Flanker,0,,0,,1000428,Ben O'Keeffe,1000678,James Doleman,1000761,Hollie Davidson,227,Glenn Newman,209,Six Nations,N,L,0,,0,
5,941791,25980,Tom Curry,550,England,5.88,5.88,7,1,63,34,0,0,18,Collection,272,Attacking Loose Ball,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-02-01T16:47:04Z,1,0,1,0,0,600,Ireland,550,England,01/02/2025,16:45,5,10,27,22,0,0,117,Aviva Stadium,-1,NA,1,2025,06,6,Blindside Flanker,0,,0,,1000428,Ben O'Keeffe,1000678,James Doleman,1000761,Hollie Davidson,227,Glenn Newman,209,Six Nations,N,L,0,,0,
6,941791,25980,Tom Curry,550,England,5.88,8.12,7,1,63,34,66,34,1,Carry,103,Other Carry,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,1,3,1,1,2025-02-01T16:47:04Z,1,0,1,0,0,600,Ireland,550,England,01/02/2025,16:45,5,10,27,22,0,0,117,Aviva Stadium,-1,NA,1,2025,06,6,Blindside Flanker,0,,0,,1000428,Ben O'Keeffe,1000678,James Doleman,1000761,Hollie Davidson,227,Glenn Newman,209,Six Nations,N,L,24772,Ronan Kelleher,600,Ireland
7,941791,24772,Ronan Kelleher,600,Ireland,5.96,5.96,7,1,35,33,0,0,2,Tackle,144,Line,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2025-02-01T16:47:04Z,1,0,1,0,0,600,Ireland,550,England,01/02/2025,16:45,5,10,27,22,0,0,117,Aviva Stadium,-1,NA,1,2025,02,2,Hooker,0,,0,,1000428,Ben O'Keeffe,1000678,James Doleman,1000761,Hollie Davidson,227,Glenn Newman,209,Six Nations,Y,W,25980,Tom Curry,550,England
8,941791,25981,Ben Curry,550,England,7.76,7.76,9,1,66,35,0,0,10,Attacking Qualities,529,Snake,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-02-01T16:47:06Z,1,0,1,0,0,600,Ireland,550,England,01/02/2025,16:45,5,10,27,22,0,0,117,Aviva Stadium,-1,NA,1,2025,07,7,Openside Flanker,0,,0,,1000428,Ben O'Keeffe,1000678,James Doleman,1000761,Hollie Davidson,227,Glenn Newman,209,Six Nations,N,L,0,,0,
9,941791,19751,Josh van der Flier,600,Ireland,7.80,7.80,9,1,35,33,0,0,2,Tackle,144,Line,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2025-02-01T16:47:06Z,1,0,1,0,0,600,Ireland,550,England,01/02/2025,16:45,5,10,27,22,0,0,117,Aviva Stadium,-1,NA,1,2025,07,7,Openside Flanker,0,,0,,1000428,Ben O'Keeffe,1000678,James Doleman,1000761,Hollie Davidson,227,Glenn Newman,209,Six Nations,Y,W,25980,Tom Curry,550,England
10,941791,25980,Tom Curry,550,England,8.12,10.16,9,1,66,34,0,0,23,Ruck,0,,401,Won Outright,548,Over Previous Gainline,554,2-3 Seconds,661,Mid Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-6,11,2025-02-01T16:47:06Z,1,0,1,0,0,600,Ireland,550,England,01/02/2025,16:45,5,10,27,22,0,0,117,Aviva Stadium,-1,NA,1,2025,06,6,Blindside Flanker,0,,0,,1000428,Ben O'Keeffe,1000678,James Doleman,1000761,Hollie Davidson,227,Glenn Newman,209,Six Nations,N,L,23724,Alex Mitchell,550,England
11,941791,25981,Ben Curry,550,England,8.64,8.64,9,1,66,34,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2025-02-01T16:47:04Z,1,0,1,0,0,600,Ireland,550,England,01/02/2025,16:45,5,10,27,22,0,0,117,Aviva Stadium,-1,NA,1,2025,07,7,Openside Flanker,0,,0,,1000428,Ben O'Keeffe,1000678,James Doleman,1000761,Hollie Davidson,227,Glenn Newman,209,Six Nations,N,L,0,,0,
12,941791,22778,Ellis Genge,550,England,9.84,9.84,11,1,66,34,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2025-02-01T16:47:05Z,1,0,1,0,0,600,Ireland,550,England,01/02/2025,16:45,5,10,27,22,0,0,117,Aviva Stadium,-1,NA,1,2025,01,1,Loosehead Prop,0,,0,,1000428,Ben O'Keeffe,1000678,James Doleman,1000761,Hollie Davidson,227,Glenn Newman,209,Six Nations,N,L,0,,0,
13,941791,23724,Alex Mitchell,550,England,10.16,10.16,11,1,65,34,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-02-01T16:47:08Z,2,0,1,0,0,600,Ireland,550,England,01/02/2025,16:45,5,10,27,22,0,0,117,Aviva Stadium,-1,NA,1,2025,09,9,Scrum Half,0,,0,,1000428,Ben O'Keeffe,1000678,James Doleman,1000761,Hollie Davidson,227,Glenn Newman,209,Six Nations,N,L,0,,0,
14,941791,23724,Alex Mitchell,550,England,10.16,10.16,11,1,65,34,0,0,47,Playmaker Options,671,Halfback at Breakdown,675,Playmaker Option - Pass,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-02-01T16:47:08Z,2,0,1,0,0,600,Ireland,550,England,01/02/2025,16:45,5,10,27,22,0,0,117,Aviva Stadium,-1,NA,1,2025,09,9,Scrum Half,0,,0,,1000428,Ben O'Keeffe,1000678,James Doleman,1000761,Hollie Davidson,227,Glenn Newman,209,Six Nations,N,L,0,,0,
15,941791,23724,Alex Mitchell,550,England,10.72,12.24,11,1,66,33,59,25,3,Pass,169,Complete,0,,686,Medium Pass,681,Left Pass,700,0th Receiver,0,,0,,0,,0,,0,,9,11,7,0,2025-02-01T16:47:08Z,2,0,1,0,0,600,Ireland,550,England,01/02/2025,16:45,5,10,27,22,0,0,117,Aviva Stadium,-1,NA,1,2025,09,9,Scrum Half,0,,0,,1000428,Ben O'Keeffe,1000678,James Doleman,1000761,Hollie Davidson,227,Glenn Newman,209,Six Nations,N,L,26046,Marcus Smith,550,England
16,941791,26046,Marcus Smith,550,England,12.24,12.24,13,1,59,25,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-02-01T16:47:10Z,2,0,1,0,0,600,Ireland,550,England,01/02/2025,16:45,5,10,27,22,0,0,117,Aviva Stadium,-1,NA,1,2025,10,10,Fly Half,0,,0,,1000428,Ben O'Keeffe,1000678,James Doleman,1000761,Hollie Davidson,227,Glenn Newman,209,Six Nations,N,L,0,,0,
17,941791,26046,Marcus Smith,550,England,12.24,12.24,13,1,59,25,0,0,47,Playmaker Options,656,First Receiver,674,Playmaker Option - Kick,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-02-01T16:47:10Z,2,0,1,0,0,600,Ireland,550,England,01/02/2025,16:45,5,10,27,22,0,0,117,Aviva Stadium,-1,NA,1,2025,10,10,Fly Half,0,,0,,1000428,Ben O'Keeffe,1000678,James Doleman,1000761,Hollie Davidson,227,Glenn Newman,209,Six Nations,N,L,0,,0,
18,941791,26046,Marcus Smith,550,England,12.28,13.40,13,1,60,24,73,0,4,Kick,191,Low,192,Kick in Touch (Bounce),185,Kick in Play,0,,0,,0,,0,,0,,0,,0,,12,27,0,0,2025-02-01T16:47:10Z,2,0,1,0,0,600,Ireland,550,England,01/02/2025,16:45,5,10,27,22,0,0,117,Aviva Stadium,-1,NA,1,2025,10,10,Fly Half,0,,0,,1000428,Ben O'Keeffe,1000678,James Doleman,1000761,Hollie Davidson,227,Glenn Newman,209,Six Nations,N,L,0,,0,
19,941791,0,,550,England,0.00,13.40,14,1,50,35,73,0,26,Sequences,307,50m Restart,315,Kick Out of Play,0,,0,,0,,0,,0,,0,,0,,0,,22,0,0,0,2025-02-01T16:46:58Z,2,0,1,0,0,600,Ireland,550,England,01/02/2025,16:45,5,10,27,22,0,0,117,Aviva Stadium,-1,NA,1,2025,,,,0,,0,,1000428,Ben O'Keeffe,1000678,James Doleman,1000761,Hollie Davidson,227,Glenn Newman,209,Six Nations,N,L,0,,0,
20,941791,24772,Ronan Kelleher,600,Ireland,32.72,33.40,33,1,28,68,27,61,6,Lineout Throw,371,Throw Front,376,Won Clean Catch,211,Off The Top,0,5,661,Mid Left Open Movement Lineout,730,5 Players,724,Halfback in Position,0,,0,,0,,7,0,-7,10,2025-02-01T16:47:30Z,1,1,2,0,0,600,Ireland,550,England,01/02/2025,16:45,5,10,27,22,0,0,117,Aviva Stadium,-1,NA,1,2025,02,2,Hooker,0,,0,,1000428,Ben O'Keeffe,1000678,James Doleman,1000761,Hollie Davidson,227,Glenn Newman,209,Six Nations,Y,W,33863,Ryan Baird,600,Ireland
