ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,941801,952,,952,Italy,0.00,4.80,1,1,50,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-03-15T14:16:39Z,0,0,0,0,0,952,Italy,600,Ireland,15/03/2025,15:15,10,12,17,22,0,0,147,Stadio Olimpico,-1,NA,5,2025,,,,0,,0,,1000335,Luke Pearce,271,Angus Gardner,1001263,Morne Ferreira,1000516,Andrew Jackson,209,Six Nations,Y,L,0,,0,
1,941801,33837,Paolo Garbisi,952,Italy,0.00,4.80,1,1,50,35,84,26,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,0,,0,,0,,0,,0,,0,,34,35,9,0,2025-03-15T14:16:39Z,1,0,1,0,0,952,Italy,600,Ireland,15/03/2025,15:15,10,12,17,22,0,0,147,Stadio Olimpico,-1,NA,5,2025,10,10,Fly Half,0,,0,,1000335,Luke Pearce,271,Angus Gardner,1001263,Morne Ferreira,1000516,Andrew Jackson,209,Six Nations,Y,L,0,,0,
2,941801,23914,Hugo Keenan,600,Ireland,4.80,4.80,6,1,16,42,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-03-15T14:16:44Z,1,1,1,0,0,952,Italy,600,Ireland,15/03/2025,15:15,10,12,17,22,0,0,147,Stadio Olimpico,-1,NA,5,2025,15,15,Full Back,0,,0,,1000335,Luke Pearce,271,Angus Gardner,1001263,Morne Ferreira,1000516,Andrew Jackson,209,Six Nations,N,W,0,,0,
3,941801,0,,600,Ireland,4.80,4.80,6,1,16,42,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,27,0,0,0,2025-03-15T14:16:44Z,1,1,1,0,0,952,Italy,600,Ireland,15/03/2025,15:15,10,12,17,22,0,0,147,Stadio Olimpico,-1,NA,5,2025,,,,0,,0,,1000335,Luke Pearce,271,Angus Gardner,1001263,Morne Ferreira,1000516,Andrew Jackson,209,Six Nations,N,W,0,,0,
4,941801,23914,Hugo Keenan,600,Ireland,4.80,6.08,6,1,16,42,18,43,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,2,2,1,1,2025-03-15T14:16:44Z,1,1,1,0,0,952,Italy,600,Ireland,15/03/2025,15:15,10,12,17,22,0,0,147,Stadio Olimpico,-1,NA,5,2025,15,15,Full Back,0,,0,,1000335,Luke Pearce,271,Angus Gardner,1001263,Morne Ferreira,1000516,Andrew Jackson,209,Six Nations,N,W,21537,Federico Ruzza,952,Italy
5,941801,21537,Federico Ruzza,952,Italy,5.28,5.28,6,1,83,26,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-03-15T14:16:45Z,1,1,1,0,0,952,Italy,600,Ireland,15/03/2025,15:15,10,12,17,22,0,0,147,Stadio Olimpico,-1,NA,5,2025,05,5,Lock (5),0,,0,,1000335,Luke Pearce,271,Angus Gardner,1001263,Morne Ferreira,1000516,Andrew Jackson,209,Six Nations,Y,L,23914,Hugo Keenan,600,Ireland
6,941801,36688,Lorenzo Cannone,952,Italy,5.40,5.40,6,1,83,26,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2025-03-15T14:16:45Z,1,1,1,0,0,952,Italy,600,Ireland,15/03/2025,15:15,10,12,17,22,0,0,147,Stadio Olimpico,-1,NA,5,2025,08,8,Number 8,0,,0,,1000335,Luke Pearce,271,Angus Gardner,1001263,Morne Ferreira,1000516,Andrew Jackson,209,Six Nations,Y,L,23914,Hugo Keenan,600,Ireland
7,941801,23914,Hugo Keenan,600,Ireland,6.08,13.92,7,1,18,43,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,676,N/A Movement Ruck,0,,0,,0,,0,,0,,0,0,0,0,2025-03-15T14:16:46Z,1,1,1,0,0,952,Italy,600,Ireland,15/03/2025,15:15,10,12,17,22,0,0,147,Stadio Olimpico,-1,NA,5,2025,15,15,Full Back,0,,0,,1000335,Luke Pearce,271,Angus Gardner,1001263,Morne Ferreira,1000516,Andrew Jackson,209,Six Nations,N,W,20082,Jamison Gibson-Park,600,Ireland
8,941801,21534,Sebastian Negri,952,Italy,6.32,6.32,7,1,82,25,0,0,43,Ruck OOA,577,Not Clearing,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2025-03-15T14:16:38Z,1,1,1,0,0,952,Italy,600,Ireland,15/03/2025,15:15,10,12,17,22,0,0,147,Stadio Olimpico,-1,NA,5,2025,06,6,Blindside Flanker,0,,0,,1000335,Luke Pearce,271,Angus Gardner,1001263,Morne Ferreira,1000516,Andrew Jackson,209,Six Nations,Y,L,0,,0,
9,941801,19751,Josh van der Flier,600,Ireland,6.48,6.48,7,1,18,43,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2025-03-15T14:16:38Z,1,1,1,0,0,952,Italy,600,Ireland,15/03/2025,15:15,10,12,17,22,0,0,147,Stadio Olimpico,-1,NA,5,2025,07,7,Openside Flanker,0,,0,,1000335,Luke Pearce,271,Angus Gardner,1001263,Morne Ferreira,1000516,Andrew Jackson,209,Six Nations,N,W,0,,0,
10,941801,19657,Tadhg Beirne,600,Ireland,6.76,6.76,8,1,18,43,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2025-03-15T14:16:38Z,1,1,1,0,0,952,Italy,600,Ireland,15/03/2025,15:15,10,12,17,22,0,0,147,Stadio Olimpico,-1,NA,5,2025,05,5,Lock (5),0,,0,,1000335,Luke Pearce,271,Angus Gardner,1001263,Morne Ferreira,1000516,Andrew Jackson,209,Six Nations,N,W,0,,0,
11,941801,21537,Federico Ruzza,952,Italy,7.16,7.16,8,1,82,25,0,0,43,Ruck OOA,577,Not Clearing,584,Own Team 2nd Entry,604,OOA Entry 2nd Entry- Def,633,Defensive OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2025-03-15T14:16:38Z,1,1,1,0,0,952,Italy,600,Ireland,15/03/2025,15:15,10,12,17,22,0,0,147,Stadio Olimpico,-1,NA,5,2025,05,5,Lock (5),0,,0,,1000335,Luke Pearce,271,Angus Gardner,1001263,Morne Ferreira,1000516,Andrew Jackson,209,Six Nations,Y,L,0,,0,
12,941801,18676,Finlay Bealham,600,Ireland,8.04,8.04,9,1,18,43,0,0,43,Ruck OOA,575,Attended,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,3,0,,0,,0,,0,,0,,0,0,0,0,2025-03-15T14:16:39Z,1,1,1,0,0,952,Italy,600,Ireland,15/03/2025,15:15,10,12,17,22,0,0,147,Stadio Olimpico,-1,NA,5,2025,03,3,Tighthead Prop,0,,0,,1000335,Luke Pearce,271,Angus Gardner,1001263,Morne Ferreira,1000516,Andrew Jackson,209,Six Nations,N,W,0,,0,
13,941801,31014,Dan Sheehan,600,Ireland,8.24,8.24,9,1,18,43,0,0,43,Ruck OOA,575,Attended,586,Own Team 4th Entry,591,OOA Entry 4th Entry- Att,632,Attacking OOA,0,4,0,,0,,0,,0,,0,,0,0,0,0,2025-03-15T14:16:39Z,1,1,1,0,0,952,Italy,600,Ireland,15/03/2025,15:15,10,12,17,22,0,0,147,Stadio Olimpico,-1,NA,5,2025,02,2,Hooker,0,,0,,1000335,Luke Pearce,271,Angus Gardner,1001263,Morne Ferreira,1000516,Andrew Jackson,209,Six Nations,N,W,0,,0,
14,941801,20082,Jamison Gibson-Park,600,Ireland,13.92,13.92,15,1,18,43,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-03-15T14:16:53Z,2,1,1,0,0,952,Italy,600,Ireland,15/03/2025,15:15,10,12,17,22,0,0,147,Stadio Olimpico,-1,NA,5,2025,09,9,Scrum Half,0,,0,,1000335,Luke Pearce,271,Angus Gardner,1001263,Morne Ferreira,1000516,Andrew Jackson,209,Six Nations,N,W,0,,0,
15,941801,20082,Jamison Gibson-Park,600,Ireland,13.92,13.92,15,1,18,43,0,0,47,Playmaker Options,671,Halfback at Breakdown,674,Playmaker Option - Kick,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-03-15T14:16:53Z,2,1,1,0,0,952,Italy,600,Ireland,15/03/2025,15:15,10,12,17,22,0,0,147,Stadio Olimpico,-1,NA,5,2025,09,9,Scrum Half,0,,0,,1000335,Luke Pearce,271,Angus Gardner,1001263,Morne Ferreira,1000516,Andrew Jackson,209,Six Nations,N,W,0,,0,
16,941801,20082,Jamison Gibson-Park,600,Ireland,13.96,18.56,15,1,18,43,43,68,4,Kick,346,Box,193,Kick in Touch (Full),186,Kick in Play (Own 22),0,,0,,0,,0,,0,,0,,0,,25,36,0,0,2025-03-15T14:16:53Z,2,1,1,0,0,952,Italy,600,Ireland,15/03/2025,15:15,10,12,17,22,0,0,147,Stadio Olimpico,-1,NA,5,2025,09,9,Scrum Half,0,,0,,1000335,Luke Pearce,271,Angus Gardner,1001263,Morne Ferreira,1000516,Andrew Jackson,209,Six Nations,N,W,0,,0,
17,941801,0,,952,Italy,0.00,18.56,19,1,50,35,57,0,26,Sequences,307,50m Restart,315,Kick Out of Play,0,,0,,0,,0,,0,,0,,0,,0,,7,0,0,0,2025-03-15T14:16:39Z,2,1,1,0,0,952,Italy,600,Ireland,15/03/2025,15:15,10,12,17,22,0,0,147,Stadio Olimpico,-1,NA,5,2025,,,,0,,0,,1000335,Luke Pearce,271,Angus Gardner,1001263,Morne Ferreira,1000516,Andrew Jackson,209,Six Nations,Y,L,0,,0,
18,941801,0,,600,Ireland,4.80,18.56,19,1,16,42,43,68,15,Possession,307,50m Restart,315,Kick Out of Play,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,27,0,0,0,2025-03-15T14:16:44Z,2,1,1,0,0,952,Italy,600,Ireland,15/03/2025,15:15,10,12,17,22,0,0,147,Stadio Olimpico,-1,NA,5,2025,,,,0,,0,,1000335,Luke Pearce,271,Angus Gardner,1001263,Morne Ferreira,1000516,Andrew Jackson,209,Six Nations,N,W,0,,0,
19,941801,33828,Gianmarco Lucchesi,952,Italy,36.68,37.36,38,1,57,0,56,7,6,Lineout Throw,371,Throw Front,376,Won Clean Catch,207,Catch and Drive,0,4+1,676,N/A Movement Lineout,729,4 Players,725,Forward at Halfback (+1),0,,0,,0,,7,0,0,0,2025-03-15T14:17:16Z,1,2,2,0,0,952,Italy,600,Ireland,15/03/2025,15:15,10,12,17,22,0,0,147,Stadio Olimpico,-1,NA,5,2025,02,2,Hooker,0,,0,,1000335,Luke Pearce,271,Angus Gardner,1001263,Morne Ferreira,1000516,Andrew Jackson,209,Six Nations,Y,L,21537,Federico Ruzza,952,Italy
20,941801,21537,Federico Ruzza,952,Italy,37.36,37.36,38,1,56,7,0,0,27,Lineout Take,386,Lineout Win Front,376,Won Clean,207,Catch and Drive,396,Clean Catch,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-03-15T14:17:17Z,1,2,2,0,0,952,Italy,600,Ireland,15/03/2025,15:15,10,12,17,22,0,0,147,Stadio Olimpico,-1,NA,5,2025,05,5,Lock (5),0,,0,,1000335,Luke Pearce,271,Angus Gardner,1001263,Morne Ferreira,1000516,Andrew Jackson,209,Six Nations,Y,L,33828,Gianmarco Lucchesi,952,Italy
21,941801,21537,Federico Ruzza,952,Italy,39.68,41.04,41,1,56,7,0,0,24,Maul,0,,401,Won Outright,0,,0,,664,Close Right Open Movement Maul,0,,0,,0,,0,,0,,0,0,5,6,2025-03-15T14:17:19Z,1,2,2,0,0,952,Italy,600,Ireland,15/03/2025,15:15,10,12,17,22,0,0,147,Stadio Olimpico,-1,NA,5,2025,05,5,Lock (5),0,,0,,1000335,Luke Pearce,271,Angus Gardner,1001263,Morne Ferreira,1000516,Andrew Jackson,209,Six Nations,Y,L,33828,Gianmarco Lucchesi,952,Italy
