ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,941819,600,,600,Ireland,0.00,4.08,2,1,50,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-11-30T15:11:19Z,0,0,0,0,0,600,Ireland,100,Australia,30/11/2024,15:10,5,13,22,19,0,0,117,Aviva Stadium,-1,NA,1,2025,,,,0,,0,,1000716,Andrea Piardi,1000823,Nika Amashukeli,1000854,Gianluca Gnecchi,191,Eric Gauzins,3,International,Y,W,0,,0,
1,941819,56271,Sam Prendergast,600,Ireland,0.00,4.08,2,1,50,35,71,59,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,753,Kicked Right,0,,0,,0,,0,,0,,0,,20,32,25,0,2024-11-30T15:11:19Z,1,0,1,0,0,600,Ireland,100,Australia,30/11/2024,15:10,5,13,22,19,0,0,117,Aviva Stadium,-1,NA,1,2025,10,10,Fly Half,0,,0,,1000716,Andrea Piardi,1000823,Nika Amashukeli,1000854,Gianluca Gnecchi,191,Eric Gauzins,3,International,Y,W,0,,0,
2,941819,34524,Nick Frost,100,Australia,4.08,4.08,6,1,30,9,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-11-30T15:11:23Z,1,1,1,0,0,600,Ireland,100,Australia,30/11/2024,15:10,5,13,22,19,0,0,117,Aviva Stadium,-1,NA,1,2025,04,4,Lock (4),0,,0,,1000716,Andrea Piardi,1000823,Nika Amashukeli,1000854,Gianluca Gnecchi,191,Eric Gauzins,3,International,N,L,0,,0,
3,941819,34524,Nick Frost,100,Australia,4.08,6.08,6,1,30,9,32,10,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,2,2,1,1,2024-11-30T15:11:23Z,1,1,1,0,0,600,Ireland,100,Australia,30/11/2024,15:10,5,13,22,19,0,0,117,Aviva Stadium,-1,NA,1,2025,04,4,Lock (4),0,,0,,1000716,Andrea Piardi,1000823,Nika Amashukeli,1000854,Gianluca Gnecchi,191,Eric Gauzins,3,International,N,L,36697,Joe McCarthy,600,Ireland
4,941819,36697,Joe McCarthy,600,Ireland,5.88,5.88,8,1,70,59,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2024-11-30T15:11:25Z,1,1,1,0,0,600,Ireland,100,Australia,30/11/2024,15:10,5,13,22,19,0,0,117,Aviva Stadium,-1,NA,1,2025,04,4,Lock (4),0,,0,,1000716,Andrea Piardi,1000823,Nika Amashukeli,1000854,Gianluca Gnecchi,191,Eric Gauzins,3,International,Y,W,34524,Nick Frost,100,Australia
5,941819,34524,Nick Frost,100,Australia,6.08,7.80,8,1,32,10,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,553,1-2 Seconds,660,Wide Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-5,35,2024-11-30T15:11:25Z,1,1,1,0,0,600,Ireland,100,Australia,30/11/2024,15:10,5,13,22,19,0,0,117,Aviva Stadium,-1,NA,1,2025,04,4,Lock (4),0,,0,,1000716,Andrea Piardi,1000823,Nika Amashukeli,1000854,Gianluca Gnecchi,191,Eric Gauzins,3,International,N,L,22275,Jake Gordon,100,Australia
6,941819,25683,Fraser McReight,100,Australia,6.76,6.76,9,1,32,10,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2024-11-30T15:11:24Z,1,1,1,0,0,600,Ireland,100,Australia,30/11/2024,15:10,5,13,22,19,0,0,117,Aviva Stadium,-1,NA,1,2025,07,7,Openside Flanker,0,,0,,1000716,Andrea Piardi,1000823,Nika Amashukeli,1000854,Gianluca Gnecchi,191,Eric Gauzins,3,International,N,L,0,,0,
7,941819,21975,Taniela Tupou,100,Australia,7.12,7.12,9,1,32,10,0,0,43,Ruck OOA,575,Attended,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2024-11-30T15:11:24Z,1,1,1,0,0,600,Ireland,100,Australia,30/11/2024,15:10,5,13,22,19,0,0,117,Aviva Stadium,-1,NA,1,2025,03,3,Tighthead Prop,0,,0,,1000716,Andrea Piardi,1000823,Nika Amashukeli,1000854,Gianluca Gnecchi,191,Eric Gauzins,3,International,N,L,0,,0,
8,941819,26989,Rob Valetini,100,Australia,7.68,7.68,10,1,32,10,0,0,43,Ruck OOA,575,Attended,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,3,0,,0,,0,,0,,0,,0,0,0,0,2024-11-30T15:11:25Z,1,1,1,0,0,600,Ireland,100,Australia,30/11/2024,15:10,5,13,22,19,0,0,117,Aviva Stadium,-1,NA,1,2025,06,6,Blindside Flanker,0,,0,,1000716,Andrea Piardi,1000823,Nika Amashukeli,1000854,Gianluca Gnecchi,191,Eric Gauzins,3,International,N,L,0,,0,
9,941819,22275,Jake Gordon,100,Australia,7.80,7.80,10,1,31,10,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-11-30T15:11:27Z,2,1,1,0,0,600,Ireland,100,Australia,30/11/2024,15:10,5,13,22,19,0,0,117,Aviva Stadium,-1,NA,1,2025,09,9,Scrum Half,0,,0,,1000716,Andrea Piardi,1000823,Nika Amashukeli,1000854,Gianluca Gnecchi,191,Eric Gauzins,3,International,N,L,0,,0,
10,941819,22275,Jake Gordon,100,Australia,7.80,7.80,10,1,31,10,0,0,47,Playmaker Options,671,Halfback at Breakdown,675,Playmaker Option - Pass,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-11-30T15:11:27Z,2,1,1,0,0,600,Ireland,100,Australia,30/11/2024,15:10,5,13,22,19,0,0,117,Aviva Stadium,-1,NA,1,2025,09,9,Scrum Half,0,,0,,1000716,Andrea Piardi,1000823,Nika Amashukeli,1000854,Gianluca Gnecchi,191,Eric Gauzins,3,International,N,L,0,,0,
11,941819,22275,Jake Gordon,100,Australia,8.60,9.88,11,1,31,10,25,19,3,Pass,169,Complete,0,,686,Medium Pass,682,Right Pass,700,0th Receiver,0,,0,,0,,0,,0,,10,12,7,0,2024-11-30T15:11:28Z,2,1,1,0,0,600,Ireland,100,Australia,30/11/2024,15:10,5,13,22,19,0,0,117,Aviva Stadium,-1,NA,1,2025,09,9,Scrum Half,0,,0,,1000716,Andrea Piardi,1000823,Nika Amashukeli,1000854,Gianluca Gnecchi,191,Eric Gauzins,3,International,N,L,26101,Noah Lolesio,100,Australia
