ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result
0,942071,2850,,2850,Georgia,0.00,3.64,0,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,2850,Georgia,954,Fiji,05/07/2024,20:00,9,13,12,21,0,0,1154,Adjarabet Arena,-1,NA,1,2023,,,,0,,0,,1000493,Craig Evans,1000576,Christophe Ridley,1000665,Anthony Woodthorpe,1000342,Olly Hodges,3,International,Y,L
1,942071,28291,Tedo Abzhandadze,2850,Georgia,0.00,3.64,0,1,50,34,78,55,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,0,,0,,0,,0,,0,,0,,28,36,22,0,,1,0,1,0,0,2850,Georgia,954,Fiji,05/07/2024,20:00,9,13,12,21,0,0,1154,Adjarabet Arena,-1,NA,1,2023,10,10,Fly Half,0,,0,,1000493,Craig Evans,1000576,Christophe Ridley,1000665,Anthony Woodthorpe,1000342,Olly Hodges,3,International,Y,L
2,942071,28186,Temo Mayanavanua,954,Fiji,3.64,3.64,1,1,22,13,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,2850,Georgia,954,Fiji,05/07/2024,20:00,9,13,12,21,0,0,1154,Adjarabet Arena,-1,NA,1,2023,05,5,Lock (5),0,,0,,1000493,Craig Evans,1000576,Christophe Ridley,1000665,Anthony Woodthorpe,1000342,Olly Hodges,3,International,N,W
3,942071,28186,Temo Mayanavanua,954,Fiji,3.64,6.12,1,1,22,13,21,9,1,Carry,105,Restart Return,108,Tackled Neutral,111,Failed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,2850,Georgia,954,Fiji,05/07/2024,20:00,9,13,12,21,0,0,1154,Adjarabet Arena,-1,NA,1,2023,05,5,Lock (5),0,,0,,1000493,Craig Evans,1000576,Christophe Ridley,1000665,Anthony Woodthorpe,1000342,Olly Hodges,3,International,N,W
4,942071,0,,954,Fiji,4.20,4.20,2,1,21,12,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,2850,Georgia,954,Fiji,05/07/2024,20:00,9,13,12,21,0,0,1154,Adjarabet Arena,-1,NA,1,2023,,,,0,,0,,1000493,Craig Evans,1000576,Christophe Ridley,1000665,Anthony Woodthorpe,1000342,Olly Hodges,3,International,N,W
5,942071,25110,Giorgi Javakhia,2850,Georgia,4.32,4.32,2,1,79,56,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,2850,Georgia,954,Fiji,05/07/2024,20:00,9,13,12,21,0,0,1154,Adjarabet Arena,-1,NA,1,2023,05,5,Lock (5),0,,0,,1000493,Craig Evans,1000576,Christophe Ridley,1000665,Anthony Woodthorpe,1000342,Olly Hodges,3,International,Y,L
6,942071,28186,Temo Mayanavanua,954,Fiji,6.12,18.40,3,1,21,9,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,668,Tight Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,0,1,,1,1,1,0,0,2850,Georgia,954,Fiji,05/07/2024,20:00,9,13,12,21,0,0,1154,Adjarabet Arena,-1,NA,1,2023,05,5,Lock (5),0,,0,,1000493,Craig Evans,1000576,Christophe Ridley,1000665,Anthony Woodthorpe,1000342,Olly Hodges,3,International,N,W
7,942071,29306,Eroni Mawi,954,Fiji,6.96,6.96,4,1,21,9,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,2850,Georgia,954,Fiji,05/07/2024,20:00,9,13,12,21,0,0,1154,Adjarabet Arena,-1,NA,1,2023,01,1,Loosehead Prop,0,,0,,1000493,Craig Evans,1000576,Christophe Ridley,1000665,Anthony Woodthorpe,1000342,Olly Hodges,3,International,N,W
8,942071,34455,Tevita Ikanivere,954,Fiji,7.24,7.24,5,1,21,9,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,2850,Georgia,954,Fiji,05/07/2024,20:00,9,13,12,21,0,0,1154,Adjarabet Arena,-1,NA,1,2023,02,2,Hooker,0,,0,,1000493,Craig Evans,1000576,Christophe Ridley,1000665,Anthony Woodthorpe,1000342,Olly Hodges,3,International,N,W
9,942071,20730,Mesake Doge,954,Fiji,11.16,11.16,8,1,21,9,0,0,43,Ruck OOA,575,Attended,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,3,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,2850,Georgia,954,Fiji,05/07/2024,20:00,9,13,12,21,0,0,1154,Adjarabet Arena,-1,NA,1,2023,03,3,Tighthead Prop,0,,0,,1000493,Craig Evans,1000576,Christophe Ridley,1000665,Anthony Woodthorpe,1000342,Olly Hodges,3,International,N,W
