ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result
0,942072,950,,950,Samoa,0.00,4.32,0,1,48,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:11Z,0,0,0,0,0,950,Samoa,957,Spain,13/07/2024,16:00,21,13,34,30,0,0,70,Apia Park,-1,NA,1,2023,,,,0,,0,,1000428,Ben O'Keeffe,1001109,Jordan Kaminski,1000739,Tevita Rokovereni,260,Richard Kelly,3,International,Y,W
1,942072,36729,Gonzalo Vinuesa,957,Spain,0.00,4.32,0,1,48,34,88,5,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,0,,0,,0,,0,,0,,0,,41,50,29,0,1899-12-30T00:00:11Z,1,0,1,0,0,950,Samoa,957,Spain,13/07/2024,16:00,21,13,34,30,0,0,70,Apia Park,-1,NA,1,2023,10,10,Fly Half,0,,0,,1000428,Ben O'Keeffe,1001109,Jordan Kaminski,1000739,Tevita Rokovereni,260,Richard Kelly,3,International,N,L
2,942072,22603,Duncan Paia'aua,950,Samoa,4.32,4.32,4,1,12,63,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:15Z,1,1,1,0,0,950,Samoa,957,Spain,13/07/2024,16:00,21,13,34,30,0,0,70,Apia Park,-1,NA,1,2023,15,15,Full Back,0,,0,,1000428,Ben O'Keeffe,1001109,Jordan Kaminski,1000739,Tevita Rokovereni,260,Richard Kelly,3,International,Y,W
3,942072,0,,950,Samoa,4.32,4.32,4,1,12,63,0,0,45,Defensive Exits,629,Carried out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:15Z,1,1,1,0,0,950,Samoa,957,Spain,13/07/2024,16:00,21,13,34,30,0,0,70,Apia Park,-1,NA,1,2023,,,,0,,0,,1000428,Ben O'Keeffe,1001109,Jordan Kaminski,1000739,Tevita Rokovereni,260,Richard Kelly,3,International,Y,W
4,942072,22603,Duncan Paia'aua,950,Samoa,4.32,6.52,4,1,12,63,20,56,1,Carry,105,Restart Return,121,Pass,109,Crossed Gain line,0,,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,8,8,2,0,1899-12-30T00:00:15Z,1,1,1,0,0,950,Samoa,957,Spain,13/07/2024,16:00,21,13,34,30,0,0,70,Apia Park,-1,NA,1,2023,15,15,Full Back,0,,0,,1000428,Ben O'Keeffe,1001109,Jordan Kaminski,1000739,Tevita Rokovereni,260,Richard Kelly,3,International,Y,W
5,942072,64024,Bernardo Vazquez,957,Spain,5.00,5.00,5,1,82,10,0,0,2,Tackle,142,Chase,161,Missed,0,,475,Ineffective Tackle,708,1st Tackler,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:16Z,1,1,1,0,0,950,Samoa,957,Spain,13/07/2024,16:00,21,13,34,30,0,0,70,Apia Park,-1,NA,1,2023,01,1,Loosehead Prop,0,,0,,1000428,Ben O'Keeffe,1001109,Jordan Kaminski,1000739,Tevita Rokovereni,260,Richard Kelly,3,International,N,L
6,942072,64024,Bernardo Vazquez,957,Spain,5.00,5.00,5,1,82,10,0,0,12,Missed Tackle,162,Bumped Off,167,Clean Break,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:16Z,1,1,1,0,0,950,Samoa,957,Spain,13/07/2024,16:00,21,13,34,30,0,0,70,Apia Park,-1,NA,1,2023,01,1,Loosehead Prop,0,,0,,1000428,Ben O'Keeffe,1001109,Jordan Kaminski,1000739,Tevita Rokovereni,260,Richard Kelly,3,International,N,L
7,942072,22603,Duncan Paia'aua,950,Samoa,5.84,5.84,5,1,18,58,0,0,10,Attacking Qualities,116,Defender Beaten,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:17Z,1,1,1,0,0,950,Samoa,957,Spain,13/07/2024,16:00,21,13,34,30,0,0,70,Apia Park,-1,NA,1,2023,15,15,Full Back,0,,0,,1000428,Ben O'Keeffe,1001109,Jordan Kaminski,1000739,Tevita Rokovereni,260,Richard Kelly,3,International,Y,W
8,942072,22603,Duncan Paia'aua,950,Samoa,6.52,7.00,6,1,20,56,18,50,3,Pass,172,Break,0,,686,Medium Pass,681,Left Pass,700,0th Receiver,0,,0,,0,,0,,0,,6,6,2,0,1899-12-30T00:00:18Z,1,1,1,0,0,950,Samoa,957,Spain,13/07/2024,16:00,21,13,34,30,0,0,70,Apia Park,-1,NA,1,2023,15,15,Full Back,0,,0,,1000428,Ben O'Keeffe,1001109,Jordan Kaminski,1000739,Tevita Rokovereni,260,Richard Kelly,3,International,Y,W
9,942072,22603,Duncan Paia'aua,950,Samoa,6.56,6.56,6,1,20,56,0,0,10,Attacking Qualities,527,Break Assist,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:18Z,1,1,1,0,0,950,Samoa,957,Spain,13/07/2024,16:00,21,13,34,30,0,0,70,Apia Park,-1,NA,1,2023,15,15,Full Back,0,,0,,1000428,Ben O'Keeffe,1001109,Jordan Kaminski,1000739,Tevita Rokovereni,260,Richard Kelly,3,International,Y,W
10,942072,36890,Theo McFarland,950,Samoa,7.00,7.00,7,1,18,50,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:18Z,1,1,1,0,0,950,Samoa,957,Spain,13/07/2024,16:00,21,13,34,30,0,0,70,Apia Park,-1,NA,1,2023,06,6,Blindside Flanker,0,,0,,1000428,Ben O'Keeffe,1001109,Jordan Kaminski,1000739,Tevita Rokovereni,260,Richard Kelly,3,International,Y,W
11,942072,36890,Theo McFarland,950,Samoa,7.00,9.60,7,1,18,50,44,52,1,Carry,105,Restart Return,121,Pass,109,Crossed Gain line,0,,500,0 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,24,27,0,0,1899-12-30T00:00:18Z,1,1,1,0,0,950,Samoa,957,Spain,13/07/2024,16:00,21,13,34,30,0,0,70,Apia Park,-1,NA,1,2023,06,6,Blindside Flanker,0,,0,,1000428,Ben O'Keeffe,1001109,Jordan Kaminski,1000739,Tevita Rokovereni,260,Richard Kelly,3,International,Y,W
12,942072,36890,Theo McFarland,950,Samoa,8.12,8.12,8,1,26,53,0,0,10,Attacking Qualities,112,Initial Break,530,Line Break,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:19Z,1,1,1,0,0,950,Samoa,957,Spain,13/07/2024,16:00,21,13,34,30,0,0,70,Apia Park,-1,NA,1,2023,06,6,Blindside Flanker,0,,0,,1000428,Ben O'Keeffe,1001109,Jordan Kaminski,1000739,Tevita Rokovereni,260,Richard Kelly,3,International,Y,W
13,942072,36890,Theo McFarland,950,Samoa,9.60,10.16,9,1,44,52,44,57,3,Pass,169,Complete,0,,679,Short Pass,682,Right Pass,701,1st Receiver,0,,0,,0,,0,,0,,5,5,0,0,1899-12-30T00:00:21Z,1,1,1,0,0,950,Samoa,957,Spain,13/07/2024,16:00,21,13,34,30,0,0,70,Apia Park,-1,NA,1,2023,06,6,Blindside Flanker,0,,0,,1000428,Ben O'Keeffe,1001109,Jordan Kaminski,1000739,Tevita Rokovereni,260,Richard Kelly,3,International,Y,W
