ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result
0,942073,750,,750,Tonga,0.00,3.92,10,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,750,Tonga,957,Spain,19/07/2024,15:30,5,16,20,29,0,0,74,Teufaiva Stadium,-1,NA,1,2023,,,,0,,0,,1000545,Pierre Brousset,1000428,Ben O'Keeffe,1001109,Jordan Kaminski,-1,,3,International,Y,L
1,942073,30891,James Faiva,750,Tonga,0.00,3.92,10,1,50,34,87,6,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,0,,0,,0,,0,,0,,0,,37,47,29,0,,1,0,1,0,0,750,Tonga,957,Spain,19/07/2024,15:30,5,16,20,29,0,0,74,Teufaiva Stadium,-1,NA,1,2023,10,10,Fly Half,0,,0,,1000545,Pierre Brousset,1000428,Ben O'Keeffe,1001109,Jordan Kaminski,-1,,3,International,Y,L
2,942073,56394,Marc Sanchez,957,Spain,3.92,3.92,14,1,13,62,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,750,Tonga,957,Spain,19/07/2024,15:30,5,16,20,29,0,0,74,Teufaiva Stadium,-1,NA,1,2023,07,7,Openside Flanker,0,,0,,1000545,Pierre Brousset,1000428,Ben O'Keeffe,1001109,Jordan Kaminski,-1,,3,International,N,W
3,942073,0,,957,Spain,3.92,3.92,14,1,13,62,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,750,Tonga,957,Spain,19/07/2024,15:30,5,16,20,29,0,0,74,Teufaiva Stadium,-1,NA,1,2023,,,,0,,0,,1000545,Pierre Brousset,1000428,Ben O'Keeffe,1001109,Jordan Kaminski,-1,,3,International,N,W
4,942073,56394,Marc Sanchez,957,Spain,3.92,6.52,14,1,13,62,15,54,1,Carry,105,Restart Return,409,Tackled Ineffective,109,Crossed Gain line,462,Ineffective Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,2,2,0,0,,1,1,1,0,0,750,Tonga,957,Spain,19/07/2024,15:30,5,16,20,29,0,0,74,Teufaiva Stadium,-1,NA,1,2023,07,7,Openside Flanker,0,,0,,1000545,Pierre Brousset,1000428,Ben O'Keeffe,1001109,Jordan Kaminski,-1,,3,International,N,W
5,942073,27088,Fetuli Paea,750,Tonga,5.56,5.56,15,1,84,12,0,0,2,Tackle,142,Chase,159,Sack,0,,473,Dominant Tackle,708,1st Tackler,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,750,Tonga,957,Spain,19/07/2024,15:30,5,16,20,29,0,0,74,Teufaiva Stadium,-1,NA,1,2023,13,13,Outside Centre,0,,0,,1000545,Pierre Brousset,1000428,Ben O'Keeffe,1001109,Jordan Kaminski,-1,,3,International,Y,L
6,942073,56394,Marc Sanchez,957,Spain,6.52,14.56,16,1,15,54,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,667,Tight Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-2,2,,1,1,1,0,0,750,Tonga,957,Spain,19/07/2024,15:30,5,16,20,29,0,0,74,Teufaiva Stadium,-1,NA,1,2023,07,7,Openside Flanker,0,,0,,1000545,Pierre Brousset,1000428,Ben O'Keeffe,1001109,Jordan Kaminski,-1,,3,International,N,W
7,942073,56393,Imanol Urraza,957,Spain,7.20,7.20,17,1,15,54,0,0,43,Ruck OOA,572,Cleaned Out,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,750,Tonga,957,Spain,19/07/2024,15:30,5,16,20,29,0,0,74,Teufaiva Stadium,-1,NA,1,2023,05,5,Lock (5),0,,0,,1000545,Pierre Brousset,1000428,Ben O'Keeffe,1001109,Jordan Kaminski,-1,,3,International,N,W
8,942073,21969,Harrison Mataele,750,Tonga,7.36,7.36,17,1,85,14,0,0,43,Ruck OOA,577,Not Clearing,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,750,Tonga,957,Spain,19/07/2024,15:30,5,16,20,29,0,0,74,Teufaiva Stadium,-1,NA,1,2023,05,5,Lock (5),0,,0,,1000545,Pierre Brousset,1000428,Ben O'Keeffe,1001109,Jordan Kaminski,-1,,3,International,Y,L
9,942073,64025,Manuel Alfaro,957,Spain,7.72,7.72,17,1,15,54,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,750,Tonga,957,Spain,19/07/2024,15:30,5,16,20,29,0,0,74,Teufaiva Stadium,-1,NA,1,2023,14,14,Right Wing,0,,0,,1000545,Pierre Brousset,1000428,Ben O'Keeffe,1001109,Jordan Kaminski,-1,,3,International,N,W
10,942073,28683,Hugo Pirlet,957,Spain,10.52,10.52,20,1,15,54,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,3,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,750,Tonga,957,Spain,19/07/2024,15:30,5,16,20,29,0,0,74,Teufaiva Stadium,-1,NA,1,2023,03,3,Tighthead Prop,0,,0,,1000545,Pierre Brousset,1000428,Ben O'Keeffe,1001109,Jordan Kaminski,-1,,3,International,N,W
11,942073,23479,Gauthier Minguillon,957,Spain,10.80,10.80,20,1,15,54,0,0,43,Ruck OOA,574,Secured,586,Own Team 4th Entry,591,OOA Entry 4th Entry- Att,632,Attacking OOA,0,4,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,750,Tonga,957,Spain,19/07/2024,15:30,5,16,20,29,0,0,74,Teufaiva Stadium,-1,NA,1,2023,11,11,Left Wing,0,,0,,1000545,Pierre Brousset,1000428,Ben O'Keeffe,1001109,Jordan Kaminski,-1,,3,International,N,W
12,942073,58568,Estanislao Bay,957,Spain,14.56,14.56,24,1,13,54,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,2,1,1,0,0,750,Tonga,957,Spain,19/07/2024,15:30,5,16,20,29,0,0,74,Teufaiva Stadium,-1,NA,1,2023,09,9,Scrum Half,0,,0,,1000545,Pierre Brousset,1000428,Ben O'Keeffe,1001109,Jordan Kaminski,-1,,3,International,N,W
13,942073,58568,Estanislao Bay,957,Spain,14.56,14.56,24,1,13,54,0,0,47,Playmaker Options,671,Halfback at Breakdown,674,Playmaker Option - Kick,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,2,1,1,0,0,750,Tonga,957,Spain,19/07/2024,15:30,5,16,20,29,0,0,74,Teufaiva Stadium,-1,NA,1,2023,09,9,Scrum Half,0,,0,,1000545,Pierre Brousset,1000428,Ben O'Keeffe,1001109,Jordan Kaminski,-1,,3,International,N,W
14,942073,58568,Estanislao Bay,957,Spain,14.88,20.56,25,1,13,53,46,68,4,Kick,346,Box,193,Kick in Touch (Full),186,Kick in Play (Own 22),0,,0,,0,,0,,0,,0,,0,,34,37,0,0,,2,1,1,0,0,750,Tonga,957,Spain,19/07/2024,15:30,5,16,20,29,0,0,74,Teufaiva Stadium,-1,NA,1,2023,09,9,Scrum Half,0,,0,,1000545,Pierre Brousset,1000428,Ben O'Keeffe,1001109,Jordan Kaminski,-1,,3,International,N,W
