ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,945360,957,,957,Spain,0.00,3.92,3,1,49,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,957,Spain,2800,Uruguay,09/11/2024,12:45,24,7,33,24,0,0,583,Estadio Nacional Complutense,-1,NA,1,2025,,,,0,,0,,1001179,Eoghan Cross,1000737,Chris Busby,1001175,Peter Martin,1000368,Quinton Immelman,3,International,Y,W,0,,0,
1,945360,36729,Gonzalo Vinuesa,957,Spain,0.00,3.92,3,1,49,34,75,17,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,752,Kicked Left,0,,0,,0,,0,,0,,0,,26,31,17,0,,1,0,1,0,0,957,Spain,2800,Uruguay,09/11/2024,12:45,24,7,33,24,0,0,583,Estadio Nacional Complutense,-1,NA,1,2025,10,10,Fly Half,0,,0,,1001179,Eoghan Cross,1000737,Chris Busby,1001175,Peter Martin,1000368,Quinton Immelman,3,International,Y,W,0,,0,
2,945360,35269,Felipe Arcos Perez,2800,Uruguay,3.92,3.92,7,1,25,51,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,957,Spain,2800,Uruguay,09/11/2024,12:45,24,7,33,24,0,0,583,Estadio Nacional Complutense,-1,NA,1,2025,13,13,Outside Centre,0,,0,,1001179,Eoghan Cross,1000737,Chris Busby,1001175,Peter Martin,1000368,Quinton Immelman,3,International,N,L,0,,0,
3,945360,35269,Felipe Arcos Perez,2800,Uruguay,3.92,6.12,7,1,25,51,29,46,1,Carry,105,Restart Return,107,Tackled Dominant,109,Crossed Gain line,460,Dominant Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,5,5,1,1,,1,1,1,0,0,957,Spain,2800,Uruguay,09/11/2024,12:45,24,7,33,24,0,0,583,Estadio Nacional Complutense,-1,NA,1,2025,13,13,Outside Centre,0,,0,,1001179,Eoghan Cross,1000737,Chris Busby,1001175,Peter Martin,1000368,Quinton Immelman,3,International,N,L,39387,Ekain Imaz,957,Spain
4,945360,39387,Ekain Imaz,957,Spain,4.72,4.72,7,1,72,22,0,0,2,Tackle,142,Chase,160,Passive,0,,475,Ineffective Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,957,Spain,2800,Uruguay,09/11/2024,12:45,24,7,33,24,0,0,583,Estadio Nacional Complutense,-1,NA,1,2025,07,7,Openside Flanker,0,,0,,1001179,Eoghan Cross,1000737,Chris Busby,1001175,Peter Martin,1000368,Quinton Immelman,3,International,Y,W,35269,Felipe Arcos Perez,2800,Uruguay
5,945360,35269,Felipe Arcos Perez,2800,Uruguay,6.12,9.00,9,1,29,46,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,554,2-3 Seconds,666,Close Right Blindside Movement Ruck,0,,0,,0,,0,,0,,0,0,-5,8,,1,1,1,0,0,957,Spain,2800,Uruguay,09/11/2024,12:45,24,7,33,24,0,0,583,Estadio Nacional Complutense,-1,NA,1,2025,13,13,Outside Centre,0,,0,,1001179,Eoghan Cross,1000737,Chris Busby,1001175,Peter Martin,1000368,Quinton Immelman,3,International,N,L,59876,Santiago Alvarez,2800,Uruguay
6,945360,37715,Lucas Bianchi,2800,Uruguay,7.04,7.04,10,1,29,46,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,957,Spain,2800,Uruguay,09/11/2024,12:45,24,7,33,24,0,0,583,Estadio Nacional Complutense,-1,NA,1,2025,07,7,Openside Flanker,0,,0,,1001179,Eoghan Cross,1000737,Chris Busby,1001175,Peter Martin,1000368,Quinton Immelman,3,International,N,L,0,,0,
7,945360,31018,Guillermo Pujadas,2800,Uruguay,7.08,7.08,10,1,29,46,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,957,Spain,2800,Uruguay,09/11/2024,12:45,24,7,33,24,0,0,583,Estadio Nacional Complutense,-1,NA,1,2025,02,2,Hooker,0,,0,,1001179,Eoghan Cross,1000737,Chris Busby,1001175,Peter Martin,1000368,Quinton Immelman,3,International,N,L,0,,0,
8,945360,21938,Mateo Sanguinetti,2800,Uruguay,7.12,7.12,10,1,29,46,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,3,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,957,Spain,2800,Uruguay,09/11/2024,12:45,24,7,33,24,0,0,583,Estadio Nacional Complutense,-1,NA,1,2025,01,1,Loosehead Prop,0,,0,,1001179,Eoghan Cross,1000737,Chris Busby,1001175,Peter Martin,1000368,Quinton Immelman,3,International,N,L,0,,0,
9,945360,59876,Santiago Alvarez,2800,Uruguay,9.00,9.00,12,1,29,46,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,2,1,1,0,0,957,Spain,2800,Uruguay,09/11/2024,12:45,24,7,33,24,0,0,583,Estadio Nacional Complutense,-1,NA,1,2025,09,9,Scrum Half,0,,0,,1001179,Eoghan Cross,1000737,Chris Busby,1001175,Peter Martin,1000368,Quinton Immelman,3,International,N,L,0,,0,
10,945360,59876,Santiago Alvarez,2800,Uruguay,9.00,9.00,12,1,29,46,0,0,47,Playmaker Options,671,Halfback at Breakdown,675,Playmaker Option - Pass,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,2,1,1,0,0,957,Spain,2800,Uruguay,09/11/2024,12:45,24,7,33,24,0,0,583,Estadio Nacional Complutense,-1,NA,1,2025,09,9,Scrum Half,0,,0,,1001179,Eoghan Cross,1000737,Chris Busby,1001175,Peter Martin,1000368,Quinton Immelman,3,International,N,L,0,,0,
11,945360,59876,Santiago Alvarez,2800,Uruguay,9.24,9.88,12,1,29,46,22,50,3,Pass,169,Complete,0,,679,Short Pass,682,Right Pass,700,0th Receiver,0,,0,,0,,0,,0,,4,8,7,0,,2,1,1,0,0,957,Spain,2800,Uruguay,09/11/2024,12:45,24,7,33,24,0,0,583,Estadio Nacional Complutense,-1,NA,1,2025,09,9,Scrum Half,0,,0,,1001179,Eoghan Cross,1000737,Chris Busby,1001175,Peter Martin,1000368,Quinton Immelman,3,International,N,L,43870,Carlos Deus,2800,Uruguay
12,945360,43870,Carlos Deus,2800,Uruguay,9.88,9.88,13,1,22,50,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,2,1,1,0,0,957,Spain,2800,Uruguay,09/11/2024,12:45,24,7,33,24,0,0,583,Estadio Nacional Complutense,-1,NA,1,2025,08,8,Number 8,0,,0,,1001179,Eoghan Cross,1000737,Chris Busby,1001175,Peter Martin,1000368,Quinton Immelman,3,International,N,L,0,,0,
13,945360,0,,2800,Uruguay,9.88,9.88,13,1,22,50,0,0,45,Defensive Exits,629,Carried out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,41,0,0,0,,2,1,1,0,0,957,Spain,2800,Uruguay,09/11/2024,12:45,24,7,33,24,0,0,583,Estadio Nacional Complutense,-1,NA,1,2025,,,,0,,0,,1001179,Eoghan Cross,1000737,Chris Busby,1001175,Peter Martin,1000368,Quinton Immelman,3,International,N,L,0,,0,
14,945360,43870,Carlos Deus,2800,Uruguay,9.88,9.88,13,1,22,50,0,0,47,Playmaker Options,656,First Receiver,673,Playmaker Option - Carry,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,2,1,1,0,0,957,Spain,2800,Uruguay,09/11/2024,12:45,24,7,33,24,0,0,583,Estadio Nacional Complutense,-1,NA,1,2025,08,8,Number 8,0,,0,,1001179,Eoghan Cross,1000737,Chris Busby,1001175,Peter Martin,1000368,Quinton Immelman,3,International,N,L,0,,0,
15,945360,43870,Carlos Deus,2800,Uruguay,9.88,11.80,13,1,22,50,24,54,1,Carry,101,One Out Drive,107,Tackled Dominant,111,Failed Gain line,460,Dominant Contact,501,1 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,0,2,1,1,,2,1,1,0,0,957,Spain,2800,Uruguay,09/11/2024,12:45,24,7,33,24,0,0,583,Estadio Nacional Complutense,-1,NA,1,2025,08,8,Number 8,0,,0,,1001179,Eoghan Cross,1000737,Chris Busby,1001175,Peter Martin,1000368,Quinton Immelman,3,International,N,L,25224,Alvar Gimeno,957,Spain
