ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,945921,900,,900,South Africa,0.00,0.00,2,1,49,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-07-12T15:18:08Z,0,0,0,0,0,900,South Africa,952,Italy,12/07/2025,17:10,24,0,45,0,0,0,162,Nelson Mandela Bay Stadium,-1,NA,1,2026,,,,0,,0,,1000501,Andrew Brace,1000398,Matthew Carley,1000761,Hollie Davidson,1000438,Tual Trainini,3,International,Y,W,0,,0,
1,945921,24843,Manie Libbok,900,South Africa,0.00,0.00,2,1,49,35,0,0,8,Turnover,261,Kick Error,677,Error on Attack,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-07-12T15:18:08Z,1,0,1,0,0,900,South Africa,952,Italy,12/07/2025,17:10,24,0,45,0,0,0,162,Nelson Mandela Bay Stadium,-1,NA,1,2026,10,10,Fly Half,0,,0,,1000501,Andrew Brace,1000398,Matthew Carley,1000761,Hollie Davidson,1000438,Tual Trainini,3,International,Y,W,0,,0,
2,945921,24843,Manie Libbok,900,South Africa,0.00,2.04,2,1,49,35,55,35,14,Restart,281,50m Restart,287,Restart Own Error,289,Short,754,Kicked Straight,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,6,6,0,0,2025-07-12T15:18:08Z,1,0,1,0,0,900,South Africa,952,Italy,12/07/2025,17:10,24,0,45,0,0,0,162,Nelson Mandela Bay Stadium,-1,NA,1,2026,10,10,Fly Half,0,,0,,1000501,Andrew Brace,1000398,Matthew Carley,1000761,Hollie Davidson,1000438,Tual Trainini,3,International,Y,W,0,,0,
3,945921,0,,900,South Africa,0.00,2.04,4,1,49,35,55,35,26,Sequences,307,50m Restart,315,Kick Out of Play,0,,0,,0,,0,,0,,0,,0,,0,,6,0,0,0,2025-07-12T15:18:08Z,1,0,1,0,0,900,South Africa,952,Italy,12/07/2025,17:10,24,0,45,0,0,0,162,Nelson Mandela Bay Stadium,-1,NA,1,2026,,,,0,,0,,1000501,Andrew Brace,1000398,Matthew Carley,1000761,Hollie Davidson,1000438,Tual Trainini,3,International,Y,W,0,,0,
4,945921,38627,Alessandro Garbisi,952,Italy,60.24,61.28,102,1,49,33,0,0,5,Scrum,0,,356,Won Free Kick,365,Neutral,0,,676,N/A Movement Scrum,0,,0,,0,,0,,0,,0,0,0,0,2025-07-12T15:19:08Z,1,0,2,0,0,900,South Africa,952,Italy,12/07/2025,17:10,24,0,45,0,0,0,162,Nelson Mandela Bay Stadium,-1,NA,1,2026,09,9,Scrum Half,0,,0,,1000501,Andrew Brace,1000398,Matthew Carley,1000761,Hollie Davidson,1000438,Tual Trainini,3,International,N,L,0,,0,
5,945921,27370,Danilo Fischetti,952,Italy,60.24,61.28,102,1,49,33,0,0,28,,0,,356,Won Free Kick,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-07-12T15:19:08Z,1,0,2,0,0,900,South Africa,952,Italy,12/07/2025,17:10,24,0,45,0,0,0,162,Nelson Mandela Bay Stadium,-1,NA,1,2026,01,1,Loosehead Prop,0,,0,,1000501,Andrew Brace,1000398,Matthew Carley,1000761,Hollie Davidson,1000438,Tual Trainini,3,International,N,L,0,,0,
6,945921,38617,Tommaso Di Bartolomeo,952,Italy,60.24,61.28,102,1,49,33,0,0,28,,0,,356,Won Free Kick,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-07-12T15:19:08Z,1,0,2,0,0,900,South Africa,952,Italy,12/07/2025,17:10,24,0,45,0,0,0,162,Nelson Mandela Bay Stadium,-1,NA,1,2026,02,2,Hooker,0,,0,,1000501,Andrew Brace,1000398,Matthew Carley,1000761,Hollie Davidson,1000438,Tual Trainini,3,International,N,L,0,,0,
7,945921,20533,Simone Ferrari,952,Italy,60.24,61.28,102,1,49,33,0,0,28,,0,,356,Won Free Kick,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-07-12T15:19:08Z,1,0,2,0,0,900,South Africa,952,Italy,12/07/2025,17:10,24,0,45,0,0,0,162,Nelson Mandela Bay Stadium,-1,NA,1,2026,03,3,Tighthead Prop,0,,0,,1000501,Andrew Brace,1000398,Matthew Carley,1000761,Hollie Davidson,1000438,Tual Trainini,3,International,N,L,0,,0,
8,945921,27864,Niccolo Cannone,952,Italy,60.24,61.28,102,1,49,33,0,0,28,,0,,356,Won Free Kick,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-07-12T15:19:08Z,1,0,2,0,0,900,South Africa,952,Italy,12/07/2025,17:10,24,0,45,0,0,0,162,Nelson Mandela Bay Stadium,-1,NA,1,2026,04,4,Lock (4),0,,0,,1000501,Andrew Brace,1000398,Matthew Carley,1000761,Hollie Davidson,1000438,Tual Trainini,3,International,N,L,0,,0,
9,945921,34688,Andrea Zambonin,952,Italy,60.24,61.28,102,1,49,33,0,0,28,,0,,356,Won Free Kick,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-07-12T15:19:08Z,1,0,2,0,0,900,South Africa,952,Italy,12/07/2025,17:10,24,0,45,0,0,0,162,Nelson Mandela Bay Stadium,-1,NA,1,2026,05,5,Lock (5),0,,0,,1000501,Andrew Brace,1000398,Matthew Carley,1000761,Hollie Davidson,1000438,Tual Trainini,3,International,N,L,0,,0,
