ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,946254,800,,800,Argentina,0.00,5.36,1,1,48,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-07-19T19:43:36Z,0,0,0,0,0,800,Argentina,2800,Uruguay,19/07/2025,16:40,12,7,52,17,0,0,168,Estadio Padre Ernesto Martearena,-1,NA,1,2026,,,,0,,0,,1000854,Gianluca Gnecchi,1000493,Craig Evans,1000769,Federico Vedovelli,1000526,Mike Adamson,3,International,Y,W,0,,0,
1,946254,34542,Nicolas Roger,800,Argentina,0.00,5.36,1,1,48,35,85,54,14,Restart,281,50m Restart,285,Restart Opp Error,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,36,42,20,0,2025-07-19T19:43:36Z,1,1,1,0,0,800,Argentina,2800,Uruguay,19/07/2025,16:40,12,7,52,17,0,0,168,Estadio Padre Ernesto Martearena,-1,NA,1,2026,10,10,Fly Half,0,,0,,1000854,Gianluca Gnecchi,1000493,Craig Evans,1000769,Federico Vedovelli,1000526,Mike Adamson,3,International,Y,W,0,,0,
2,946254,35269,Felipe Arcos Perez,2800,Uruguay,5.36,5.36,7,1,15,14,0,0,18,Collection,275,Restart Catch,278,Fail,797,Kick Receipt Not Contested,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-07-19T19:43:41Z,1,1,1,0,0,800,Argentina,2800,Uruguay,19/07/2025,16:40,12,7,52,17,0,0,168,Estadio Padre Ernesto Martearena,-1,NA,1,2026,13,13,Outside Centre,0,,0,,1000854,Gianluca Gnecchi,1000493,Craig Evans,1000769,Federico Vedovelli,1000526,Mike Adamson,3,International,N,L,0,,0,
3,946254,35269,Felipe Arcos Perez,2800,Uruguay,5.52,5.52,7,1,18,16,0,0,8,Turnover,254,Dropped Ball Unforced,678,Error on Defence,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-07-19T19:43:41Z,1,1,1,0,0,800,Argentina,2800,Uruguay,19/07/2025,16:40,12,7,52,17,0,0,168,Estadio Padre Ernesto Martearena,-1,NA,1,2026,13,13,Outside Centre,0,,0,,1000854,Gianluca Gnecchi,1000493,Craig Evans,1000769,Federico Vedovelli,1000526,Mike Adamson,3,International,N,L,0,,0,
4,946254,0,,800,Argentina,0.00,9.28,11,1,48,35,82,52,15,Possession,350,50m Restart Retained,317,Scrum,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,33,0,0,0,2025-07-19T19:43:36Z,1,1,1,0,0,800,Argentina,2800,Uruguay,19/07/2025,16:40,12,7,52,17,0,0,168,Estadio Padre Ernesto Martearena,-1,NA,1,2026,,,,0,,0,,1000854,Gianluca Gnecchi,1000493,Craig Evans,1000769,Federico Vedovelli,1000526,Mike Adamson,3,International,Y,W,0,,0,
5,946254,0,,800,Argentina,0.00,9.28,11,1,48,35,82,52,26,Sequences,307,50m Restart,317,Scrum,0,,0,,0,,0,,0,,0,,0,,0,,33,0,0,0,2025-07-19T19:43:36Z,1,1,1,0,0,800,Argentina,2800,Uruguay,19/07/2025,16:40,12,7,52,17,0,0,168,Estadio Padre Ernesto Martearena,-1,NA,1,2026,,,,0,,0,,1000854,Gianluca Gnecchi,1000493,Craig Evans,1000769,Federico Vedovelli,1000526,Mike Adamson,3,International,Y,W,0,,0,
6,946254,0,,800,Argentina,48.20,56.12,49,1,18,16,0,0,17,Period,0,Period,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-07-19T19:44:24Z,1,1,1,0,0,800,Argentina,2800,Uruguay,19/07/2025,16:40,12,7,52,17,0,0,168,Estadio Padre Ernesto Martearena,-1,NA,1,2026,,,,0,,0,,1000854,Gianluca Gnecchi,1000493,Craig Evans,1000769,Federico Vedovelli,1000526,Mike Adamson,3,International,Y,W,0,,0,
7,946254,58251,Simon Benitez Cruz,800,Argentina,67.84,70.84,101,1,82,52,0,0,5,Scrum,0,,357,Won Penalty,364,Positive,0,,676,N/A Movement Scrum,0,,0,,0,,0,,0,,0,0,0,0,2025-07-19T19:44:44Z,1,1,2,0,0,800,Argentina,2800,Uruguay,19/07/2025,16:40,12,7,52,17,0,0,168,Estadio Padre Ernesto Martearena,-1,NA,1,2026,09,9,Scrum Half,0,,0,,1000854,Gianluca Gnecchi,1000493,Craig Evans,1000769,Federico Vedovelli,1000526,Mike Adamson,3,International,Y,W,0,,0,
8,946254,28253,Mayco Vivas,800,Argentina,67.84,70.84,101,1,82,52,0,0,28,,0,,357,Won Penalty,364,Positive,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-07-19T19:44:44Z,1,1,2,0,0,800,Argentina,2800,Uruguay,19/07/2025,16:40,12,7,52,17,0,0,168,Estadio Padre Ernesto Martearena,-1,NA,1,2026,01,1,Loosehead Prop,0,,0,,1000854,Gianluca Gnecchi,1000493,Craig Evans,1000769,Federico Vedovelli,1000526,Mike Adamson,3,International,Y,W,0,,0,
9,946254,20776,Julian Montoya,800,Argentina,67.84,70.84,101,1,82,52,0,0,28,,0,,357,Won Penalty,364,Positive,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-07-19T19:44:44Z,1,1,2,0,0,800,Argentina,2800,Uruguay,19/07/2025,16:40,12,7,52,17,0,0,168,Estadio Padre Ernesto Martearena,-1,NA,1,2026,02,2,Hooker,0,,0,,1000854,Gianluca Gnecchi,1000493,Craig Evans,1000769,Federico Vedovelli,1000526,Mike Adamson,3,International,Y,W,0,,0,
