ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,946471,650,,650,France,0.00,4.32,2,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-11-08T20:10:48Z,0,0,0,0,0,650,France,900,South Africa,08/11/2025,21:10,14,13,17,32,0,0,12,Stade de France,-1,NA,1,2026,,,,0,,0,,271,Angus Gardner,1000823,Nika Amashukeli,1000576,Christophe Ridley,1000376,Ian Tempest,3,International,Y,L,0,,0,,
1,946471,27528,Romain Ntamack,650,France,0.00,4.32,2,1,50,34,84,15,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,34,39,20,0,2025-11-08T20:10:48Z,1,0,1,0,0,650,France,900,South Africa,08/11/2025,21:10,14,13,17,32,0,0,12,Stade de France,-1,NA,1,2026,10,10,Fly Half,0,,0,,271,Angus Gardner,1000823,Nika Amashukeli,1000576,Christophe Ridley,1000376,Ian Tempest,3,International,Y,L,0,,0,,
2,946471,20037,Damian de Allende,900,South Africa,4.32,4.32,6,1,16,53,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-11-08T20:10:52Z,1,1,1,0,0,650,France,900,South Africa,08/11/2025,21:10,14,13,17,32,0,0,12,Stade de France,-1,NA,1,2026,12,12,Inside Centre,0,,0,,271,Angus Gardner,1000823,Nika Amashukeli,1000576,Christophe Ridley,1000376,Ian Tempest,3,International,N,W,0,,0,,
3,946471,0,,900,South Africa,4.32,4.32,6,1,16,53,0,0,45,Defensive Exits,629,Carried out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,81,0,0,0,2025-11-08T20:10:52Z,1,1,1,0,0,650,France,900,South Africa,08/11/2025,21:10,14,13,17,32,0,0,12,Stade de France,-1,NA,1,2026,,,,0,,0,,271,Angus Gardner,1000823,Nika Amashukeli,1000576,Christophe Ridley,1000376,Ian Tempest,3,International,N,W,0,,0,,
4,946471,20037,Damian de Allende,900,South Africa,4.32,7.00,6,1,16,53,21,55,1,Carry,105,Restart Return,107,Tackled Dominant,109,Crossed Gain line,460,Dominant Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,5,5,3,1,2025-11-08T20:10:52Z,1,1,1,0,0,650,France,900,South Africa,08/11/2025,21:10,14,13,17,32,0,0,12,Stade de France,-1,NA,1,2026,12,12,Inside Centre,0,,0,,271,Angus Gardner,1000823,Nika Amashukeli,1000576,Christophe Ridley,1000376,Ian Tempest,3,International,N,W,36660,Nolann Le Garrec,650,France,8
5,946471,27023,Pierre-Louis Barassi,650,France,4.72,4.72,6,1,82,15,0,0,2,Tackle,142,Chase,161,Missed,0,,475,Ineffective Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2025-11-08T20:10:53Z,1,1,1,0,0,650,France,900,South Africa,08/11/2025,21:10,14,13,17,32,0,0,12,Stade de France,-1,NA,1,2026,13,13,Outside Centre,0,,0,,271,Angus Gardner,1000823,Nika Amashukeli,1000576,Christophe Ridley,1000376,Ian Tempest,3,International,Y,L,20037,Damian de Allende,900,South Africa,4
6,946471,27023,Pierre-Louis Barassi,650,France,4.72,4.72,6,1,82,15,0,0,12,Missed Tackle,162,Bumped Off,166,Tackled,0,,0,,0,,713,Legs,0,,0,,0,,0,,0,0,0,0,2025-11-08T20:10:53Z,1,1,1,0,0,650,France,900,South Africa,08/11/2025,21:10,14,13,17,32,0,0,12,Stade de France,-1,NA,1,2026,13,13,Outside Centre,0,,0,,271,Angus Gardner,1000823,Nika Amashukeli,1000576,Christophe Ridley,1000376,Ian Tempest,3,International,Y,L,20037,Damian de Allende,900,South Africa,4
7,946471,20037,Damian de Allende,900,South Africa,5.12,5.12,7,1,18,53,0,0,10,Attacking Qualities,116,Defender Beaten,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-11-08T20:10:53Z,1,1,1,0,0,650,France,900,South Africa,08/11/2025,21:10,14,13,17,32,0,0,12,Stade de France,-1,NA,1,2026,12,12,Inside Centre,0,,0,,271,Angus Gardner,1000823,Nika Amashukeli,1000576,Christophe Ridley,1000376,Ian Tempest,3,International,N,W,0,,0,,
8,946471,36660,Nolann Le Garrec,650,France,6.36,6.36,8,1,80,14,0,0,2,Tackle,142,Chase,160,Passive,441,Assist,475,Ineffective Tackle,709,2nd Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2025-11-08T20:10:54Z,1,1,1,0,0,650,France,900,South Africa,08/11/2025,21:10,14,13,17,32,0,0,12,Stade de France,-1,NA,1,2026,09,9,Scrum Half,0,,0,,271,Angus Gardner,1000823,Nika Amashukeli,1000576,Christophe Ridley,1000376,Ian Tempest,3,International,Y,L,20037,Damian de Allende,900,South Africa,4
9,946471,20037,Damian de Allende,900,South Africa,7.00,13.48,9,1,21,55,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,666,Close Right Blindside Movement Ruck,0,,0,,0,,0,,0,,0,0,32,4,2025-11-08T20:10:55Z,1,1,1,0,0,650,France,900,South Africa,08/11/2025,21:10,14,13,17,32,0,0,12,Stade de France,-1,NA,1,2026,12,12,Inside Centre,0,,0,,271,Angus Gardner,1000823,Nika Amashukeli,1000576,Christophe Ridley,1000376,Ian Tempest,3,International,N,W,19122,Cobus Reinach,900,South Africa,14
