ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,946507,800,,800,Argentina,0.00,3.68,0,1,49,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-08-23T21:12:54Z,0,0,0,0,0,800,Argentina,850,New Zealand,23/08/2025,18:10,13,13,29,23,0,0,55,Estadio José Amalfitani,-1,NA,2,2025,,,,0,,0,,1000536,Nic Berry,1000545,Pierre Brousset,1001263,Morne Ferreira,1000642,Damon Murphy,214,The Rugby Championship,Y,W,0,,0,
1,946507,28237,Tomas Albornoz,800,Argentina,0.00,3.68,0,1,49,34,76,4,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,27,41,31,0,2025-08-23T21:12:54Z,1,0,1,0,0,800,Argentina,850,New Zealand,23/08/2025,18:10,13,13,29,23,0,0,55,Estadio José Amalfitani,-1,NA,2,2025,10,10,Fly Half,0,,0,,1000536,Nic Berry,1000545,Pierre Brousset,1001263,Morne Ferreira,1000642,Damon Murphy,214,The Rugby Championship,Y,W,0,,0,
2,946507,39086,Fabian Holland,850,New Zealand,3.68,3.68,4,1,24,64,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-08-23T21:12:58Z,1,1,1,0,0,800,Argentina,850,New Zealand,23/08/2025,18:10,13,13,29,23,0,0,55,Estadio José Amalfitani,-1,NA,2,2025,05,5,Lock (5),0,,0,,1000536,Nic Berry,1000545,Pierre Brousset,1001263,Morne Ferreira,1000642,Damon Murphy,214,The Rugby Championship,N,L,0,,0,
3,946507,39086,Fabian Holland,850,New Zealand,3.68,4.92,4,1,24,64,27,66,1,Carry,105,Restart Return,107,Tackled Dominant,109,Crossed Gain line,460,Dominant Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,3,3,2,2,2025-08-23T21:12:58Z,1,1,1,0,0,800,Argentina,850,New Zealand,23/08/2025,18:10,13,13,29,23,0,0,55,Estadio José Amalfitani,-1,NA,2,2025,05,5,Lock (5),0,,0,,1000536,Nic Berry,1000545,Pierre Brousset,1001263,Morne Ferreira,1000642,Damon Murphy,214,The Rugby Championship,N,L,30911,Mateo Carreras,800,Argentina
4,946507,30911,Mateo Carreras,800,Argentina,4.76,4.76,5,1,75,2,0,0,2,Tackle,142,Chase,160,Passive,0,,475,Ineffective Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-08-23T21:12:59Z,1,1,1,0,0,800,Argentina,850,New Zealand,23/08/2025,18:10,13,13,29,23,0,0,55,Estadio José Amalfitani,-1,NA,2,2025,11,11,Left Wing,0,,0,,1000536,Nic Berry,1000545,Pierre Brousset,1001263,Morne Ferreira,1000642,Damon Murphy,214,The Rugby Championship,Y,W,39086,Fabian Holland,850,New Zealand
5,946507,39086,Fabian Holland,850,New Zealand,4.92,9.60,5,1,27,66,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,556,4-5 Seconds,661,Mid Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-6,11,2025-08-23T21:12:59Z,1,1,1,0,0,800,Argentina,850,New Zealand,23/08/2025,18:10,13,13,29,23,0,0,55,Estadio José Amalfitani,-1,NA,2,2025,05,5,Lock (5),0,,0,,1000536,Nic Berry,1000545,Pierre Brousset,1001263,Morne Ferreira,1000642,Damon Murphy,214,The Rugby Championship,N,L,37618,Cortez Ratima,850,New Zealand
6,946507,20064,Ardie Savea,850,New Zealand,6.48,6.48,7,1,27,66,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2025-08-23T21:12:56Z,1,1,1,0,0,800,Argentina,850,New Zealand,23/08/2025,18:10,13,13,29,23,0,0,55,Estadio José Amalfitani,-1,NA,2,2025,07,7,Openside Flanker,0,,0,,1000536,Nic Berry,1000545,Pierre Brousset,1001263,Morne Ferreira,1000642,Damon Murphy,214,The Rugby Championship,N,L,0,,0,
7,946507,26115,Sevu Reece,850,New Zealand,7.36,7.36,8,1,27,66,0,0,43,Ruck OOA,575,Attended,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2025-08-23T21:12:57Z,1,1,1,0,0,800,Argentina,850,New Zealand,23/08/2025,18:10,13,13,29,23,0,0,55,Estadio José Amalfitani,-1,NA,2,2025,14,14,Right Wing,0,,0,,1000536,Nic Berry,1000545,Pierre Brousset,1001263,Morne Ferreira,1000642,Damon Murphy,214,The Rugby Championship,N,L,0,,0,
8,946507,34448,Fletcher Newell,850,New Zealand,7.40,7.40,8,1,27,66,0,0,43,Ruck OOA,575,Attended,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2025-08-23T21:12:57Z,1,1,1,0,0,800,Argentina,850,New Zealand,23/08/2025,18:10,13,13,29,23,0,0,55,Estadio José Amalfitani,-1,NA,2,2025,03,3,Tighthead Prop,0,,0,,1000536,Nic Berry,1000545,Pierre Brousset,1001263,Morne Ferreira,1000642,Damon Murphy,214,The Rugby Championship,N,L,0,,0,
9,946507,37618,Cortez Ratima,850,New Zealand,9.60,9.60,10,1,27,66,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-08-23T21:13:04Z,2,1,1,0,0,800,Argentina,850,New Zealand,23/08/2025,18:10,13,13,29,23,0,0,55,Estadio José Amalfitani,-1,NA,2,2025,09,9,Scrum Half,0,,0,,1000536,Nic Berry,1000545,Pierre Brousset,1001263,Morne Ferreira,1000642,Damon Murphy,214,The Rugby Championship,N,L,0,,0,
