ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,947028,2900,,2900,Namibia,0.00,3.88,1,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-06-27T13:06:03Z,0,0,0,0,0,2900,Namibia,952,Italy,27/06/2025,14:00,6,40,6,73,0,0,374,Hage Geingob Stadium,-1,NA,1,2026,,,,0,,0,,1000501,Andrew Brace,1001263,Morne Ferreira,1000653,Aimee Barrett-Theron,122,Marius Jonker,3,International,Y,L,0,,0,
1,947028,26065,Tiaan Swanepoel,2900,Namibia,0.00,3.88,1,1,50,34,70,37,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,754,Kicked Straight,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,21,21,4,0,2025-06-27T13:06:03Z,1,0,1,0,0,2900,Namibia,952,Italy,27/06/2025,14:00,6,40,6,73,0,0,374,Hage Geingob Stadium,-1,NA,1,2026,10,10,Fly Half,0,,0,,1000501,Andrew Brace,1001263,Morne Ferreira,1000653,Aimee Barrett-Theron,122,Marius Jonker,3,International,Y,L,0,,0,
2,947028,37801,Tommaso Menoncello,952,Italy,3.88,3.88,5,1,30,31,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-06-27T13:06:07Z,1,1,1,0,0,2900,Namibia,952,Italy,27/06/2025,14:00,6,40,6,73,0,0,374,Hage Geingob Stadium,-1,NA,1,2026,13,13,Outside Centre,0,,0,,1000501,Andrew Brace,1001263,Morne Ferreira,1000653,Aimee Barrett-Theron,122,Marius Jonker,3,International,N,W,0,,0,
3,947028,37801,Tommaso Menoncello,952,Italy,3.88,6.20,5,1,30,31,36,32,1,Carry,105,Restart Return,107,Tackled Dominant,109,Crossed Gain line,460,Dominant Contact,503,3 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,6,6,2,2,2025-06-27T13:06:07Z,1,1,1,0,0,2900,Namibia,952,Italy,27/06/2025,14:00,6,40,6,73,0,0,374,Hage Geingob Stadium,-1,NA,1,2026,13,13,Outside Centre,0,,0,,1000501,Andrew Brace,1001263,Morne Ferreira,1000653,Aimee Barrett-Theron,122,Marius Jonker,3,International,N,W,25948,Max Katjijeko,2900,Namibia
4,947028,25948,Max Katjijeko,2900,Namibia,4.40,4.40,5,1,66,36,0,0,2,Tackle,142,Chase,160,Passive,0,,475,Ineffective Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-06-27T13:06:08Z,1,1,1,0,0,2900,Namibia,952,Italy,27/06/2025,14:00,6,40,6,73,0,0,374,Hage Geingob Stadium,-1,NA,1,2026,07,7,Openside Flanker,0,,0,,1000501,Andrew Brace,1001263,Morne Ferreira,1000653,Aimee Barrett-Theron,122,Marius Jonker,3,International,Y,L,37801,Tommaso Menoncello,952,Italy
5,947028,29547,Adriaan Booysen,2900,Namibia,5.76,5.76,7,1,66,36,0,0,2,Tackle,142,Chase,160,Passive,441,Assist,475,Ineffective Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-06-27T13:06:09Z,1,1,1,0,0,2900,Namibia,952,Italy,27/06/2025,14:00,6,40,6,73,0,0,374,Hage Geingob Stadium,-1,NA,1,2026,08,8,Number 8,0,,0,,1000501,Andrew Brace,1001263,Morne Ferreira,1000653,Aimee Barrett-Theron,122,Marius Jonker,3,International,Y,L,37801,Tommaso Menoncello,952,Italy
6,947028,26883,Johan Retief,2900,Namibia,6.04,6.04,7,1,66,36,0,0,2,Tackle,142,Chase,160,Passive,441,Assist,475,Ineffective Tackle,710,3rd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-06-27T13:06:09Z,1,1,1,0,0,2900,Namibia,952,Italy,27/06/2025,14:00,6,40,6,73,0,0,374,Hage Geingob Stadium,-1,NA,1,2026,05,5,Lock (5),0,,0,,1000501,Andrew Brace,1001263,Morne Ferreira,1000653,Aimee Barrett-Theron,122,Marius Jonker,3,International,Y,L,37801,Tommaso Menoncello,952,Italy
7,947028,37801,Tommaso Menoncello,952,Italy,6.20,10.16,7,1,36,32,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,555,3-4 Seconds,663,Close Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-1,7,2025-06-27T13:06:10Z,1,1,1,0,0,2900,Namibia,952,Italy,27/06/2025,14:00,6,40,6,73,0,0,374,Hage Geingob Stadium,-1,NA,1,2026,13,13,Outside Centre,0,,0,,1000501,Andrew Brace,1001263,Morne Ferreira,1000653,Aimee Barrett-Theron,122,Marius Jonker,3,International,N,W,30073,Alessandro Fusco,952,Italy
8,947028,29547,Adriaan Booysen,2900,Namibia,6.88,6.88,8,1,64,36,0,0,43,Ruck OOA,578,Got Cleaned Out,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2025-06-27T13:06:07Z,1,1,1,0,0,2900,Namibia,952,Italy,27/06/2025,14:00,6,40,6,73,0,0,374,Hage Geingob Stadium,-1,NA,1,2026,08,8,Number 8,0,,0,,1000501,Andrew Brace,1001263,Morne Ferreira,1000653,Aimee Barrett-Theron,122,Marius Jonker,3,International,Y,L,0,,0,
9,947028,27864,Niccolo Cannone,952,Italy,6.92,6.92,8,1,36,32,0,0,43,Ruck OOA,572,Cleaned Out,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2025-06-27T13:06:07Z,1,1,1,0,0,2900,Namibia,952,Italy,27/06/2025,14:00,6,40,6,73,0,0,374,Hage Geingob Stadium,-1,NA,1,2026,04,4,Lock (4),0,,0,,1000501,Andrew Brace,1001263,Morne Ferreira,1000653,Aimee Barrett-Theron,122,Marius Jonker,3,International,N,W,0,,0,
