ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,947036,953,,953,Canada,0.00,2.76,4,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-08-23T01:09:24Z,0,0,0,0,0,953,Canada,2950,USA,22/08/2025,19:00,17,17,34,20,0,0,1560,McMahon Stadium,-1,NA,1,2025,,,,0,,0,,1000335,Luke Pearce,1000666,Adam Leal,1000665,Anthony Woodthorpe,191,Eric Gauzins,219,Pacific Nations Cup,Y,W,0,,0,
1,947036,33642,Cooper Coats,953,Canada,0.00,2.76,4,1,50,34,85,7,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,35,45,28,0,2025-08-23T01:09:24Z,1,0,1,0,0,953,Canada,2950,USA,22/08/2025,19:00,17,17,34,20,0,0,1560,McMahon Stadium,-1,NA,1,2025,10,10,Fly Half,0,,0,,1000335,Luke Pearce,1000666,Adam Leal,1000665,Anthony Woodthorpe,191,Eric Gauzins,219,Pacific Nations Cup,Y,W,0,,0,
2,947036,33897,Rufus McLean,2950,USA,2.76,2.76,7,1,15,61,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-08-23T01:09:26Z,1,1,1,0,0,953,Canada,2950,USA,22/08/2025,19:00,17,17,34,20,0,0,1560,McMahon Stadium,-1,NA,1,2025,14,14,Right Wing,0,,0,,1000335,Luke Pearce,1000666,Adam Leal,1000665,Anthony Woodthorpe,191,Eric Gauzins,219,Pacific Nations Cup,N,L,0,,0,
3,947036,0,,2950,USA,2.76,2.76,7,1,15,61,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,50,0,0,0,2025-08-23T01:09:26Z,1,1,1,0,0,953,Canada,2950,USA,22/08/2025,19:00,17,17,34,20,0,0,1560,McMahon Stadium,-1,NA,1,2025,,,,0,,0,,1000335,Luke Pearce,1000666,Adam Leal,1000665,Anthony Woodthorpe,191,Eric Gauzins,219,Pacific Nations Cup,N,L,0,,0,
4,947036,33897,Rufus McLean,2950,USA,3.40,5.52,7,1,15,61,15,57,3,Pass,169,Complete,0,,679,Short Pass,681,Left Pass,700,0th Receiver,0,,0,,0,,0,,0,,3,3,0,0,2025-08-23T01:09:27Z,1,1,1,0,0,953,Canada,2950,USA,22/08/2025,19:00,17,17,34,20,0,0,1560,McMahon Stadium,-1,NA,1,2025,14,14,Right Wing,0,,0,,1000335,Luke Pearce,1000666,Adam Leal,1000665,Anthony Woodthorpe,191,Eric Gauzins,219,Pacific Nations Cup,N,L,40407,Makeen Alikhan,2950,USA
5,947036,40407,Makeen Alikhan,2950,USA,5.52,5.52,9,1,15,57,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-08-23T01:09:29Z,1,1,1,0,0,953,Canada,2950,USA,22/08/2025,19:00,17,17,34,20,0,0,1560,McMahon Stadium,-1,NA,1,2025,08,8,Number 8,0,,0,,1000335,Luke Pearce,1000666,Adam Leal,1000665,Anthony Woodthorpe,191,Eric Gauzins,219,Pacific Nations Cup,N,L,0,,0,
6,947036,40407,Makeen Alikhan,2950,USA,5.52,6.36,9,1,15,57,21,57,1,Carry,105,Restart Return,107,Tackled Dominant,109,Crossed Gain line,460,Dominant Contact,502,2 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,6,7,2,2,2025-08-23T01:09:29Z,1,1,1,0,0,953,Canada,2950,USA,22/08/2025,19:00,17,17,34,20,0,0,1560,McMahon Stadium,-1,NA,1,2025,08,8,Number 8,0,,0,,1000335,Luke Pearce,1000666,Adam Leal,1000665,Anthony Woodthorpe,191,Eric Gauzins,219,Pacific Nations Cup,N,L,23555,Evan Olmstead,953,Canada
7,947036,23555,Evan Olmstead,953,Canada,5.68,5.68,10,1,81,11,0,0,2,Tackle,142,Chase,160,Passive,0,,475,Ineffective Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2025-08-23T01:09:29Z,1,1,1,0,0,953,Canada,2950,USA,22/08/2025,19:00,17,17,34,20,0,0,1560,McMahon Stadium,-1,NA,1,2025,05,5,Lock (5),0,,0,,1000335,Luke Pearce,1000666,Adam Leal,1000665,Anthony Woodthorpe,191,Eric Gauzins,219,Pacific Nations Cup,Y,W,40407,Makeen Alikhan,2950,USA
8,947036,39953,Matt Oworu,953,Canada,5.72,5.72,10,1,81,11,0,0,2,Tackle,142,Chase,160,Passive,441,Assist,475,Ineffective Tackle,709,2nd Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2025-08-23T01:09:29Z,1,1,1,0,0,953,Canada,2950,USA,22/08/2025,19:00,17,17,34,20,0,0,1560,McMahon Stadium,-1,NA,1,2025,06,6,Blindside Flanker,0,,0,,1000335,Luke Pearce,1000666,Adam Leal,1000665,Anthony Woodthorpe,191,Eric Gauzins,219,Pacific Nations Cup,Y,W,40407,Makeen Alikhan,2950,USA
9,947036,40407,Makeen Alikhan,2950,USA,6.36,14.64,10,1,21,57,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,676,N/A Movement Ruck,0,,0,,0,,0,,0,,0,0,0,0,2025-08-23T01:09:29Z,1,1,1,0,0,953,Canada,2950,USA,22/08/2025,19:00,17,17,34,20,0,0,1560,McMahon Stadium,-1,NA,1,2025,08,8,Number 8,0,,0,,1000335,Luke Pearce,1000666,Adam Leal,1000665,Anthony Woodthorpe,191,Eric Gauzins,219,Pacific Nations Cup,N,L,21723,Juan Philip Smith,2950,USA
