ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,947104,650,,650,France,0.00,3.76,2,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-05T20:10:58Z,0,0,0,0,0,650,France,600,Ireland,05/02/2026,21:10,22,0,36,14,0,0,12,Stade de France,-1,,1,2026,,,,0,,0,,1000725,Karl Dickson,271,Angus Gardner,1000544,Jordan Way,1000376,Ian Tempest,209,Six Nations,Y,W,0,,0,,
1,947104,56271,Sam Prendergast,600,Ireland,0.00,3.76,2,1,50,34,90,56,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,40,46,23,0,2026-02-05T20:10:58Z,1,0,1,0,0,650,France,600,Ireland,05/02/2026,21:10,22,0,36,14,0,0,12,Stade de France,-1,,1,2026,10,10,Fly Half,0,,0,,1000725,Karl Dickson,271,Angus Gardner,1000544,Jordan Way,1000376,Ian Tempest,209,Six Nations,N,L,0,,0,,
2,947104,36653,Mickael Guillard,650,France,3.76,3.76,5,1,11,12,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-05T20:11:02Z,1,1,1,0,0,650,France,600,Ireland,05/02/2026,21:10,22,0,36,14,0,0,12,Stade de France,-1,,1,2026,05,5,Lock (5),0,,0,,1000725,Karl Dickson,271,Angus Gardner,1000544,Jordan Way,1000376,Ian Tempest,209,Six Nations,Y,W,0,,0,,
3,947104,0,,650,France,3.76,3.76,5,1,11,12,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,33,0,0,0,2026-02-05T20:11:02Z,1,1,1,0,0,650,France,600,Ireland,05/02/2026,21:10,22,0,36,14,0,0,12,Stade de France,-1,,1,2026,,,,0,,0,,1000725,Karl Dickson,271,Angus Gardner,1000544,Jordan Way,1000376,Ian Tempest,209,Six Nations,Y,W,0,,0,,
4,947104,36653,Mickael Guillard,650,France,3.76,5.92,5,1,11,12,17,14,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,7,7,1,1,2026-02-05T20:11:02Z,1,1,1,0,0,650,France,600,Ireland,05/02/2026,21:10,22,0,36,14,0,0,12,Stade de France,-1,,1,2026,05,5,Lock (5),0,,0,,1000725,Karl Dickson,271,Angus Gardner,1000544,Jordan Way,1000376,Ian Tempest,209,Six Nations,Y,W,19657,Tadhg Beirne,600,Ireland,5
5,947104,19657,Tadhg Beirne,600,Ireland,5.56,5.56,7,1,84,55,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-02-05T20:11:04Z,1,1,1,0,0,650,France,600,Ireland,05/02/2026,21:10,22,0,36,14,0,0,12,Stade de France,-1,,1,2026,05,5,Lock (5),0,,0,,1000725,Karl Dickson,271,Angus Gardner,1000544,Jordan Way,1000376,Ian Tempest,209,Six Nations,N,L,36653,Mickael Guillard,650,France,4
6,947104,36697,Joe McCarthy,600,Ireland,5.64,5.64,7,1,84,55,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2026-02-05T20:11:04Z,1,1,1,0,0,650,France,600,Ireland,05/02/2026,21:10,22,0,36,14,0,0,12,Stade de France,-1,,1,2026,04,4,Lock (4),0,,0,,1000725,Karl Dickson,271,Angus Gardner,1000544,Jordan Way,1000376,Ian Tempest,209,Six Nations,N,L,36653,Mickael Guillard,650,France,4
7,947104,36653,Mickael Guillard,650,France,5.92,12.28,8,1,17,14,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,668,Tight Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-6,0,2026-02-05T20:11:04Z,1,1,1,0,0,650,France,600,Ireland,05/02/2026,21:10,22,0,36,14,0,0,12,Stade de France,-1,,1,2026,05,5,Lock (5),0,,0,,1000725,Karl Dickson,271,Angus Gardner,1000544,Jordan Way,1000376,Ian Tempest,209,Six Nations,Y,W,22551,Antoine Dupont,650,France,14
8,947104,20582,Charles Ollivon,650,France,7.20,7.20,9,1,17,14,0,0,43,Ruck OOA,575,Attended,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-02-05T20:11:05Z,1,1,1,0,0,650,France,600,Ireland,05/02/2026,21:10,22,0,36,14,0,0,12,Stade de France,-1,,1,2026,04,4,Lock (4),0,,0,,1000725,Karl Dickson,271,Angus Gardner,1000544,Jordan Way,1000376,Ian Tempest,209,Six Nations,Y,W,0,,0,,
9,947104,22521,Julien Marchand,650,France,7.32,7.32,9,1,17,14,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-02-05T20:11:05Z,1,1,1,0,0,650,France,600,Ireland,05/02/2026,21:10,22,0,36,14,0,0,12,Stade de France,-1,,1,2026,02,2,Hooker,0,,0,,1000725,Karl Dickson,271,Angus Gardner,1000544,Jordan Way,1000376,Ian Tempest,209,Six Nations,Y,W,0,,0,,
