ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,947109,500,,500,Wales,0.00,4.00,2,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-15T15:11:06Z,0,0,0,0,0,500,Wales,650,France,15/02/2026,15:10,7,26,12,54,0,0,4,Principality Stadium,-1,,2,2026,,,,0,,0,,1000678,James Doleman,1000576,Christophe Ridley,1000525,Sam Grove-White,260,Richard Kelly,209,Six Nations,Y,L,0,,0,,
1,947109,43905,Dan Edwards,500,Wales,0.00,4.00,2,1,50,34,82,20,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,32,35,14,0,2026-02-15T15:11:06Z,1,0,1,0,0,500,Wales,650,France,15/02/2026,15:10,7,26,12,54,0,0,4,Principality Stadium,-1,,2,2026,10,10,Fly Half,0,,0,,1000678,James Doleman,1000576,Christophe Ridley,1000525,Sam Grove-White,260,Richard Kelly,209,Six Nations,Y,L,0,,0,,
2,947109,23286,Anthony Jelonch,650,France,4.00,4.00,6,1,18,48,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-15T15:11:10Z,1,1,1,0,0,500,Wales,650,France,15/02/2026,15:10,7,26,12,54,0,0,4,Principality Stadium,-1,,2,2026,08,8,Number 8,0,,0,,1000678,James Doleman,1000576,Christophe Ridley,1000525,Sam Grove-White,260,Richard Kelly,209,Six Nations,N,W,0,,0,,
3,947109,0,,650,France,4.00,4.00,6,1,18,48,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,46,0,0,0,2026-02-15T15:11:10Z,1,1,1,0,0,500,Wales,650,France,15/02/2026,15:10,7,26,12,54,0,0,4,Principality Stadium,-1,,2,2026,,,,0,,0,,1000678,James Doleman,1000576,Christophe Ridley,1000525,Sam Grove-White,260,Richard Kelly,209,Six Nations,N,W,0,,0,,
4,947109,23286,Anthony Jelonch,650,France,4.00,6.84,6,1,18,48,20,44,1,Carry,105,Restart Return,107,Tackled Dominant,109,Crossed Gain line,460,Dominant Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,2,2,2,2,2026-02-15T15:11:10Z,1,1,1,0,0,500,Wales,650,France,15/02/2026,15:10,7,26,12,54,0,0,4,Principality Stadium,-1,,2,2026,08,8,Number 8,0,,0,,1000678,James Doleman,1000576,Christophe Ridley,1000525,Sam Grove-White,260,Richard Kelly,209,Six Nations,N,W,29806,Dewi Lake,500,Wales,5
5,947109,29806,Dewi Lake,500,Wales,6.00,6.00,8,1,82,23,0,0,2,Tackle,142,Chase,160,Passive,0,,475,Ineffective Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-02-15T15:11:12Z,1,1,1,0,0,500,Wales,650,France,15/02/2026,15:10,7,26,12,54,0,0,4,Principality Stadium,-1,,2,2026,02,2,Hooker,0,,0,,1000678,James Doleman,1000576,Christophe Ridley,1000525,Sam Grove-White,260,Richard Kelly,209,Six Nations,Y,L,23286,Anthony Jelonch,650,France,4
6,947109,60604,Ellis Mee,500,Wales,6.80,6.80,8,1,82,23,0,0,40,Defensive Action,560,Tackle Arrival,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-15T15:11:13Z,1,1,1,0,0,500,Wales,650,France,15/02/2026,15:10,7,26,12,54,0,0,4,Principality Stadium,-1,,2,2026,14,14,Right Wing,0,,0,,1000678,James Doleman,1000576,Christophe Ridley,1000525,Sam Grove-White,260,Richard Kelly,209,Six Nations,Y,L,0,,0,,
7,947109,23286,Anthony Jelonch,650,France,6.84,12.72,8,1,20,44,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,557,5-6 Seconds,668,Tight Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-3,2,2026-02-15T15:11:13Z,1,1,1,0,0,500,Wales,650,France,15/02/2026,15:10,7,26,12,54,0,0,4,Principality Stadium,-1,,2,2026,08,8,Number 8,0,,0,,1000678,James Doleman,1000576,Christophe Ridley,1000525,Sam Grove-White,260,Richard Kelly,209,Six Nations,N,W,22551,Antoine Dupont,650,France,12
8,947109,20559,Francois Cros,650,France,7.60,7.60,9,1,20,44,0,0,43,Ruck OOA,572,Cleaned Out,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-02-15T15:11:14Z,1,1,1,0,0,500,Wales,650,France,15/02/2026,15:10,7,26,12,54,0,0,4,Principality Stadium,-1,,2,2026,06,6,Blindside Flanker,0,,0,,1000678,James Doleman,1000576,Christophe Ridley,1000525,Sam Grove-White,260,Richard Kelly,209,Six Nations,N,W,0,,0,,
9,947109,29782,Jean-Baptiste Gros,650,France,8.88,8.88,11,1,20,44,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-02-15T15:11:15Z,1,1,1,0,0,500,Wales,650,France,15/02/2026,15:10,7,26,12,54,0,0,4,Principality Stadium,-1,,2,2026,01,1,Loosehead Prop,0,,0,,1000678,James Doleman,1000576,Christophe Ridley,1000525,Sam Grove-White,260,Richard Kelly,209,Six Nations,N,W,0,,0,,
10,947109,21185,Dorian Aldegheri,650,France,9.76,9.76,11,1,20,44,0,0,43,Ruck OOA,575,Attended,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2026-02-15T15:11:16Z,1,1,1,0,0,500,Wales,650,France,15/02/2026,15:10,7,26,12,54,0,0,4,Principality Stadium,-1,,2,2026,03,3,Tighthead Prop,0,,0,,1000678,James Doleman,1000576,Christophe Ridley,1000525,Sam Grove-White,260,Richard Kelly,209,Six Nations,N,W,0,,0,,
11,947109,36653,Mickael Guillard,650,France,11.12,11.12,13,1,20,44,0,0,43,Ruck OOA,575,Attended,586,Own Team 4th Entry,591,OOA Entry 4th Entry- Att,632,Attacking OOA,0,,0,4,0,,0,,0,,0,,0,0,0,0,2026-02-15T15:11:17Z,1,1,1,0,0,500,Wales,650,France,15/02/2026,15:10,7,26,12,54,0,0,4,Principality Stadium,-1,,2,2026,05,5,Lock (5),0,,0,,1000678,James Doleman,1000576,Christophe Ridley,1000525,Sam Grove-White,260,Richard Kelly,209,Six Nations,N,W,0,,0,,
12,947109,22551,Antoine Dupont,650,France,12.72,12.72,14,1,20,44,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-15T15:11:19Z,2,1,1,0,0,500,Wales,650,France,15/02/2026,15:10,7,26,12,54,0,0,4,Principality Stadium,-1,,2,2026,09,9,Scrum Half,0,,0,,1000678,James Doleman,1000576,Christophe Ridley,1000525,Sam Grove-White,260,Richard Kelly,209,Six Nations,N,W,0,,0,,
13,947109,22551,Antoine Dupont,650,France,12.72,12.72,14,1,20,44,0,0,47,Playmaker Options,671,Halfback at Breakdown,674,Playmaker Option - Kick,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-15T15:11:19Z,2,1,1,0,0,500,Wales,650,France,15/02/2026,15:10,7,26,12,54,0,0,4,Principality Stadium,-1,,2,2026,09,9,Scrum Half,0,,0,,1000678,James Doleman,1000576,Christophe Ridley,1000525,Sam Grove-White,260,Richard Kelly,209,Six Nations,N,W,0,,0,,
