ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,947117,500,,500,Wales,0.00,3.96,2,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-14T16:41:43Z,0,0,0,0,0,500,Wales,952,Italy,14/03/2026,16:40,21,0,31,17,0,0,4,Principality Stadium,-1,,5,2026,,,,0,,0,,1000576,Christophe Ridley,1000398,Matthew Carley,1001179,Eoghan Cross,1000526,Mike Adamson,209,Six Nations,Y,W,0,,0,,
1,947117,33837,Paolo Garbisi,952,Italy,0.00,3.96,2,1,50,34,85,33,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,754,Kicked Straight,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,35,35,1,0,2026-03-14T16:41:43Z,1,0,1,0,0,500,Wales,952,Italy,14/03/2026,16:40,21,0,31,17,0,0,4,Principality Stadium,-1,,5,2026,10,10,Fly Half,0,,0,,1000576,Christophe Ridley,1000398,Matthew Carley,1001179,Eoghan Cross,1000526,Mike Adamson,209,Six Nations,N,L,0,,0,,
2,947117,31213,Louis Rees-Zammit,500,Wales,3.96,3.96,6,1,15,35,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-14T16:41:47Z,1,1,1,0,0,500,Wales,952,Italy,14/03/2026,16:40,21,0,31,17,0,0,4,Principality Stadium,-1,,5,2026,15,15,Full Back,0,,0,,1000576,Christophe Ridley,1000398,Matthew Carley,1001179,Eoghan Cross,1000526,Mike Adamson,209,Six Nations,Y,W,0,,0,,
3,947117,0,,500,Wales,3.96,3.96,6,1,15,35,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,37,0,0,0,2026-03-14T16:41:47Z,1,1,1,0,0,500,Wales,952,Italy,14/03/2026,16:40,21,0,31,17,0,0,4,Principality Stadium,-1,,5,2026,,,,0,,0,,1000576,Christophe Ridley,1000398,Matthew Carley,1001179,Eoghan Cross,1000526,Mike Adamson,209,Six Nations,Y,W,0,,0,,
4,947117,31213,Louis Rees-Zammit,500,Wales,3.96,9.60,6,1,15,35,20,20,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,503,3 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,5,5,7,1,2026-03-14T16:41:47Z,1,1,1,0,0,500,Wales,952,Italy,14/03/2026,16:40,21,0,31,17,0,0,4,Principality Stadium,-1,,5,2026,15,15,Full Back,0,,0,,1000576,Christophe Ridley,1000398,Matthew Carley,1001179,Eoghan Cross,1000526,Mike Adamson,209,Six Nations,Y,W,27368,Michele Lamaro,952,Italy,8
5,947117,22334,Monty Ioane,952,Italy,4.44,4.44,7,1,87,34,0,0,2,Tackle,142,Chase,161,Missed,0,,475,Ineffective Tackle,708,1st Tackler,0,,0,,0,,0,,0,,0,0,0,0,2026-03-14T16:41:48Z,1,1,1,0,0,500,Wales,952,Italy,14/03/2026,16:40,21,0,31,17,0,0,4,Principality Stadium,-1,,5,2026,11,11,Left Wing,0,,0,,1000576,Christophe Ridley,1000398,Matthew Carley,1001179,Eoghan Cross,1000526,Mike Adamson,209,Six Nations,N,L,31213,Louis Rees-Zammit,500,Wales,4
6,947117,22334,Monty Ioane,952,Italy,4.44,4.44,7,1,87,34,0,0,12,Missed Tackle,163,Stepped,166,Tackled,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-14T16:41:48Z,1,1,1,0,0,500,Wales,952,Italy,14/03/2026,16:40,21,0,31,17,0,0,4,Principality Stadium,-1,,5,2026,11,11,Left Wing,0,,0,,1000576,Christophe Ridley,1000398,Matthew Carley,1001179,Eoghan Cross,1000526,Mike Adamson,209,Six Nations,N,L,31213,Louis Rees-Zammit,500,Wales,4
7,947117,31213,Louis Rees-Zammit,500,Wales,5.28,5.28,7,1,13,34,0,0,10,Attacking Qualities,116,Defender Beaten,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-14T16:41:48Z,1,1,1,0,0,500,Wales,952,Italy,14/03/2026,16:40,21,0,31,17,0,0,4,Principality Stadium,-1,,5,2026,15,15,Full Back,0,,0,,1000576,Christophe Ridley,1000398,Matthew Carley,1001179,Eoghan Cross,1000526,Mike Adamson,209,Six Nations,Y,W,0,,0,,
8,947117,27368,Michele Lamaro,952,Italy,7.60,7.60,10,1,81,47,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-03-14T16:41:51Z,1,1,1,0,0,500,Wales,952,Italy,14/03/2026,16:40,21,0,31,17,0,0,4,Principality Stadium,-1,,5,2026,06,6,Blindside Flanker,0,,0,,1000576,Christophe Ridley,1000398,Matthew Carley,1001179,Eoghan Cross,1000526,Mike Adamson,209,Six Nations,N,L,31213,Louis Rees-Zammit,500,Wales,4
9,947117,36688,Lorenzo Cannone,952,Italy,7.64,7.64,10,1,81,47,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,710,3rd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-03-14T16:41:51Z,1,1,1,0,0,500,Wales,952,Italy,14/03/2026,16:40,21,0,31,17,0,0,4,Principality Stadium,-1,,5,2026,08,8,Number 8,0,,0,,1000576,Christophe Ridley,1000398,Matthew Carley,1001179,Eoghan Cross,1000526,Mike Adamson,209,Six Nations,N,L,31213,Louis Rees-Zammit,500,Wales,4
