ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948855,5209,,5209,Tokyo Sungoliath,0.00,3.40,2,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-05-23T05:31:14Z,0,0,0,0,0,5209,Tokyo Sungoliath,5208,BlackRams Tokyo,23/05/2026,14:30,27,10,40,35,0,0,69,Prince Chichibu Memorial Stadium,-1,,19,2026,,,,0,,0,,1001491,Katsuki Furuse,1001683,Masaki Kondo,1000990,Toshimasa Sekiya,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,W,0,,0,,
1,948855,61472,Ichigo Nakakusu,5208,BlackRams Tokyo,0.00,3.40,2,1,50,34,76,33,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,754,Kicked Straight,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,26,26,0,0,2026-05-23T05:31:14Z,1,0,1,0,0,5209,Tokyo Sungoliath,5208,BlackRams Tokyo,23/05/2026,14:30,27,10,40,35,0,0,69,Prince Chichibu Memorial Stadium,-1,,19,2026,10,10,Fly Half,0,,0,,1001491,Katsuki Furuse,1001683,Masaki Kondo,1000990,Toshimasa Sekiya,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,L,0,,0,,
2,948855,21961,Kotaro Matsushima,5209,Tokyo Sungoliath,3.40,3.40,5,1,24,35,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-05-23T05:31:18Z,1,1,1,0,0,5209,Tokyo Sungoliath,5208,BlackRams Tokyo,23/05/2026,14:30,27,10,40,35,0,0,69,Prince Chichibu Memorial Stadium,-1,,19,2026,15,15,Full Back,0,,0,,1001491,Katsuki Furuse,1001683,Masaki Kondo,1000990,Toshimasa Sekiya,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,W,0,,0,,
3,948855,21961,Kotaro Matsushima,5209,Tokyo Sungoliath,3.40,5.80,5,1,24,35,24,37,1,Carry,105,Restart Return,409,Tackled Ineffective,110,Neutral Gain line,462,Ineffective Contact,503,3 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,0,0,0,0,2026-05-23T05:31:18Z,1,1,1,0,0,5209,Tokyo Sungoliath,5208,BlackRams Tokyo,23/05/2026,14:30,27,10,40,35,0,0,69,Prince Chichibu Memorial Stadium,-1,,19,2026,15,15,Full Back,0,,0,,1001491,Katsuki Furuse,1001683,Masaki Kondo,1000990,Toshimasa Sekiya,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,W,36495,Ryohei Isoda,5208,BlackRams Tokyo,4
4,948855,36495,Ryohei Isoda,5208,BlackRams Tokyo,5.68,5.68,8,1,74,33,0,0,2,Tackle,142,Chase,159,Sack,0,,473,Dominant Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-05-23T05:31:20Z,1,1,1,0,0,5209,Tokyo Sungoliath,5208,BlackRams Tokyo,23/05/2026,14:30,27,10,40,35,0,0,69,Prince Chichibu Memorial Stadium,-1,,19,2026,13,13,Outside Centre,0,,0,,1001491,Katsuki Furuse,1001683,Masaki Kondo,1000990,Toshimasa Sekiya,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,L,21961,Kotaro Matsushima,5209,Tokyo Sungoliath,3
5,948855,37807,Daigo Sasagawa,5208,BlackRams Tokyo,5.72,5.72,8,1,74,33,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-05-23T05:31:20Z,1,1,1,0,0,5209,Tokyo Sungoliath,5208,BlackRams Tokyo,23/05/2026,14:30,27,10,40,35,0,0,69,Prince Chichibu Memorial Stadium,-1,,19,2026,03,3,Tighthead Prop,0,,0,,1001491,Katsuki Furuse,1001683,Masaki Kondo,1000990,Toshimasa Sekiya,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,L,21961,Kotaro Matsushima,5209,Tokyo Sungoliath,3
6,948855,17208,Liam Gill,5208,BlackRams Tokyo,5.76,5.76,8,1,74,33,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,710,3rd Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-05-23T05:31:20Z,1,1,1,0,0,5209,Tokyo Sungoliath,5208,BlackRams Tokyo,23/05/2026,14:30,27,10,40,35,0,0,69,Prince Chichibu Memorial Stadium,-1,,19,2026,08,8,Number 8,0,,0,,1001491,Katsuki Furuse,1001683,Masaki Kondo,1000990,Toshimasa Sekiya,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,L,21961,Kotaro Matsushima,5209,Tokyo Sungoliath,3
7,948855,21961,Kotaro Matsushima,5209,Tokyo Sungoliath,5.80,10.68,8,1,24,37,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,556,4-5 Seconds,664,Close Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-4,4,2026-05-23T05:31:20Z,1,1,1,0,0,5209,Tokyo Sungoliath,5208,BlackRams Tokyo,23/05/2026,14:30,27,10,40,35,0,0,69,Prince Chichibu Memorial Stadium,-1,,19,2026,15,15,Full Back,0,,0,,1001491,Katsuki Furuse,1001683,Masaki Kondo,1000990,Toshimasa Sekiya,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,W,26492,Yutaka Nagare,5209,Tokyo Sungoliath,13
8,948855,23407,Kosuke Horikoshi,5209,Tokyo Sungoliath,6.60,6.60,8,1,24,37,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-05-23T05:31:16Z,1,1,1,0,0,5209,Tokyo Sungoliath,5208,BlackRams Tokyo,23/05/2026,14:30,27,10,40,35,0,0,69,Prince Chichibu Memorial Stadium,-1,,19,2026,02,2,Hooker,0,,0,,1001491,Katsuki Furuse,1001683,Masaki Kondo,1000990,Toshimasa Sekiya,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,W,0,,0,,
9,948855,30962,Kanji Shimokawa,5209,Tokyo Sungoliath,6.88,6.88,9,1,24,37,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-05-23T05:31:16Z,1,1,1,0,0,5209,Tokyo Sungoliath,5208,BlackRams Tokyo,23/05/2026,14:30,27,10,40,35,0,0,69,Prince Chichibu Memorial Stadium,-1,,19,2026,06,6,Blindside Flanker,0,,0,,1001491,Katsuki Furuse,1001683,Masaki Kondo,1000990,Toshimasa Sekiya,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,W,0,,0,,
