ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948860,5203,,5203,Kobelco Kobe Steelers,0.00,3.72,4,1,49,33,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-06-07T06:07:29Z,0,0,0,0,0,5203,Kobelco Kobe Steelers,5204,Kubota Spears,07/06/2026,15:05,13,13,22,13,0,0,892,MUFG Stadium,-1,,22,2026,,,,0,,0,,1001491,Katsuki Furuse,1001473,Takehito Namekawa,1001500,Koki Yamauchi,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,W,0,,0,,
1,948860,19015,Bernard Foley,5204,Kubota Spears,0.00,3.72,4,1,49,33,75,38,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,26,26,5,0,2026-06-07T06:07:29Z,1,0,1,0,0,5203,Kobelco Kobe Steelers,5204,Kubota Spears,07/06/2026,15:05,13,13,22,13,0,0,892,MUFG Stadium,-1,,22,2026,10,10,Fly Half,0,,0,,1001491,Katsuki Furuse,1001473,Takehito Namekawa,1001500,Koki Yamauchi,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,L,0,,0,,
2,948860,61875,Shunsuke Uenobou,5203,Kobelco Kobe Steelers,3.72,3.72,8,1,25,30,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-06-07T06:07:32Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5204,Kubota Spears,07/06/2026,15:05,13,13,22,13,0,0,892,MUFG Stadium,-1,,22,2026,15,15,Full Back,0,,0,,1001491,Katsuki Furuse,1001473,Takehito Namekawa,1001500,Koki Yamauchi,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,W,0,,0,,
3,948860,61875,Shunsuke Uenobou,5203,Kobelco Kobe Steelers,3.72,4.36,8,1,25,30,25,29,1,Carry,105,Restart Return,409,Tackled Ineffective,111,Failed Gain line,462,Ineffective Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,0,0,0,0,2026-06-07T06:07:32Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5204,Kubota Spears,07/06/2026,15:05,13,13,22,13,0,0,892,MUFG Stadium,-1,,22,2026,15,15,Full Back,0,,0,,1001491,Katsuki Furuse,1001473,Takehito Namekawa,1001500,Koki Yamauchi,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,W,23417,Faulua Makisi,5204,Kubota Spears,4
4,948860,23417,Faulua Makisi,5204,Kubota Spears,4.00,4.00,9,1,73,39,0,0,2,Tackle,142,Chase,159,Sack,0,,473,Dominant Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2026-06-07T06:07:33Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5204,Kubota Spears,07/06/2026,15:05,13,13,22,13,0,0,892,MUFG Stadium,-1,,22,2026,08,8,Number 8,0,,0,,1001491,Katsuki Furuse,1001473,Takehito Namekawa,1001500,Koki Yamauchi,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,L,61875,Shunsuke Uenobou,5203,Kobelco Kobe Steelers,3
5,948860,61875,Shunsuke Uenobou,5203,Kobelco Kobe Steelers,4.36,9.36,9,1,25,29,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,556,4-5 Seconds,664,Close Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-9,8,2026-06-07T06:07:33Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5204,Kubota Spears,07/06/2026,15:05,13,13,22,13,0,0,892,MUFG Stadium,-1,,22,2026,15,15,Full Back,0,,0,,1001491,Katsuki Furuse,1001473,Takehito Namekawa,1001500,Koki Yamauchi,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,W,62011,Itsuki Kamimura,5203,Kobelco Kobe Steelers,10
6,948860,20064,Ardie Savea,5203,Kobelco Kobe Steelers,5.36,5.36,10,1,25,29,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-06-07T06:07:29Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5204,Kubota Spears,07/06/2026,15:05,13,13,22,13,0,0,892,MUFG Stadium,-1,,22,2026,07,7,Openside Flanker,0,,0,,1001491,Katsuki Furuse,1001473,Takehito Namekawa,1001500,Koki Yamauchi,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,W,0,,0,,
7,948860,22418,Gerard Cowley-Tuioti,5203,Kobelco Kobe Steelers,5.88,5.88,10,1,25,29,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-06-07T06:07:30Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5204,Kubota Spears,07/06/2026,15:05,13,13,22,13,0,0,892,MUFG Stadium,-1,,22,2026,05,5,Lock (5),0,,0,,1001491,Katsuki Furuse,1001473,Takehito Namekawa,1001500,Koki Yamauchi,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,W,0,,0,,
8,948860,58972,Tiennan Costley,5203,Kobelco Kobe Steelers,6.32,6.32,11,1,25,29,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2026-06-07T06:07:30Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5204,Kubota Spears,07/06/2026,15:05,13,13,22,13,0,0,892,MUFG Stadium,-1,,22,2026,06,6,Blindside Flanker,0,,0,,1001491,Katsuki Furuse,1001473,Takehito Namekawa,1001500,Koki Yamauchi,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,W,0,,0,,
9,948860,60139,Akira Ieremia,5204,Kubota Spears,6.88,6.88,11,1,76,39,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,802,Counter Ruck Attempt,0,4,0,,0,,0,,0,,0,0,0,0,2026-06-07T06:07:31Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5204,Kubota Spears,07/06/2026,15:05,13,13,22,13,0,0,892,MUFG Stadium,-1,,22,2026,06,6,Blindside Flanker,0,,0,,1001491,Katsuki Furuse,1001473,Takehito Namekawa,1001500,Koki Yamauchi,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,L,0,,0,,
