ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,949292,325,,325,Hong Kong,0.00,4.44,1,1,50,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-10-24T11:11:21Z,0,0,0,0,0,325,Hong Kong,186,Japan XV,24/10/2025,19:10,7,33,14,59,0,0,1528,Kai Tak Sports Park,-1,NA,1,2026,,,,0,,0,,1000845,Reuben Keane,1001546,Craig Chan,1000670,Shane Barr,-1,,1,Tour Match,Y,L,0,,0,,
1,949292,61969,Shinya Komura,186,Japan XV,0.00,4.44,1,1,50,35,83,59,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,33,42,26,0,2025-10-24T11:11:21Z,1,0,1,0,0,325,Hong Kong,186,Japan XV,24/10/2025,19:10,7,33,14,59,0,0,1528,Kai Tak Sports Park,-1,NA,1,2026,10,10,Fly Half,0,,0,,1000845,Reuben Keane,1001546,Craig Chan,1000670,Shane Barr,-1,,1,Tour Match,N,W,0,,0,,
2,949292,31464,Joshua Hrstich,325,Hong Kong,4.44,4.44,5,1,17,9,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-10-24T11:11:25Z,1,1,1,0,0,325,Hong Kong,186,Japan XV,24/10/2025,19:10,7,33,14,59,0,0,1528,Kai Tak Sports Park,-1,NA,1,2026,08,8,Number 8,0,,0,,1000845,Reuben Keane,1001546,Craig Chan,1000670,Shane Barr,-1,,1,Tour Match,Y,L,0,,0,,
3,949292,0,,325,Hong Kong,4.44,4.44,5,1,17,9,0,0,45,Defensive Exits,629,Carried out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,21,0,0,0,2025-10-24T11:11:25Z,1,1,1,0,0,325,Hong Kong,186,Japan XV,24/10/2025,19:10,7,33,14,59,0,0,1528,Kai Tak Sports Park,-1,NA,1,2026,,,,0,,0,,1000845,Reuben Keane,1001546,Craig Chan,1000670,Shane Barr,-1,,1,Tour Match,Y,L,0,,0,,
4,949292,31464,Joshua Hrstich,325,Hong Kong,4.44,7.40,5,1,17,9,26,2,1,Carry,105,Restart Return,122,Off Load,109,Crossed Gain line,460,Dominant Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,10,10,10,0,2025-10-24T11:11:25Z,1,1,1,0,0,325,Hong Kong,186,Japan XV,24/10/2025,19:10,7,33,14,59,0,0,1528,Kai Tak Sports Park,-1,NA,1,2026,08,8,Number 8,0,,0,,1000845,Reuben Keane,1001546,Craig Chan,1000670,Shane Barr,-1,,1,Tour Match,Y,L,61538,David Van Zeeland,186,Japan XV,8
5,949292,58487,Kazuma Ueda,186,Japan XV,5.12,5.12,6,1,84,64,0,0,2,Tackle,142,Chase,161,Missed,0,,475,Ineffective Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2025-10-24T11:11:26Z,1,1,1,0,0,325,Hong Kong,186,Japan XV,24/10/2025,19:10,7,33,14,59,0,0,1528,Kai Tak Sports Park,-1,NA,1,2026,14,14,Right Wing,0,,0,,1000845,Reuben Keane,1001546,Craig Chan,1000670,Shane Barr,-1,,1,Tour Match,N,W,31464,Joshua Hrstich,325,Hong Kong,4
6,949292,58487,Kazuma Ueda,186,Japan XV,5.12,5.12,6,1,84,64,0,0,12,Missed Tackle,163,Stepped,167,Clean Break,0,,0,,0,,713,Legs,0,,0,,0,,0,,0,0,0,0,2025-10-24T11:11:26Z,1,1,1,0,0,325,Hong Kong,186,Japan XV,24/10/2025,19:10,7,33,14,59,0,0,1528,Kai Tak Sports Park,-1,NA,1,2026,14,14,Right Wing,0,,0,,1000845,Reuben Keane,1001546,Craig Chan,1000670,Shane Barr,-1,,1,Tour Match,N,W,31464,Joshua Hrstich,325,Hong Kong,4
7,949292,31464,Joshua Hrstich,325,Hong Kong,5.40,5.40,6,1,16,4,0,0,10,Attacking Qualities,116,Defender Beaten,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-10-24T11:11:26Z,1,1,1,0,0,325,Hong Kong,186,Japan XV,24/10/2025,19:10,7,33,14,59,0,0,1528,Kai Tak Sports Park,-1,NA,1,2026,08,8,Number 8,0,,0,,1000845,Reuben Keane,1001546,Craig Chan,1000670,Shane Barr,-1,,1,Tour Match,Y,L,0,,0,,
8,949292,61538,David Van Zeeland,186,Japan XV,6.92,6.92,8,1,74,66,0,0,2,Tackle,142,Chase,155,Offload Allowed,441,Assist,475,Ineffective Tackle,709,2nd Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2025-10-24T11:11:28Z,1,1,1,0,0,325,Hong Kong,186,Japan XV,24/10/2025,19:10,7,33,14,59,0,0,1528,Kai Tak Sports Park,-1,NA,1,2026,05,5,Lock (5),0,,0,,1000845,Reuben Keane,1001546,Craig Chan,1000670,Shane Barr,-1,,1,Tour Match,N,W,31464,Joshua Hrstich,325,Hong Kong,4
9,949292,31464,Joshua Hrstich,325,Hong Kong,7.40,7.64,8,1,26,2,25,4,3,Pass,172,Break,128,Own Player,679,Short Pass,682,Right Pass,700,0th Receiver,0,,0,,0,,0,,0,,2,3,2,0,2025-10-24T11:11:28Z,1,1,1,0,0,325,Hong Kong,186,Japan XV,24/10/2025,19:10,7,33,14,59,0,0,1528,Kai Tak Sports Park,-1,NA,1,2026,08,8,Number 8,0,,0,,1000845,Reuben Keane,1001546,Craig Chan,1000670,Shane Barr,-1,,1,Tour Match,Y,L,39805,Calum Scott,325,Hong Kong,11
10,949292,31464,Joshua Hrstich,325,Hong Kong,7.48,7.48,8,1,26,2,0,0,10,Attacking Qualities,527,Break Assist,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-10-24T11:11:28Z,1,1,1,0,0,325,Hong Kong,186,Japan XV,24/10/2025,19:10,7,33,14,59,0,0,1528,Kai Tak Sports Park,-1,NA,1,2026,08,8,Number 8,0,,0,,1000845,Reuben Keane,1001546,Craig Chan,1000670,Shane Barr,-1,,1,Tour Match,Y,L,0,,0,,
11,949292,39805,Calum Scott,325,Hong Kong,7.64,7.64,8,1,25,4,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-10-24T11:11:29Z,1,1,1,0,0,325,Hong Kong,186,Japan XV,24/10/2025,19:10,7,33,14,59,0,0,1528,Kai Tak Sports Park,-1,NA,1,2026,02,2,Hooker,0,,0,,1000845,Reuben Keane,1001546,Craig Chan,1000670,Shane Barr,-1,,1,Tour Match,Y,L,0,,0,,
12,949292,39805,Calum Scott,325,Hong Kong,7.64,10.64,8,1,25,4,40,2,1,Carry,106,Support Carry,210,Penalty Won,109,Crossed Gain line,460,Dominant Contact,501,1 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,13,15,2,2,2025-10-24T11:11:29Z,1,1,1,0,0,325,Hong Kong,186,Japan XV,24/10/2025,19:10,7,33,14,59,0,0,1528,Kai Tak Sports Park,-1,NA,1,2026,02,2,Hooker,0,,0,,1000845,Reuben Keane,1001546,Craig Chan,1000670,Shane Barr,-1,,1,Tour Match,Y,L,26154,Epineri Uluiviti,186,Japan XV,14
13,949292,39805,Calum Scott,325,Hong Kong,7.96,7.96,9,1,30,3,0,0,10,Attacking Qualities,112,Initial Break,530,Line Break,749,No Points Scored,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-10-24T11:11:29Z,1,1,1,0,0,325,Hong Kong,186,Japan XV,24/10/2025,19:10,7,33,14,59,0,0,1528,Kai Tak Sports Park,-1,NA,1,2026,02,2,Hooker,0,,0,,1000845,Reuben Keane,1001546,Craig Chan,1000670,Shane Barr,-1,,1,Tour Match,Y,L,0,,0,,
14,949292,26154,Epineri Uluiviti,186,Japan XV,10.04,10.04,11,1,63,67,0,0,2,Tackle,143,Cover,157,Pen Conceded,0,,475,Ineffective Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-10-24T11:11:31Z,1,1,1,0,0,325,Hong Kong,186,Japan XV,24/10/2025,19:10,7,33,14,59,0,0,1528,Kai Tak Sports Park,-1,NA,1,2026,04,4,Lock (4),0,,0,,1000845,Reuben Keane,1001546,Craig Chan,1000670,Shane Barr,-1,,1,Tour Match,N,W,39805,Calum Scott,325,Hong Kong,12
15,949292,26154,Epineri Uluiviti,186,Japan XV,10.20,10.20,11,1,60,66,0,0,7,Penalty Conceded,228,Foul Play - High Tackle,236,No Action,215,Defence,233,Full Penalty,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-10-24T11:11:31Z,1,1,1,0,0,325,Hong Kong,186,Japan XV,24/10/2025,19:10,7,33,14,59,0,0,1528,Kai Tak Sports Park,-1,NA,1,2026,04,4,Lock (4),0,,0,,1000845,Reuben Keane,1001546,Craig Chan,1000670,Shane Barr,-1,,1,Tour Match,N,W,0,,0,,
