ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,949564,850,,850,New Zealand,0.00,4.32,6,1,49,36,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-07-04T07:12:11Z,0,0,0,0,0,850,New Zealand,650,France,04/07/2026,19:10,19,13,34,32,0,0,1611,One NZ Stadium,-1,,1,2026,,,,0,,0,,1000335,Luke Pearce,1000576,Christophe Ridley,1001491,Katsuki Furuse,1000423,Marius van der Westhuizen,114,Nations Championship,Y,W,0,,0,,
1,949564,28275,Matthieu Jalibert,650,France,0.00,4.32,6,1,49,36,82,12,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,34,42,25,0,2026-07-04T07:12:11Z,1,0,1,0,0,850,New Zealand,650,France,04/07/2026,19:10,19,13,34,32,0,0,1611,One NZ Stadium,-1,,1,2026,10,10,Fly Half,0,,0,,1000335,Luke Pearce,1000576,Christophe Ridley,1001491,Katsuki Furuse,1000423,Marius van der Westhuizen,114,Nations Championship,N,L,0,,0,,
2,949564,31486,Quinn Tupaea,850,New Zealand,4.32,4.32,10,1,18,56,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-07-04T07:12:16Z,1,1,1,0,0,850,New Zealand,650,France,04/07/2026,19:10,19,13,34,32,0,0,1611,One NZ Stadium,-1,,1,2026,13,13,Outside Centre,0,,0,,1000335,Luke Pearce,1000576,Christophe Ridley,1001491,Katsuki Furuse,1000423,Marius van der Westhuizen,114,Nations Championship,Y,W,0,,0,,
3,949564,0,,850,New Zealand,4.32,4.32,10,1,18,56,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,19,0,0,0,2026-07-04T07:12:16Z,1,1,1,0,0,850,New Zealand,650,France,04/07/2026,19:10,19,13,34,32,0,0,1611,One NZ Stadium,-1,,1,2026,,,,0,,0,,1000335,Luke Pearce,1000576,Christophe Ridley,1001491,Katsuki Furuse,1000423,Marius van der Westhuizen,114,Nations Championship,Y,W,0,,0,,
4,949564,31486,Quinn Tupaea,850,New Zealand,4.32,7.04,10,1,18,56,13,56,1,Carry,105,Restart Return,409,Tackled Ineffective,111,Failed Gain line,462,Ineffective Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,0,0,0,0,2026-07-04T07:12:16Z,1,1,1,0,0,850,New Zealand,650,France,04/07/2026,19:10,19,13,34,32,0,0,1611,One NZ Stadium,-1,,1,2026,13,13,Outside Centre,0,,0,,1000335,Luke Pearce,1000576,Christophe Ridley,1001491,Katsuki Furuse,1000423,Marius van der Westhuizen,114,Nations Championship,Y,W,56573,Theo Attissogbe,650,France,5
5,949564,56573,Theo Attissogbe,650,France,5.88,5.88,12,1,83,12,0,0,2,Tackle,142,Chase,159,Sack,0,,473,Dominant Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-07-04T07:12:17Z,1,1,1,0,0,850,New Zealand,650,France,04/07/2026,19:10,19,13,34,32,0,0,1611,One NZ Stadium,-1,,1,2026,11,11,Left Wing,0,,0,,1000335,Luke Pearce,1000576,Christophe Ridley,1001491,Katsuki Furuse,1000423,Marius van der Westhuizen,114,Nations Championship,N,L,31486,Quinn Tupaea,850,New Zealand,4
6,949564,40411,Oscar Jegou,650,France,6.32,6.32,12,1,83,12,0,0,2,Tackle,142,Chase,159,Sack,441,Assist,473,Dominant Tackle,709,2nd Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2026-07-04T07:12:18Z,1,1,1,0,0,850,New Zealand,650,France,04/07/2026,19:10,19,13,34,32,0,0,1611,One NZ Stadium,-1,,1,2026,07,7,Openside Flanker,0,,0,,1000335,Luke Pearce,1000576,Christophe Ridley,1001491,Katsuki Furuse,1000423,Marius van der Westhuizen,114,Nations Championship,N,L,31486,Quinn Tupaea,850,New Zealand,4
7,949564,31486,Quinn Tupaea,850,New Zealand,7.04,11.32,13,1,13,56,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,556,4-5 Seconds,663,Close Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-3,4,2026-07-04T07:12:18Z,1,1,1,0,0,850,New Zealand,650,France,04/07/2026,19:10,19,13,34,32,0,0,1611,One NZ Stadium,-1,,1,2026,13,13,Outside Centre,0,,0,,1000335,Luke Pearce,1000576,Christophe Ridley,1001491,Katsuki Furuse,1000423,Marius van der Westhuizen,114,Nations Championship,Y,W,37597,Cam Roigard,850,New Zealand,14
8,949564,39711,Hugo Auradou,650,France,8.24,8.24,14,1,87,12,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,802,Counter Ruck Attempt,0,1,0,,0,,0,,0,,0,0,0,0,2026-07-04T07:12:15Z,1,1,1,0,0,850,New Zealand,650,France,04/07/2026,19:10,19,13,34,32,0,0,1611,One NZ Stadium,-1,,1,2026,04,4,Lock (4),0,,0,,1000335,Luke Pearce,1000576,Christophe Ridley,1001491,Katsuki Furuse,1000423,Marius van der Westhuizen,114,Nations Championship,N,L,0,,0,,
9,949564,40411,Oscar Jegou,650,France,8.52,8.52,14,1,87,12,0,0,43,Ruck OOA,800,Other Defensive Arrival,584,Own Team 2nd Entry,604,OOA Entry 2nd Entry- Def,633,Defensive OOA,802,Counter Ruck Attempt,0,2,0,,0,,0,,0,,0,0,0,0,2026-07-04T07:12:15Z,1,1,1,0,0,850,New Zealand,650,France,04/07/2026,19:10,19,13,34,32,0,0,1611,One NZ Stadium,-1,,1,2026,07,7,Openside Flanker,0,,0,,1000335,Luke Pearce,1000576,Christophe Ridley,1001491,Katsuki Furuse,1000423,Marius van der Westhuizen,114,Nations Championship,N,L,0,,0,,
