ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,949569,800,,800,Argentina,0.00,3.48,1,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-07-04T19:12:50Z,0,0,0,0,0,800,Argentina,700,Scotland,04/07/2026,19:10,10,19,38,47,0,0,249,Estadio Mario Alberto Kempes,-1,,1,2026,,,,0,,0,,1000823,Nika Amashukeli,1000504,Paul Williams,1000666,Adam Leal,1000594,Brett Cronan,114,Nations Championship,Y,L,0,,0,,
1,949569,28237,Tomas Albornoz,800,Argentina,0.00,3.48,1,1,50,34,85,50,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,35,39,16,0,2026-07-04T19:12:50Z,1,0,1,0,0,800,Argentina,700,Scotland,04/07/2026,19:10,10,19,38,47,0,0,249,Estadio Mario Alberto Kempes,-1,,1,2026,10,10,Fly Half,0,,0,,1000823,Nika Amashukeli,1000504,Paul Williams,1000666,Adam Leal,1000594,Brett Cronan,114,Nations Championship,Y,L,0,,0,,
2,949569,21757,Rory Hutchinson,700,Scotland,3.48,3.48,4,1,15,18,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-07-04T19:12:54Z,1,1,1,0,0,800,Argentina,700,Scotland,04/07/2026,19:10,10,19,38,47,0,0,249,Estadio Mario Alberto Kempes,-1,,1,2026,13,13,Outside Centre,0,,0,,1000823,Nika Amashukeli,1000504,Paul Williams,1000666,Adam Leal,1000594,Brett Cronan,114,Nations Championship,N,W,0,,0,,
3,949569,0,,700,Scotland,3.48,3.48,4,1,15,18,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,29,0,0,0,2026-07-04T19:12:54Z,1,1,1,0,0,800,Argentina,700,Scotland,04/07/2026,19:10,10,19,38,47,0,0,249,Estadio Mario Alberto Kempes,-1,,1,2026,,,,0,,0,,1000823,Nika Amashukeli,1000504,Paul Williams,1000666,Adam Leal,1000594,Brett Cronan,114,Nations Championship,N,W,0,,0,,
4,949569,21757,Rory Hutchinson,700,Scotland,3.48,5.80,4,1,15,18,19,23,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,4,4,1,1,2026-07-04T19:12:54Z,1,1,1,0,0,800,Argentina,700,Scotland,04/07/2026,19:10,10,19,38,47,0,0,249,Estadio Mario Alberto Kempes,-1,,1,2026,13,13,Outside Centre,0,,0,,1000823,Nika Amashukeli,1000504,Paul Williams,1000666,Adam Leal,1000594,Brett Cronan,114,Nations Championship,N,W,37678,Joaquin Oviedo,800,Argentina,5
5,949569,37678,Joaquin Oviedo,800,Argentina,4.92,4.92,6,1,82,46,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-07-04T19:12:55Z,1,1,1,0,0,800,Argentina,700,Scotland,04/07/2026,19:10,10,19,38,47,0,0,249,Estadio Mario Alberto Kempes,-1,,1,2026,08,8,Number 8,0,,0,,1000823,Nika Amashukeli,1000504,Paul Williams,1000666,Adam Leal,1000594,Brett Cronan,114,Nations Championship,Y,L,21757,Rory Hutchinson,700,Scotland,4
6,949569,20776,Julian Montoya,800,Argentina,5.04,5.04,6,1,82,46,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-07-04T19:12:55Z,1,1,1,0,0,800,Argentina,700,Scotland,04/07/2026,19:10,10,19,38,47,0,0,249,Estadio Mario Alberto Kempes,-1,,1,2026,02,2,Hooker,0,,0,,1000823,Nika Amashukeli,1000504,Paul Williams,1000666,Adam Leal,1000594,Brett Cronan,114,Nations Championship,Y,L,21757,Rory Hutchinson,700,Scotland,4
7,949569,21757,Rory Hutchinson,700,Scotland,5.80,9.24,7,1,19,23,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,555,3-4 Seconds,664,Close Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,0,9,2026-07-04T19:12:56Z,1,1,1,0,0,800,Argentina,700,Scotland,04/07/2026,19:10,10,19,38,47,0,0,249,Estadio Mario Alberto Kempes,-1,,1,2026,13,13,Outside Centre,0,,0,,1000823,Nika Amashukeli,1000504,Paul Williams,1000666,Adam Leal,1000594,Brett Cronan,114,Nations Championship,N,W,23744,Ben White,700,Scotland,12
8,949569,31235,Ewan Ashman,700,Scotland,7.08,7.08,8,1,19,23,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-07-04T19:12:54Z,1,1,1,0,0,800,Argentina,700,Scotland,04/07/2026,19:10,10,19,38,47,0,0,249,Estadio Mario Alberto Kempes,-1,,1,2026,02,2,Hooker,0,,0,,1000823,Nika Amashukeli,1000504,Paul Williams,1000666,Adam Leal,1000594,Brett Cronan,114,Nations Championship,N,W,0,,0,,
9,949569,37678,Joaquin Oviedo,800,Argentina,7.60,7.60,8,1,81,45,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,802,Counter Ruck Attempt,0,2,0,,0,,0,,0,,0,0,0,0,2026-07-04T19:12:55Z,1,1,1,0,0,800,Argentina,700,Scotland,04/07/2026,19:10,10,19,38,47,0,0,249,Estadio Mario Alberto Kempes,-1,,1,2026,08,8,Number 8,0,,0,,1000823,Nika Amashukeli,1000504,Paul Williams,1000666,Adam Leal,1000594,Brett Cronan,114,Nations Championship,Y,L,0,,0,,
10,949569,26974,Matt Fagerson,700,Scotland,7.68,7.68,9,1,19,23,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2026-07-04T19:12:55Z,1,1,1,0,0,800,Argentina,700,Scotland,04/07/2026,19:10,10,19,38,47,0,0,249,Estadio Mario Alberto Kempes,-1,,1,2026,06,6,Blindside Flanker,0,,0,,1000823,Nika Amashukeli,1000504,Paul Williams,1000666,Adam Leal,1000594,Brett Cronan,114,Nations Championship,N,W,0,,0,,
11,949569,22764,Scott Cummings,700,Scotland,7.76,7.76,9,1,19,23,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,,0,4,0,,0,,0,,0,,0,0,0,0,2026-07-04T19:12:55Z,1,1,1,0,0,800,Argentina,700,Scotland,04/07/2026,19:10,10,19,38,47,0,0,249,Estadio Mario Alberto Kempes,-1,,1,2026,05,5,Lock (5),0,,0,,1000823,Nika Amashukeli,1000504,Paul Williams,1000666,Adam Leal,1000594,Brett Cronan,114,Nations Championship,N,W,0,,0,,
12,949569,23744,Ben White,700,Scotland,9.24,9.24,10,1,19,23,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-07-04T19:12:59Z,2,1,1,0,0,800,Argentina,700,Scotland,04/07/2026,19:10,10,19,38,47,0,0,249,Estadio Mario Alberto Kempes,-1,,1,2026,09,9,Scrum Half,0,,0,,1000823,Nika Amashukeli,1000504,Paul Williams,1000666,Adam Leal,1000594,Brett Cronan,114,Nations Championship,N,W,0,,0,,
13,949569,23744,Ben White,700,Scotland,9.24,9.24,10,1,19,23,0,0,47,Playmaker Options,671,Halfback at Breakdown,675,Playmaker Option - Pass,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-07-04T19:12:59Z,2,1,1,0,0,800,Argentina,700,Scotland,04/07/2026,19:10,10,19,38,47,0,0,249,Estadio Mario Alberto Kempes,-1,,1,2026,09,9,Scrum Half,0,,0,,1000823,Nika Amashukeli,1000504,Paul Williams,1000666,Adam Leal,1000594,Brett Cronan,114,Nations Championship,N,W,0,,0,,
14,949569,23744,Ben White,700,Scotland,10.00,11.56,11,1,18,23,15,28,3,Pass,169,Complete,0,,686,Medium Pass,682,Right Pass,700,0th Receiver,0,,0,,0,,0,,0,,6,6,3,0,2026-07-04T19:13:00Z,2,1,1,0,0,800,Argentina,700,Scotland,04/07/2026,19:10,10,19,38,47,0,0,249,Estadio Mario Alberto Kempes,-1,,1,2026,09,9,Scrum Half,0,,0,,1000823,Nika Amashukeli,1000504,Paul Williams,1000666,Adam Leal,1000594,Brett Cronan,114,Nations Championship,N,W,20716,Jack Dempsey,700,Scotland,15
15,949569,20716,Jack Dempsey,700,Scotland,11.56,11.56,12,1,15,28,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-07-04T19:13:02Z,2,1,1,0,0,800,Argentina,700,Scotland,04/07/2026,19:10,10,19,38,47,0,0,249,Estadio Mario Alberto Kempes,-1,,1,2026,08,8,Number 8,0,,0,,1000823,Nika Amashukeli,1000504,Paul Williams,1000666,Adam Leal,1000594,Brett Cronan,114,Nations Championship,N,W,0,,0,,
16,949569,20716,Jack Dempsey,700,Scotland,11.56,11.56,12,1,15,28,0,0,47,Playmaker Options,656,First Receiver,673,Playmaker Option - Carry,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-07-04T19:13:02Z,2,1,1,0,0,800,Argentina,700,Scotland,04/07/2026,19:10,10,19,38,47,0,0,249,Estadio Mario Alberto Kempes,-1,,1,2026,08,8,Number 8,0,,0,,1000823,Nika Amashukeli,1000504,Paul Williams,1000666,Adam Leal,1000594,Brett Cronan,114,Nations Championship,N,W,0,,0,,
17,949569,20716,Jack Dempsey,700,Scotland,11.56,12.56,12,1,15,28,20,32,1,Carry,101,One Out Drive,108,Tackled Neutral,110,Neutral Gain line,461,Neutral Contact,502,2 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,0,4,2,2,2026-07-04T19:13:02Z,2,1,1,0,0,800,Argentina,700,Scotland,04/07/2026,19:10,10,19,38,47,0,0,249,Estadio Mario Alberto Kempes,-1,,1,2026,08,8,Number 8,0,,0,,1000823,Nika Amashukeli,1000504,Paul Williams,1000666,Adam Leal,1000594,Brett Cronan,114,Nations Championship,N,W,28242,Gonzalo Garcia,800,Argentina,18
