ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,949573,100,,100,Australia,0.00,3.16,3,1,50,33,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-07-11T07:41:38Z,0,0,0,0,0,100,Australia,650,France,11/07/2026,17:40,21,12,26,42,0,0,49,Suncorp Stadium,-1,,2,2026,,,,0,,0,,1000725,Karl Dickson,1000576,Christophe Ridley,1001491,Katsuki Furuse,1000516,Andrew Jackson,114,Nations Championship,Y,L,0,,0,,
1,949573,27528,Romain Ntamack,650,France,0.00,3.16,3,1,50,33,65,61,14,Restart,281,50m Restart,284,Restart Retained,289,Short,753,Kicked Right,796,Kick Receipt Contested,0,,0,,0,,0,,0,,15,33,30,0,2026-07-11T07:41:38Z,1,1,1,0,0,100,Australia,650,France,11/07/2026,17:40,21,12,26,42,0,0,49,Suncorp Stadium,-1,,2,2026,10,10,Fly Half,0,,0,,1000725,Karl Dickson,1000576,Christophe Ridley,1001491,Katsuki Furuse,1000516,Andrew Jackson,114,Nations Championship,N,W,0,,0,,
2,949573,25507,Josh Nasser,100,Australia,2.60,2.60,6,1,39,5,0,0,40,Defensive Action,561,Aerial Kick Contest,0,,798,Kick Receipt Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-07-11T07:41:37Z,1,1,1,0,0,100,Australia,650,France,11/07/2026,17:40,21,12,26,42,0,0,49,Suncorp Stadium,-1,,2,2026,02,2,Hooker,0,,0,,1000725,Karl Dickson,1000576,Christophe Ridley,1001491,Katsuki Furuse,1000516,Andrew Jackson,114,Nations Championship,Y,L,0,,0,,
3,949573,37358,Aaron Grandidier-Nkanang,650,France,3.16,3.16,6,1,65,61,0,0,18,Collection,275,Restart Catch,277,Success,798,Kick Receipt Contested,1091,Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-07-11T07:41:41Z,1,1,1,0,0,100,Australia,650,France,11/07/2026,17:40,21,12,26,42,0,0,49,Suncorp Stadium,-1,,2,2026,11,11,Left Wing,0,,0,,1000725,Karl Dickson,1000576,Christophe Ridley,1001491,Katsuki Furuse,1000516,Andrew Jackson,114,Nations Championship,N,W,0,,0,,
4,949573,37358,Aaron Grandidier-Nkanang,650,France,3.16,4.16,6,1,65,61,68,60,1,Carry,103,Other Carry,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,4,4,0,0,2026-07-11T07:41:41Z,1,1,1,0,0,100,Australia,650,France,11/07/2026,17:40,21,12,26,42,0,0,49,Suncorp Stadium,-1,,2,2026,11,11,Left Wing,0,,0,,1000725,Karl Dickson,1000576,Christophe Ridley,1001491,Katsuki Furuse,1000516,Andrew Jackson,114,Nations Championship,N,W,32101,Jeremy Williams,100,Australia,5
5,949573,32101,Jeremy Williams,100,Australia,3.64,3.64,7,1,32,8,0,0,2,Tackle,146,Edge,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-07-11T07:41:42Z,1,1,1,0,0,100,Australia,650,France,11/07/2026,17:40,21,12,26,42,0,0,49,Suncorp Stadium,-1,,2,2026,05,5,Lock (5),0,,0,,1000725,Karl Dickson,1000576,Christophe Ridley,1001491,Katsuki Furuse,1000516,Andrew Jackson,114,Nations Championship,Y,L,37358,Aaron Grandidier-Nkanang,650,France,4
6,949573,37358,Aaron Grandidier-Nkanang,650,France,4.16,6.24,7,1,68,60,0,0,23,Ruck,0,,401,Won Outright,548,Over Previous Gainline,554,2-3 Seconds,661,Mid Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-3,11,2026-07-11T07:41:42Z,1,1,1,0,0,100,Australia,650,France,11/07/2026,17:40,21,12,26,42,0,0,49,Suncorp Stadium,-1,,2,2026,11,11,Left Wing,0,,0,,1000725,Karl Dickson,1000576,Christophe Ridley,1001491,Katsuki Furuse,1000516,Andrew Jackson,114,Nations Championship,N,W,31025,Maxime Lucu,650,France,11
7,949573,40411,Oscar Jegou,650,France,4.60,4.60,8,1,68,60,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-07-11T07:41:43Z,1,1,1,0,0,100,Australia,650,France,11/07/2026,17:40,21,12,26,42,0,0,49,Suncorp Stadium,-1,,2,2026,07,7,Openside Flanker,0,,0,,1000725,Karl Dickson,1000576,Christophe Ridley,1001491,Katsuki Furuse,1000516,Andrew Jackson,114,Nations Championship,N,W,0,,0,,
8,949573,56688,Marko Gazzotti,650,France,4.64,4.64,8,1,68,60,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-07-11T07:41:43Z,1,1,1,0,0,100,Australia,650,France,11/07/2026,17:40,21,12,26,42,0,0,49,Suncorp Stadium,-1,,2,2026,08,8,Number 8,0,,0,,1000725,Karl Dickson,1000576,Christophe Ridley,1001491,Katsuki Furuse,1000516,Andrew Jackson,114,Nations Championship,N,W,0,,0,,
9,949573,29774,Demba Bamba,650,France,5.20,5.20,8,1,68,60,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2026-07-11T07:41:43Z,1,1,1,0,0,100,Australia,650,France,11/07/2026,17:40,21,12,26,42,0,0,49,Suncorp Stadium,-1,,2,2026,03,3,Tighthead Prop,0,,0,,1000725,Karl Dickson,1000576,Christophe Ridley,1001491,Katsuki Furuse,1000516,Andrew Jackson,114,Nations Championship,N,W,0,,0,,
10,949573,24587,Florian Verhaeghe,650,France,5.24,5.24,8,1,68,60,0,0,43,Ruck OOA,574,Secured,586,Own Team 4th Entry,591,OOA Entry 4th Entry- Att,632,Attacking OOA,0,,0,4,0,,0,,0,,0,,0,0,0,0,2026-07-11T07:41:44Z,1,1,1,0,0,100,Australia,650,France,11/07/2026,17:40,21,12,26,42,0,0,49,Suncorp Stadium,-1,,2,2026,04,4,Lock (4),0,,0,,1000725,Karl Dickson,1000576,Christophe Ridley,1001491,Katsuki Furuse,1000516,Andrew Jackson,114,Nations Championship,N,W,0,,0,,
11,949573,31025,Maxime Lucu,650,France,6.24,6.24,9,1,69,60,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-07-11T07:41:45Z,2,1,1,0,0,100,Australia,650,France,11/07/2026,17:40,21,12,26,42,0,0,49,Suncorp Stadium,-1,,2,2026,09,9,Scrum Half,0,,0,,1000725,Karl Dickson,1000576,Christophe Ridley,1001491,Katsuki Furuse,1000516,Andrew Jackson,114,Nations Championship,N,W,0,,0,,
12,949573,31025,Maxime Lucu,650,France,6.24,6.24,9,1,69,60,0,0,47,Playmaker Options,671,Halfback at Breakdown,675,Playmaker Option - Pass,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-07-11T07:41:45Z,2,1,1,0,0,100,Australia,650,France,11/07/2026,17:40,21,12,26,42,0,0,49,Suncorp Stadium,-1,,2,2026,09,9,Scrum Half,0,,0,,1000725,Karl Dickson,1000576,Christophe Ridley,1001491,Katsuki Furuse,1000516,Andrew Jackson,114,Nations Championship,N,W,0,,0,,
13,949573,31025,Maxime Lucu,650,France,6.88,7.64,10,1,69,60,58,51,3,Pass,169,Complete,0,,686,Medium Pass,681,Left Pass,700,0th Receiver,0,,0,,0,,0,,0,,9,14,10,0,2026-07-11T07:41:45Z,2,1,1,0,0,100,Australia,650,France,11/07/2026,17:40,21,12,26,42,0,0,49,Suncorp Stadium,-1,,2,2026,09,9,Scrum Half,0,,0,,1000725,Karl Dickson,1000576,Christophe Ridley,1001491,Katsuki Furuse,1000516,Andrew Jackson,114,Nations Championship,N,W,25865,Moses Alo-Emile,650,France,14
14,949573,25865,Moses Alo-Emile,650,France,7.64,7.64,11,1,58,51,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-07-11T07:41:46Z,2,1,1,0,0,100,Australia,650,France,11/07/2026,17:40,21,12,26,42,0,0,49,Suncorp Stadium,-1,,2,2026,01,1,Loosehead Prop,0,,0,,1000725,Karl Dickson,1000576,Christophe Ridley,1001491,Katsuki Furuse,1000516,Andrew Jackson,114,Nations Championship,N,W,0,,0,,
15,949573,25865,Moses Alo-Emile,650,France,7.64,7.64,11,1,58,51,0,0,47,Playmaker Options,656,First Receiver,673,Playmaker Option - Carry,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-07-11T07:41:46Z,2,1,1,0,0,100,Australia,650,France,11/07/2026,17:40,21,12,26,42,0,0,49,Suncorp Stadium,-1,,2,2026,01,1,Loosehead Prop,0,,0,,1000725,Karl Dickson,1000576,Christophe Ridley,1001491,Katsuki Furuse,1000516,Andrew Jackson,114,Nations Championship,N,W,0,,0,,
16,949573,25865,Moses Alo-Emile,650,France,7.64,9.48,11,1,58,51,66,49,1,Carry,101,One Out Drive,108,Tackled Neutral,111,Failed Gain line,461,Neutral Contact,502,2 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,0,8,1,1,2026-07-11T07:41:46Z,2,1,1,0,0,100,Australia,650,France,11/07/2026,17:40,21,12,26,42,0,0,49,Suncorp Stadium,-1,,2,2026,01,1,Loosehead Prop,0,,0,,1000725,Karl Dickson,1000576,Christophe Ridley,1001491,Katsuki Furuse,1000516,Andrew Jackson,114,Nations Championship,N,W,25509,Harry Wilson,100,Australia,17
17,949573,25509,Harry Wilson,100,Australia,8.60,8.60,12,1,35,19,0,0,2,Tackle,144,Line,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-07-11T07:41:47Z,2,1,1,0,0,100,Australia,650,France,11/07/2026,17:40,21,12,26,42,0,0,49,Suncorp Stadium,-1,,2,2026,08,8,Number 8,0,,0,,1000725,Karl Dickson,1000576,Christophe Ridley,1001491,Katsuki Furuse,1000516,Andrew Jackson,114,Nations Championship,Y,L,25865,Moses Alo-Emile,650,France,16
18,949573,25683,Fraser McReight,100,Australia,8.72,8.72,12,1,35,19,0,0,2,Tackle,144,Line,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2026-07-11T07:41:47Z,2,1,1,0,0,100,Australia,650,France,11/07/2026,17:40,21,12,26,42,0,0,49,Suncorp Stadium,-1,,2,2026,07,7,Openside Flanker,0,,0,,1000725,Karl Dickson,1000576,Christophe Ridley,1001491,Katsuki Furuse,1000516,Andrew Jackson,114,Nations Championship,Y,L,25865,Moses Alo-Emile,650,France,16
19,949573,25865,Moses Alo-Emile,650,France,9.48,12.04,13,1,66,49,0,0,23,Ruck,0,,401,Won Outright,549,Behind Previous Gainline,554,2-3 Seconds,661,Mid Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,9,21,2026-07-11T07:41:48Z,2,1,1,0,0,100,Australia,650,France,11/07/2026,17:40,21,12,26,42,0,0,49,Suncorp Stadium,-1,,2,2026,01,1,Loosehead Prop,0,,0,,1000725,Karl Dickson,1000576,Christophe Ridley,1001491,Katsuki Furuse,1000516,Andrew Jackson,114,Nations Championship,N,W,31025,Maxime Lucu,650,France,22
20,949573,24578,Peato Mauvaka,650,France,10.00,10.00,13,1,66,49,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-07-11T07:41:48Z,2,1,1,0,0,100,Australia,650,France,11/07/2026,17:40,21,12,26,42,0,0,49,Suncorp Stadium,-1,,2,2026,02,2,Hooker,0,,0,,1000725,Karl Dickson,1000576,Christophe Ridley,1001491,Katsuki Furuse,1000516,Andrew Jackson,114,Nations Championship,N,W,0,,0,,
21,949573,27744,Emmanuel Meafou,650,France,10.12,10.12,13,1,66,49,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-07-11T07:41:48Z,2,1,1,0,0,100,Australia,650,France,11/07/2026,17:40,21,12,26,42,0,0,49,Suncorp Stadium,-1,,2,2026,05,5,Lock (5),0,,0,,1000725,Karl Dickson,1000576,Christophe Ridley,1001491,Katsuki Furuse,1000516,Andrew Jackson,114,Nations Championship,N,W,0,,0,,
22,949573,31025,Maxime Lucu,650,France,12.04,12.04,15,1,65,49,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-07-11T07:41:50Z,3,1,1,0,0,100,Australia,650,France,11/07/2026,17:40,21,12,26,42,0,0,49,Suncorp Stadium,-1,,2,2026,09,9,Scrum Half,0,,0,,1000725,Karl Dickson,1000576,Christophe Ridley,1001491,Katsuki Furuse,1000516,Andrew Jackson,114,Nations Championship,N,W,0,,0,,
23,949573,31025,Maxime Lucu,650,France,12.04,12.04,15,1,65,49,0,0,47,Playmaker Options,671,Halfback at Breakdown,675,Playmaker Option - Pass,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-07-11T07:41:50Z,3,1,1,0,0,100,Australia,650,France,11/07/2026,17:40,21,12,26,42,0,0,49,Suncorp Stadium,-1,,2,2026,09,9,Scrum Half,0,,0,,1000725,Karl Dickson,1000576,Christophe Ridley,1001491,Katsuki Furuse,1000516,Andrew Jackson,114,Nations Championship,N,W,0,,0,,
24,949573,31025,Maxime Lucu,650,France,12.28,13.12,15,1,65,49,60,33,3,Pass,169,Complete,0,,680,Long Pass,681,Left Pass,700,0th Receiver,0,,0,,0,,0,,0,,17,18,5,0,2026-07-11T07:41:51Z,3,1,1,0,0,100,Australia,650,France,11/07/2026,17:40,21,12,26,42,0,0,49,Suncorp Stadium,-1,,2,2026,09,9,Scrum Half,0,,0,,1000725,Karl Dickson,1000576,Christophe Ridley,1001491,Katsuki Furuse,1000516,Andrew Jackson,114,Nations Championship,N,W,39684,Lenni Nouchi,650,France,25
