ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,949622,100,,100,Australia,0.00,3.40,1,1,48,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-08-15T05:15:38Z,0,0,0,0,0,100,Australia,3000,Japan,15/08/2026,15:15,21,17,56,17,0,0,861,Queensland Country Bank Stadium,-1,,1,2027,,,,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000968,Marcus Playle,227,Glenn Newman,3,International,Y,W,0,,0,,
1,949622,31900,Carter Gordon,100,Australia,0.00,3.40,1,1,48,34,79,6,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,31,42,29,0,2026-08-15T05:15:38Z,1,0,1,0,0,100,Australia,3000,Japan,15/08/2026,15:15,21,17,56,17,0,0,861,Queensland Country Bank Stadium,-1,,1,2027,10,10,Fly Half,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000968,Marcus Playle,227,Glenn Newman,3,International,Y,W,0,,0,,
2,949622,59862,Yoshitaka Yazaki,3000,Japan,3.40,3.40,5,1,21,62,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-08-15T05:15:41Z,1,1,1,0,0,100,Australia,3000,Japan,15/08/2026,15:15,21,17,56,17,0,0,861,Queensland Country Bank Stadium,-1,,1,2027,14,14,Right Wing,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000968,Marcus Playle,227,Glenn Newman,3,International,N,L,0,,0,,
3,949622,0,,3000,Japan,3.40,3.40,5,1,21,62,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,53,0,0,0,2026-08-15T05:15:41Z,1,1,1,0,0,100,Australia,3000,Japan,15/08/2026,15:15,21,17,56,17,0,0,861,Queensland Country Bank Stadium,-1,,1,2027,,,,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000968,Marcus Playle,227,Glenn Newman,3,International,N,L,0,,0,,
4,949622,59862,Yoshitaka Yazaki,3000,Japan,3.40,5.76,5,1,21,62,22,62,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,1,1,0,0,2026-08-15T05:15:41Z,1,1,1,0,0,100,Australia,3000,Japan,15/08/2026,15:15,21,17,56,17,0,0,861,Queensland Country Bank Stadium,-1,,1,2027,14,14,Right Wing,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000968,Marcus Playle,227,Glenn Newman,3,International,N,L,30387,Harry Potter,100,Australia,5
5,949622,30387,Harry Potter,100,Australia,4.84,4.84,6,1,78,7,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-08-15T05:15:42Z,1,1,1,0,0,100,Australia,3000,Japan,15/08/2026,15:15,21,17,56,17,0,0,861,Queensland Country Bank Stadium,-1,,1,2027,11,11,Left Wing,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000968,Marcus Playle,227,Glenn Newman,3,International,Y,W,59862,Yoshitaka Yazaki,3000,Japan,4
6,949622,59862,Yoshitaka Yazaki,3000,Japan,5.76,9.72,7,1,22,62,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,555,3-4 Seconds,663,Close Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-1,9,2026-08-15T05:15:43Z,1,1,1,0,0,100,Australia,3000,Japan,15/08/2026,15:15,21,17,56,17,0,0,861,Queensland Country Bank Stadium,-1,,1,2027,14,14,Right Wing,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000968,Marcus Playle,227,Glenn Newman,3,International,N,L,25158,Naoto Saito,3000,Japan,11
7,949622,40399,Warner Dearns,3000,Japan,8.24,8.24,9,1,22,62,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-08-15T05:15:42Z,1,1,1,0,0,100,Australia,3000,Japan,15/08/2026,15:15,21,17,56,17,0,0,861,Queensland Country Bank Stadium,-1,,1,2027,05,5,Lock (5),0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000968,Marcus Playle,227,Glenn Newman,3,International,N,L,0,,0,,
8,949622,37874,Shuhei Takeuchi,3000,Japan,8.40,8.40,10,1,22,62,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-08-15T05:15:42Z,1,1,1,0,0,100,Australia,3000,Japan,15/08/2026,15:15,21,17,56,17,0,0,861,Queensland Country Bank Stadium,-1,,1,2027,03,3,Tighthead Prop,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000968,Marcus Playle,227,Glenn Newman,3,International,N,L,0,,0,,
9,949622,30387,Harry Potter,100,Australia,8.80,8.80,10,1,78,6,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,802,Counter Ruck Attempt,0,3,0,,0,,0,,0,,0,0,0,0,2026-08-15T05:15:42Z,1,1,1,0,0,100,Australia,3000,Japan,15/08/2026,15:15,21,17,56,17,0,0,861,Queensland Country Bank Stadium,-1,,1,2027,11,11,Left Wing,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000968,Marcus Playle,227,Glenn Newman,3,International,Y,W,0,,0,,
