ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,949624,800,,800,Argentina,0.00,3.64,3,1,49,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-09-05T21:10:53Z,0,0,0,0,0,800,Argentina,100,Australia,05/09/2026,21:00,14,14,28,28,0,0,256,Estadio Malvinas Argentinas,-1,,1,2027,,,,0,,0,,1000678,James Doleman,1000428,Ben O'Keeffe,1000854,Gianluca Gnecchi,227,Glenn Newman,3,International,Y,D,0,,0,,
1,949624,28238,Santiago Carreras,800,Argentina,0.00,3.64,3,1,49,34,86,61,14,Restart,281,50m Restart,285,Restart Opp Error,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,37,46,28,0,2026-09-05T21:10:53Z,1,1,1,0,0,800,Argentina,100,Australia,05/09/2026,21:00,14,14,28,28,0,0,256,Estadio Malvinas Argentinas,-1,,1,2027,15,15,Full Back,0,,0,,1000678,James Doleman,1000428,Ben O'Keeffe,1000854,Gianluca Gnecchi,227,Glenn Newman,3,International,Y,D,0,,0,,
2,949624,28868,Filipo Daugunu,100,Australia,3.64,3.64,7,1,14,7,0,0,18,Collection,275,Restart Catch,278,Fail,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-09-05T21:10:56Z,1,1,1,0,0,800,Argentina,100,Australia,05/09/2026,21:00,14,14,28,28,0,0,256,Estadio Malvinas Argentinas,-1,,1,2027,11,11,Left Wing,0,,0,,1000678,James Doleman,1000428,Ben O'Keeffe,1000854,Gianluca Gnecchi,227,Glenn Newman,3,International,N,D,0,,0,,
3,949624,28868,Filipo Daugunu,100,Australia,4.40,4.40,8,1,14,8,0,0,8,Turnover,254,Dropped Ball Unforced,678,Error on Defence,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-09-05T21:10:57Z,1,1,1,0,0,800,Argentina,100,Australia,05/09/2026,21:00,14,14,28,28,0,0,256,Estadio Malvinas Argentinas,-1,,1,2027,11,11,Left Wing,0,,0,,1000678,James Doleman,1000428,Ben O'Keeffe,1000854,Gianluca Gnecchi,227,Glenn Newman,3,International,N,D,0,,0,,
4,949624,0,,800,Argentina,0.00,5.48,9,1,49,34,86,61,15,Possession,350,50m Restart Retained,317,Scrum,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,37,0,0,0,2026-09-05T21:10:53Z,1,1,1,0,0,800,Argentina,100,Australia,05/09/2026,21:00,14,14,28,28,0,0,256,Estadio Malvinas Argentinas,-1,,1,2027,,,,0,,0,,1000678,James Doleman,1000428,Ben O'Keeffe,1000854,Gianluca Gnecchi,227,Glenn Newman,3,International,Y,D,0,,0,,
5,949624,0,,800,Argentina,0.00,5.48,9,1,49,34,86,61,26,Sequences,307,50m Restart,317,Scrum,0,,0,,0,,0,,0,,0,,0,,0,,37,0,0,0,2026-09-05T21:10:53Z,1,1,1,0,0,800,Argentina,100,Australia,05/09/2026,21:00,14,14,28,28,0,0,256,Estadio Malvinas Argentinas,-1,,1,2027,,,,0,,0,,1000678,James Doleman,1000428,Ben O'Keeffe,1000854,Gianluca Gnecchi,227,Glenn Newman,3,International,Y,D,0,,0,,
6,949624,0,,800,Argentina,39.20,42.92,43,1,14,7,0,0,17,Period,0,Period,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-09-05T21:11:32Z,1,1,1,0,0,800,Argentina,100,Australia,05/09/2026,21:00,14,14,28,28,0,0,256,Estadio Malvinas Argentinas,-1,,1,2027,,,,0,,0,,1000678,James Doleman,1000428,Ben O'Keeffe,1000854,Gianluca Gnecchi,227,Glenn Newman,3,International,Y,D,0,,0,,
7,949624,58251,Simon Benitez Cruz,800,Argentina,99.28,99.60,139,1,88,61,0,0,5,Scrum,0,,356,Won Free Kick,365,Neutral,0,,676,N/A Movement Scrum,0,,0,,0,,0,,0,,0,0,0,0,2026-09-05T21:12:32Z,1,1,2,0,0,800,Argentina,100,Australia,05/09/2026,21:00,14,14,28,28,0,0,256,Estadio Malvinas Argentinas,-1,,1,2027,09,9,Scrum Half,0,,0,,1000678,James Doleman,1000428,Ben O'Keeffe,1000854,Gianluca Gnecchi,227,Glenn Newman,3,International,Y,D,0,,0,,
8,949624,56223,Boris Wenger,800,Argentina,99.28,99.60,139,1,88,61,0,0,28,,0,,356,Won Free Kick,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-09-05T21:12:32Z,1,1,2,0,0,800,Argentina,100,Australia,05/09/2026,21:00,14,14,28,28,0,0,256,Estadio Malvinas Argentinas,-1,,1,2027,01,1,Loosehead Prop,0,,0,,1000678,James Doleman,1000428,Ben O'Keeffe,1000854,Gianluca Gnecchi,227,Glenn Newman,3,International,Y,D,0,,0,,
9,949624,34751,Ignacio Ruiz,800,Argentina,99.28,99.60,139,1,88,61,0,0,28,,0,,356,Won Free Kick,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-09-05T21:12:32Z,1,1,2,0,0,800,Argentina,100,Australia,05/09/2026,21:00,14,14,28,28,0,0,256,Estadio Malvinas Argentinas,-1,,1,2027,02,2,Hooker,0,,0,,1000678,James Doleman,1000428,Ben O'Keeffe,1000854,Gianluca Gnecchi,227,Glenn Newman,3,International,Y,D,0,,0,,
