ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,950568,186,,186,Japan XV,0.00,3.52,1,1,48,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-06-27T10:06:25Z,0,0,0,0,0,186,Japan XV,4600,Maori All Blacks,27/06/2026,19:05,24,7,31,38,0,0,1689,Paloma Mizuho Stadium,-1,,1,2026,,,,0,,0,,1000525,Sam Grove-White,1001491,Katsuki Furuse,1001490,Ibuki Tetsuka,1001500,Koki Yamauchi,1,Tour Match,Y,L,0,,0,,
1,950568,32987,Rivez Reihana,4600,Maori All Blacks,0.00,3.52,1,1,48,34,90,58,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,41,48,24,0,2026-06-27T10:06:25Z,1,0,1,0,0,186,Japan XV,4600,Maori All Blacks,27/06/2026,19:05,24,7,31,38,0,0,1689,Paloma Mizuho Stadium,-1,,1,2026,10,10,Fly Half,0,,0,,1000525,Sam Grove-White,1001491,Katsuki Furuse,1001490,Ibuki Tetsuka,1001500,Koki Yamauchi,1,Tour Match,N,W,0,,0,,
2,950568,58103,Inoke Burua,186,Japan XV,3.52,3.52,5,1,11,10,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-06-27T10:06:28Z,1,1,1,0,0,186,Japan XV,4600,Maori All Blacks,27/06/2026,19:05,24,7,31,38,0,0,1689,Paloma Mizuho Stadium,-1,,1,2026,11,11,Left Wing,0,,0,,1000525,Sam Grove-White,1001491,Katsuki Furuse,1001490,Ibuki Tetsuka,1001500,Koki Yamauchi,1,Tour Match,Y,L,0,,0,,
3,950568,0,,186,Japan XV,3.52,3.52,5,1,11,10,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,46,0,0,0,2026-06-27T10:06:28Z,1,1,1,0,0,186,Japan XV,4600,Maori All Blacks,27/06/2026,19:05,24,7,31,38,0,0,1689,Paloma Mizuho Stadium,-1,,1,2026,,,,0,,0,,1000525,Sam Grove-White,1001491,Katsuki Furuse,1001490,Ibuki Tetsuka,1001500,Koki Yamauchi,1,Tour Match,Y,L,0,,0,,
4,950568,58103,Inoke Burua,186,Japan XV,4.00,5.60,5,1,13,13,11,17,3,Pass,169,Complete,0,,679,Short Pass,682,Right Pass,700,0th Receiver,0,,0,,0,,0,,0,,4,5,2,0,2026-06-27T10:06:30Z,1,1,1,0,0,186,Japan XV,4600,Maori All Blacks,27/06/2026,19:05,24,7,31,38,0,0,1689,Paloma Mizuho Stadium,-1,,1,2026,11,11,Left Wing,0,,0,,1000525,Sam Grove-White,1001491,Katsuki Furuse,1001490,Ibuki Tetsuka,1001500,Koki Yamauchi,1,Tour Match,Y,L,30796,Waisake Raratubua,186,Japan XV,5
5,950568,30796,Waisake Raratubua,186,Japan XV,5.60,5.60,7,1,11,17,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-06-27T10:06:31Z,1,1,1,0,0,186,Japan XV,4600,Maori All Blacks,27/06/2026,19:05,24,7,31,38,0,0,1689,Paloma Mizuho Stadium,-1,,1,2026,08,8,Number 8,0,,0,,1000525,Sam Grove-White,1001491,Katsuki Furuse,1001490,Ibuki Tetsuka,1001500,Koki Yamauchi,1,Tour Match,Y,L,0,,0,,
6,950568,30796,Waisake Raratubua,186,Japan XV,5.60,7.12,7,1,11,17,14,18,1,Carry,105,Restart Return,409,Tackled Ineffective,109,Crossed Gain line,462,Ineffective Contact,502,2 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,2,4,0,0,2026-06-27T10:06:31Z,1,1,1,0,0,186,Japan XV,4600,Maori All Blacks,27/06/2026,19:05,24,7,31,38,0,0,1689,Paloma Mizuho Stadium,-1,,1,2026,08,8,Number 8,0,,0,,1000525,Sam Grove-White,1001491,Katsuki Furuse,1001490,Ibuki Tetsuka,1001500,Koki Yamauchi,1,Tour Match,Y,L,60113,Torian Barnes,4600,Maori All Blacks,7
7,950568,60113,Torian Barnes,4600,Maori All Blacks,5.76,5.76,7,1,86,51,0,0,2,Tackle,142,Chase,159,Sack,0,,473,Dominant Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-06-27T10:06:31Z,1,1,1,0,0,186,Japan XV,4600,Maori All Blacks,27/06/2026,19:05,24,7,31,38,0,0,1689,Paloma Mizuho Stadium,-1,,1,2026,08,8,Number 8,0,,0,,1000525,Sam Grove-White,1001491,Katsuki Furuse,1001490,Ibuki Tetsuka,1001500,Koki Yamauchi,1,Tour Match,N,W,30796,Waisake Raratubua,186,Japan XV,6
8,950568,23552,Marcel Renata,4600,Maori All Blacks,5.96,5.96,7,1,86,51,0,0,2,Tackle,142,Chase,159,Sack,441,Assist,473,Dominant Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-06-27T10:06:32Z,1,1,1,0,0,186,Japan XV,4600,Maori All Blacks,27/06/2026,19:05,24,7,31,38,0,0,1689,Paloma Mizuho Stadium,-1,,1,2026,03,3,Tighthead Prop,0,,0,,1000525,Sam Grove-White,1001491,Katsuki Furuse,1001490,Ibuki Tetsuka,1001500,Koki Yamauchi,1,Tour Match,N,W,30796,Waisake Raratubua,186,Japan XV,6
9,950568,30796,Waisake Raratubua,186,Japan XV,7.12,14.16,8,1,14,18,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,669,Tight Left Blindside Movement Ruck,0,,0,,0,,0,,0,,0,0,0,2,2026-06-27T10:06:33Z,1,1,1,0,0,186,Japan XV,4600,Maori All Blacks,27/06/2026,19:05,24,7,31,38,0,0,1689,Paloma Mizuho Stadium,-1,,1,2026,08,8,Number 8,0,,0,,1000525,Sam Grove-White,1001491,Katsuki Furuse,1001490,Ibuki Tetsuka,1001500,Koki Yamauchi,1,Tour Match,Y,L,62198,Takuro Hojo,186,Japan XV,14
