ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,950883,950,,950,Samoa,0.00,3.56,1,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-07-04T19:00:21Z,0,0,0,0,0,950,Samoa,325,Hong Kong China,04/07/2026,15:00,38,7,66,19,0,0,1377,Estadio Nacional Julio Martínez Prádanos,-1,,1,2026,,,,0,,0,,1000498,Angus Mabey,1000544,Jordan Way,1001366,Caua Ricardo,1000438,Tual Trainini,119,World Rugby Nations Cup,Y,W,0,,0,,
1,950883,20815,AJ Alatimu,950,Samoa,0.00,3.56,1,1,50,34,83,7,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,34,43,28,0,2026-07-04T19:00:21Z,1,0,1,0,0,950,Samoa,325,Hong Kong China,04/07/2026,15:00,38,7,66,19,0,0,1377,Estadio Nacional Julio Martínez Prádanos,-1,,1,2026,10,10,Fly Half,0,,0,,1000498,Angus Mabey,1000544,Jordan Way,1001366,Caua Ricardo,1000438,Tual Trainini,119,World Rugby Nations Cup,Y,W,0,,0,,
2,950883,40057,Pierce MacKinlay-West,325,Hong Kong China,3.56,3.56,4,1,17,61,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-07-04T19:00:24Z,1,1,1,0,0,950,Samoa,325,Hong Kong China,04/07/2026,15:00,38,7,66,19,0,0,1377,Estadio Nacional Julio Martínez Prádanos,-1,,1,2026,07,7,Openside Flanker,0,,0,,1000498,Angus Mabey,1000544,Jordan Way,1001366,Caua Ricardo,1000438,Tual Trainini,119,World Rugby Nations Cup,N,L,0,,0,,
3,950883,0,,325,Hong Kong China,3.56,3.56,4,1,17,61,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,21,0,0,0,2026-07-04T19:00:24Z,1,1,1,0,0,950,Samoa,325,Hong Kong China,04/07/2026,15:00,38,7,66,19,0,0,1377,Estadio Nacional Julio Martínez Prádanos,-1,,1,2026,,,,0,,0,,1000498,Angus Mabey,1000544,Jordan Way,1001366,Caua Ricardo,1000438,Tual Trainini,119,World Rugby Nations Cup,N,L,0,,0,,
4,950883,40057,Pierce MacKinlay-West,325,Hong Kong China,3.56,6.20,4,1,17,61,19,58,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,2,2,1,1,2026-07-04T19:00:24Z,1,1,1,0,0,950,Samoa,325,Hong Kong China,04/07/2026,15:00,38,7,66,19,0,0,1377,Estadio Nacional Julio Martínez Prádanos,-1,,1,2026,07,7,Openside Flanker,0,,0,,1000498,Angus Mabey,1000544,Jordan Way,1001366,Caua Ricardo,1000438,Tual Trainini,119,World Rugby Nations Cup,N,L,36388,Tuna Tuitama,950,Samoa,5
5,950883,36388,Tuna Tuitama,950,Samoa,5.84,5.84,6,1,82,9,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-07-04T19:00:27Z,1,1,1,0,0,950,Samoa,325,Hong Kong China,04/07/2026,15:00,38,7,66,19,0,0,1377,Estadio Nacional Julio Martínez Prádanos,-1,,1,2026,11,11,Left Wing,0,,0,,1000498,Angus Mabey,1000544,Jordan Way,1001366,Caua Ricardo,1000438,Tual Trainini,119,World Rugby Nations Cup,Y,W,40057,Pierce MacKinlay-West,325,Hong Kong China,4
6,950883,24703,Alamanda Motuga,950,Samoa,6.16,6.16,7,1,82,9,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-07-04T19:00:28Z,1,1,1,0,0,950,Samoa,325,Hong Kong China,04/07/2026,15:00,38,7,66,19,0,0,1377,Estadio Nacional Julio Martínez Prádanos,-1,,1,2026,07,7,Openside Flanker,0,,0,,1000498,Angus Mabey,1000544,Jordan Way,1001366,Caua Ricardo,1000438,Tual Trainini,119,World Rugby Nations Cup,Y,W,40057,Pierce MacKinlay-West,325,Hong Kong China,4
7,950883,40057,Pierce MacKinlay-West,325,Hong Kong China,6.20,9.00,7,1,19,58,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,554,2-3 Seconds,663,Close Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-1,5,2026-07-04T19:00:27Z,1,1,1,0,0,950,Samoa,325,Hong Kong China,04/07/2026,15:00,38,7,66,19,0,0,1377,Estadio Nacional Julio Martínez Prádanos,-1,,1,2026,07,7,Openside Flanker,0,,0,,1000498,Angus Mabey,1000544,Jordan Way,1001366,Caua Ricardo,1000438,Tual Trainini,119,World Rugby Nations Cup,N,L,56663,Jack Combes,325,Hong Kong China,11
8,950883,24703,Alamanda Motuga,950,Samoa,6.56,6.56,7,1,81,10,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,801,Jackal Attempt,0,1,0,,0,,0,,0,,0,0,0,0,2026-07-04T19:00:25Z,1,1,1,0,0,950,Samoa,325,Hong Kong China,04/07/2026,15:00,38,7,66,19,0,0,1377,Estadio Nacional Julio Martínez Prádanos,-1,,1,2026,07,7,Openside Flanker,0,,0,,1000498,Angus Mabey,1000544,Jordan Way,1001366,Caua Ricardo,1000438,Tual Trainini,119,World Rugby Nations Cup,Y,W,0,,0,,
9,950883,28263,Kyle Sullivan,325,Hong Kong China,6.84,6.84,7,1,19,58,0,0,43,Ruck OOA,572,Cleaned Out,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-07-04T19:00:25Z,1,1,1,0,0,950,Samoa,325,Hong Kong China,04/07/2026,15:00,38,7,66,19,0,0,1377,Estadio Nacional Julio Martínez Prádanos,-1,,1,2026,05,5,Lock (5),0,,0,,1000498,Angus Mabey,1000544,Jordan Way,1001366,Caua Ricardo,1000438,Tual Trainini,119,World Rugby Nations Cup,N,L,0,,0,,
