ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,950886,2950,,2950,USA,0.00,4.12,1,1,49,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-07-05T01:45:59Z,0,0,0,0,0,2950,USA,958,Portugal,04/07/2026,19:45,21,19,30,29,0,0,177,Dick's Sporting Goods Park,-1,,1,2026,,,,0,,0,,1000854,Gianluca Gnecchi,1000890,Jeremy Rozier,1001065,Robin Kaluzniak,1000664,Adam Jones,119,World Rugby Nations Cup,Y,W,0,,0,,
1,950886,23855,Samuel Marques,958,Portugal,0.00,4.12,1,1,49,34,81,56,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,32,39,23,0,2026-07-05T01:45:59Z,1,0,1,0,0,2950,USA,958,Portugal,04/07/2026,19:45,21,19,30,29,0,0,177,Dick's Sporting Goods Park,-1,,1,2026,09,9,Scrum Half,0,,0,,1000854,Gianluca Gnecchi,1000890,Jeremy Rozier,1001065,Robin Kaluzniak,1000664,Adam Jones,119,World Rugby Nations Cup,N,L,0,,0,,
2,950886,38191,Benjamin Bonasso,2950,USA,4.12,4.12,5,1,19,12,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-07-05T01:46:03Z,1,1,1,0,0,2950,USA,958,Portugal,04/07/2026,19:45,21,19,30,29,0,0,177,Dick's Sporting Goods Park,-1,,1,2026,06,6,Blindside Flanker,0,,0,,1000854,Gianluca Gnecchi,1000890,Jeremy Rozier,1001065,Robin Kaluzniak,1000664,Adam Jones,119,World Rugby Nations Cup,Y,W,0,,0,,
3,950886,0,,2950,USA,4.12,4.12,5,1,19,12,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,19,0,0,0,2026-07-05T01:46:03Z,1,1,1,0,0,2950,USA,958,Portugal,04/07/2026,19:45,21,19,30,29,0,0,177,Dick's Sporting Goods Park,-1,,1,2026,,,,0,,0,,1000854,Gianluca Gnecchi,1000890,Jeremy Rozier,1001065,Robin Kaluzniak,1000664,Adam Jones,119,World Rugby Nations Cup,Y,W,0,,0,,
4,950886,38191,Benjamin Bonasso,2950,USA,4.12,6.84,5,1,19,12,21,11,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,2,2,2,2,2026-07-05T01:46:03Z,1,1,1,0,0,2950,USA,958,Portugal,04/07/2026,19:45,21,19,30,29,0,0,177,Dick's Sporting Goods Park,-1,,1,2026,06,6,Blindside Flanker,0,,0,,1000854,Gianluca Gnecchi,1000890,Jeremy Rozier,1001065,Robin Kaluzniak,1000664,Adam Jones,119,World Rugby Nations Cup,Y,W,34371,Raffaele Storti,958,Portugal,5
5,950886,34371,Raffaele Storti,958,Portugal,5.48,5.48,7,1,81,58,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2026-07-05T01:46:05Z,1,1,1,0,0,2950,USA,958,Portugal,04/07/2026,19:45,21,19,30,29,0,0,177,Dick's Sporting Goods Park,-1,,1,2026,14,14,Right Wing,0,,0,,1000854,Gianluca Gnecchi,1000890,Jeremy Rozier,1001065,Robin Kaluzniak,1000664,Adam Jones,119,World Rugby Nations Cup,N,L,38191,Benjamin Bonasso,2950,USA,4
6,950886,24622,Tomas Appleton,958,Portugal,6.32,6.32,7,1,81,58,0,0,40,Defensive Action,560,Tackle Arrival,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-07-05T01:46:06Z,1,1,1,0,0,2950,USA,958,Portugal,04/07/2026,19:45,21,19,30,29,0,0,177,Dick's Sporting Goods Park,-1,,1,2026,12,12,Inside Centre,0,,0,,1000854,Gianluca Gnecchi,1000890,Jeremy Rozier,1001065,Robin Kaluzniak,1000664,Adam Jones,119,World Rugby Nations Cup,N,L,0,,0,,
7,950886,38191,Benjamin Bonasso,2950,USA,6.84,15.08,8,1,21,11,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,669,Tight Left Blindside Movement Ruck,0,,0,,0,,0,,0,,0,0,0,0,2026-07-05T01:46:06Z,1,1,1,0,0,2950,USA,958,Portugal,04/07/2026,19:45,21,19,30,29,0,0,177,Dick's Sporting Goods Park,-1,,1,2026,06,6,Blindside Flanker,0,,0,,1000854,Gianluca Gnecchi,1000890,Jeremy Rozier,1001065,Robin Kaluzniak,1000664,Adam Jones,119,World Rugby Nations Cup,Y,W,30203,Ruben de Haas,2950,USA,13
8,950886,36764,Joao Granate,958,Portugal,6.88,6.88,8,1,79,57,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,802,Counter Ruck Attempt,0,1,0,,0,,0,,0,,0,0,0,0,2026-07-05T01:45:58Z,1,1,1,0,0,2950,USA,958,Portugal,04/07/2026,19:45,21,19,30,29,0,0,177,Dick's Sporting Goods Park,-1,,1,2026,07,7,Openside Flanker,0,,0,,1000854,Gianluca Gnecchi,1000890,Jeremy Rozier,1001065,Robin Kaluzniak,1000664,Adam Jones,119,World Rugby Nations Cup,N,L,0,,0,,
9,950886,38080,Jack Iscaro,2950,USA,7.76,7.76,9,1,21,11,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-07-05T01:45:59Z,1,1,1,0,0,2950,USA,958,Portugal,04/07/2026,19:45,21,19,30,29,0,0,177,Dick's Sporting Goods Park,-1,,1,2026,01,1,Loosehead Prop,0,,0,,1000854,Gianluca Gnecchi,1000890,Jeremy Rozier,1001065,Robin Kaluzniak,1000664,Adam Jones,119,World Rugby Nations Cup,Y,W,0,,0,,
