ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,950889,950,,950,Samoa,0.00,3.84,0,1,50,33,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-07-11T19:00:50Z,0,0,0,0,0,950,Samoa,2850,Georgia,11/07/2026,15:00,7,16,12,33,0,0,1421,Estadio Sausalito,-1,,2,2026,,,,0,,0,,1000493,Craig Evans,1002159,Tomas Ninci,1001862,Federico Longobardi,268,Leo Colgan,119,World Rugby Nations Cup,Y,L,0,,0,,
1,950889,37753,Luka Matkava,2850,Georgia,0.00,3.84,0,1,50,33,83,59,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,33,42,26,0,2026-07-11T19:00:50Z,1,0,1,0,0,950,Samoa,2850,Georgia,11/07/2026,15:00,7,16,12,33,0,0,1421,Estadio Sausalito,-1,,2,2026,10,10,Fly Half,0,,0,,1000493,Craig Evans,1002159,Tomas Ninci,1001862,Federico Longobardi,268,Leo Colgan,119,World Rugby Nations Cup,N,W,0,,0,,
2,950889,24574,Peter Umaga-Jensen,950,Samoa,3.84,3.84,3,1,17,9,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-07-11T19:00:53Z,1,1,1,0,0,950,Samoa,2850,Georgia,11/07/2026,15:00,7,16,12,33,0,0,1421,Estadio Sausalito,-1,,2,2026,12,12,Inside Centre,0,,0,,1000493,Craig Evans,1002159,Tomas Ninci,1001862,Federico Longobardi,268,Leo Colgan,119,World Rugby Nations Cup,Y,L,0,,0,,
3,950889,0,,950,Samoa,3.84,3.84,3,1,17,9,0,0,45,Defensive Exits,629,Carried out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,59,0,0,0,2026-07-11T19:00:53Z,1,1,1,0,0,950,Samoa,2850,Georgia,11/07/2026,15:00,7,16,12,33,0,0,1421,Estadio Sausalito,-1,,2,2026,,,,0,,0,,1000493,Craig Evans,1002159,Tomas Ninci,1001862,Federico Longobardi,268,Leo Colgan,119,World Rugby Nations Cup,Y,L,0,,0,,
4,950889,24574,Peter Umaga-Jensen,950,Samoa,3.84,10.20,3,1,17,9,56,10,1,Carry,105,Restart Return,121,Pass,109,Crossed Gain line,0,,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,40,40,40,0,2026-07-11T19:00:53Z,1,1,1,0,0,950,Samoa,2850,Georgia,11/07/2026,15:00,7,16,12,33,0,0,1421,Estadio Sausalito,-1,,2,2026,12,12,Inside Centre,0,,0,,1000493,Craig Evans,1002159,Tomas Ninci,1001862,Federico Longobardi,268,Leo Colgan,119,World Rugby Nations Cup,Y,L,0,,0,,
5,950889,28307,Akaki Tabutsadze,2850,Georgia,5.04,5.04,5,1,83,59,0,0,2,Tackle,142,Chase,161,Missed,0,,475,Ineffective Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2026-07-11T19:00:54Z,1,1,1,0,0,950,Samoa,2850,Georgia,11/07/2026,15:00,7,16,12,33,0,0,1421,Estadio Sausalito,-1,,2,2026,14,14,Right Wing,0,,0,,1000493,Craig Evans,1002159,Tomas Ninci,1001862,Federico Longobardi,268,Leo Colgan,119,World Rugby Nations Cup,N,W,24574,Peter Umaga-Jensen,950,Samoa,4
6,950889,28307,Akaki Tabutsadze,2850,Georgia,5.04,5.04,5,1,83,59,0,0,12,Missed Tackle,162,Bumped Off,167,Clean Break,0,,0,,0,,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2026-07-11T19:00:54Z,1,1,1,0,0,950,Samoa,2850,Georgia,11/07/2026,15:00,7,16,12,33,0,0,1421,Estadio Sausalito,-1,,2,2026,14,14,Right Wing,0,,0,,1000493,Craig Evans,1002159,Tomas Ninci,1001862,Federico Longobardi,268,Leo Colgan,119,World Rugby Nations Cup,N,W,24574,Peter Umaga-Jensen,950,Samoa,4
7,950889,24574,Peter Umaga-Jensen,950,Samoa,5.52,5.52,5,1,17,9,0,0,10,Attacking Qualities,116,Defender Beaten,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-07-11T19:00:54Z,1,1,1,0,0,950,Samoa,2850,Georgia,11/07/2026,15:00,7,16,12,33,0,0,1421,Estadio Sausalito,-1,,2,2026,12,12,Inside Centre,0,,0,,1000493,Craig Evans,1002159,Tomas Ninci,1001862,Federico Longobardi,268,Leo Colgan,119,World Rugby Nations Cup,Y,L,0,,0,,
8,950889,24574,Peter Umaga-Jensen,950,Samoa,5.96,5.96,6,1,21,9,0,0,10,Attacking Qualities,112,Initial Break,530,Line Break,749,No Points Scored,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-07-11T19:00:55Z,1,1,1,0,0,950,Samoa,2850,Georgia,11/07/2026,15:00,7,16,12,33,0,0,1421,Estadio Sausalito,-1,,2,2026,12,12,Inside Centre,0,,0,,1000493,Craig Evans,1002159,Tomas Ninci,1001862,Federico Longobardi,268,Leo Colgan,119,World Rugby Nations Cup,Y,L,0,,0,,
9,950889,24574,Peter Umaga-Jensen,950,Samoa,10.20,11.16,10,1,56,10,55,4,3,Pass,169,Complete,0,,686,Medium Pass,681,Left Pass,700,0th Receiver,0,,0,,0,,0,,0,,6,6,1,0,2026-07-11T19:00:59Z,1,1,1,0,0,950,Samoa,2850,Georgia,11/07/2026,15:00,7,16,12,33,0,0,1421,Estadio Sausalito,-1,,2,2026,12,12,Inside Centre,0,,0,,1000493,Craig Evans,1002159,Tomas Ninci,1001862,Federico Longobardi,268,Leo Colgan,119,World Rugby Nations Cup,Y,L,55913,Manaaki Boyle-Tiatia,950,Samoa,10
10,950889,55913,Manaaki Boyle-Tiatia,950,Samoa,11.16,11.16,11,1,55,4,0,0,10,Attacking Qualities,113,Supported Break,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-07-11T19:01:00Z,1,1,1,0,0,950,Samoa,2850,Georgia,11/07/2026,15:00,7,16,12,33,0,0,1421,Estadio Sausalito,-1,,2,2026,02,2,Hooker,0,,0,,1000493,Craig Evans,1002159,Tomas Ninci,1001862,Federico Longobardi,268,Leo Colgan,119,World Rugby Nations Cup,Y,L,0,,0,,
11,950889,55913,Manaaki Boyle-Tiatia,950,Samoa,11.16,11.16,11,1,55,4,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-07-11T19:01:00Z,1,1,1,0,0,950,Samoa,2850,Georgia,11/07/2026,15:00,7,16,12,33,0,0,1421,Estadio Sausalito,-1,,2,2026,02,2,Hooker,0,,0,,1000493,Craig Evans,1002159,Tomas Ninci,1001862,Federico Longobardi,268,Leo Colgan,119,World Rugby Nations Cup,Y,L,0,,0,,
12,950889,55913,Manaaki Boyle-Tiatia,950,Samoa,11.20,11.80,11,1,61,4,61,2,3,Pass,169,Complete,0,,679,Short Pass,681,Left Pass,701,1st Receiver,0,,0,,0,,0,,0,,2,2,0,0,2026-07-11T19:01:00Z,1,1,1,0,0,950,Samoa,2850,Georgia,11/07/2026,15:00,7,16,12,33,0,0,1421,Estadio Sausalito,-1,,2,2026,02,2,Hooker,0,,0,,1000493,Craig Evans,1002159,Tomas Ninci,1001862,Federico Longobardi,268,Leo Colgan,119,World Rugby Nations Cup,Y,L,36388,Tuna Tuitama,950,Samoa,13
13,950889,36388,Tuna Tuitama,950,Samoa,11.80,11.80,11,1,61,2,0,0,10,Attacking Qualities,113,Supported Break,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-07-11T19:01:01Z,1,1,1,0,0,950,Samoa,2850,Georgia,11/07/2026,15:00,7,16,12,33,0,0,1421,Estadio Sausalito,-1,,2,2026,11,11,Left Wing,0,,0,,1000493,Craig Evans,1002159,Tomas Ninci,1001862,Federico Longobardi,268,Leo Colgan,119,World Rugby Nations Cup,Y,L,0,,0,,
14,950889,36388,Tuna Tuitama,950,Samoa,11.80,11.80,11,1,61,2,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-07-11T19:01:01Z,1,1,1,0,0,950,Samoa,2850,Georgia,11/07/2026,15:00,7,16,12,33,0,0,1421,Estadio Sausalito,-1,,2,2026,11,11,Left Wing,0,,0,,1000493,Craig Evans,1002159,Tomas Ninci,1001862,Federico Longobardi,268,Leo Colgan,119,World Rugby Nations Cup,Y,L,0,,0,,
15,950889,36388,Tuna Tuitama,950,Samoa,11.80,12.64,11,1,61,2,71,0,1,Carry,106,Support Carry,119,Error,109,Crossed Gain line,462,Ineffective Contact,501,1 Tacklers Committed,702,2nd Receiver,0,,0,,0,,0,,10,11,0,0,2026-07-11T19:01:01Z,1,1,1,0,0,950,Samoa,2850,Georgia,11/07/2026,15:00,7,16,12,33,0,0,1421,Estadio Sausalito,-1,,2,2026,11,11,Left Wing,0,,0,,1000493,Craig Evans,1002159,Tomas Ninci,1001862,Federico Longobardi,268,Leo Colgan,119,World Rugby Nations Cup,Y,L,37708,Davit Niniashvili,2850,Georgia,16
16,950889,37708,Davit Niniashvili,2850,Georgia,12.44,12.44,12,1,29,67,0,0,2,Tackle,143,Cover,154,Forced in Touch,0,,473,Dominant Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-07-11T19:01:01Z,1,1,1,0,0,950,Samoa,2850,Georgia,11/07/2026,15:00,7,16,12,33,0,0,1421,Estadio Sausalito,-1,,2,2026,15,15,Full Back,0,,0,,1000493,Craig Evans,1002159,Tomas Ninci,1001862,Federico Longobardi,268,Leo Colgan,119,World Rugby Nations Cup,N,W,36388,Tuna Tuitama,950,Samoa,15
17,950889,36388,Tuna Tuitama,950,Samoa,12.64,12.64,12,1,71,0,0,0,8,Turnover,253,Carried in Touch,677,Error on Attack,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-07-11T19:01:02Z,1,1,1,0,0,950,Samoa,2850,Georgia,11/07/2026,15:00,7,16,12,33,0,0,1421,Estadio Sausalito,-1,,2,2026,11,11,Left Wing,0,,0,,1000493,Craig Evans,1002159,Tomas Ninci,1001862,Federico Longobardi,268,Leo Colgan,119,World Rugby Nations Cup,Y,L,0,,0,,
18,950889,0,,2850,Georgia,0.00,14.24,14,1,50,33,25,68,26,Sequences,307,50m Restart,318,Turnover,0,,0,,0,,0,,0,,0,,0,,0,,-25,0,0,0,2026-07-11T19:00:50Z,1,1,1,0,0,950,Samoa,2850,Georgia,11/07/2026,15:00,7,16,12,33,0,0,1421,Estadio Sausalito,-1,,2,2026,,,,0,,0,,1000493,Craig Evans,1002159,Tomas Ninci,1001862,Federico Longobardi,268,Leo Colgan,119,World Rugby Nations Cup,N,W,0,,0,,
19,950889,0,,950,Samoa,3.84,14.24,14,1,17,9,75,0,15,Possession,307,50m Restart,318,Turnover,112,Initial Break,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,59,0,0,0,2026-07-11T19:00:53Z,1,1,1,0,0,950,Samoa,2850,Georgia,11/07/2026,15:00,7,16,12,33,0,0,1421,Estadio Sausalito,-1,,2,2026,,,,0,,0,,1000493,Craig Evans,1002159,Tomas Ninci,1001862,Federico Longobardi,268,Leo Colgan,119,World Rugby Nations Cup,Y,L,0,,0,,
20,950889,40730,Nika Sutidze,2850,Georgia,44.00,44.68,44,1,25,68,25,59,6,Lineout Throw,372,Throw Middle,376,Won Clean Catch,208,Catch and Pass,0,4+1,663,Close Left Open Movement Lineout,729,4 Players,725,Forward at Halfback (+1),0,,0,,0,,9,0,10,10,2026-07-11T19:01:33Z,1,2,2,0,0,950,Samoa,2850,Georgia,11/07/2026,15:00,7,16,12,33,0,0,1421,Estadio Sausalito,-1,,2,2026,02,2,Hooker,0,,0,,1000493,Craig Evans,1002159,Tomas Ninci,1001862,Federico Longobardi,268,Leo Colgan,119,World Rugby Nations Cup,N,W,43932,Luka Ivanishvili,2850,Georgia,21
