ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,950890,750,,750,Tonga,0.00,2.24,6,1,50,33,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-07-11T22:33:06Z,0,0,0,0,0,750,Tonga,957,Spain,11/07/2026,16:30,5,17,19,32,0,0,1542,Clarke Stadium,-1,,2,2026,,,,0,,0,,1000854,Gianluca Gnecchi,1000944,Tomas Bertazza,530,Mike Lawrenson,248,Stefano Penne,119,World Rugby Nations Cup,Y,L,0,,0,,
1,950890,37085,Patrick Pellegrini,750,Tonga,0.00,2.24,6,1,50,33,65,8,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,15,30,26,0,2026-07-11T22:33:06Z,1,0,1,0,0,750,Tonga,957,Spain,11/07/2026,16:30,5,17,19,32,0,0,1542,Clarke Stadium,-1,,2,2026,10,10,Fly Half,0,,0,,1000854,Gianluca Gnecchi,1000944,Tomas Bertazza,530,Mike Lawrenson,248,Stefano Penne,119,World Rugby Nations Cup,Y,L,0,,0,,
2,950890,57251,Jaime Manteca,957,Spain,2.24,2.24,8,1,35,60,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-07-11T22:33:08Z,1,1,1,0,0,750,Tonga,957,Spain,11/07/2026,16:30,5,17,19,32,0,0,1542,Clarke Stadium,-1,,2,2026,14,14,Right Wing,0,,0,,1000854,Gianluca Gnecchi,1000944,Tomas Bertazza,530,Mike Lawrenson,248,Stefano Penne,119,World Rugby Nations Cup,N,W,0,,0,,
3,950890,57251,Jaime Manteca,957,Spain,2.24,3.92,8,1,35,60,37,57,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,2,2,1,1,2026-07-11T22:33:08Z,1,1,1,0,0,750,Tonga,957,Spain,11/07/2026,16:30,5,17,19,32,0,0,1542,Clarke Stadium,-1,,2,2026,14,14,Right Wing,0,,0,,1000854,Gianluca Gnecchi,1000944,Tomas Bertazza,530,Mike Lawrenson,248,Stefano Penne,119,World Rugby Nations Cup,N,W,33907,John Tapueluelu,750,Tonga,4
4,950890,33907,John Tapueluelu,750,Tonga,3.08,3.08,9,1,64,10,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-07-11T22:33:09Z,1,1,1,0,0,750,Tonga,957,Spain,11/07/2026,16:30,5,17,19,32,0,0,1542,Clarke Stadium,-1,,2,2026,11,11,Left Wing,0,,0,,1000854,Gianluca Gnecchi,1000944,Tomas Bertazza,530,Mike Lawrenson,248,Stefano Penne,119,World Rugby Nations Cup,Y,L,57251,Jaime Manteca,957,Spain,3
5,950890,39310,Semisi Paea,750,Tonga,3.36,3.36,9,1,64,10,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-07-11T22:33:09Z,1,1,1,0,0,750,Tonga,957,Spain,11/07/2026,16:30,5,17,19,32,0,0,1542,Clarke Stadium,-1,,2,2026,07,7,Openside Flanker,0,,0,,1000854,Gianluca Gnecchi,1000944,Tomas Bertazza,530,Mike Lawrenson,248,Stefano Penne,119,World Rugby Nations Cup,Y,L,57251,Jaime Manteca,957,Spain,3
6,950890,57251,Jaime Manteca,957,Spain,3.92,8.80,9,1,37,57,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,556,4-5 Seconds,663,Close Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,0,6,2026-07-11T22:33:10Z,1,1,1,0,0,750,Tonga,957,Spain,11/07/2026,16:30,5,17,19,32,0,0,1542,Clarke Stadium,-1,,2,2026,14,14,Right Wing,0,,0,,1000854,Gianluca Gnecchi,1000944,Tomas Bertazza,530,Mike Lawrenson,248,Stefano Penne,119,World Rugby Nations Cup,N,W,37366,Gonzalo Lopez Bontempo,957,Spain,11
7,950890,926678,Gabriel Velez,957,Spain,4.28,4.28,10,1,37,57,0,0,43,Ruck OOA,572,Cleaned Out,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-07-11T22:33:05Z,1,1,1,0,0,750,Tonga,957,Spain,11/07/2026,16:30,5,17,19,32,0,0,1542,Clarke Stadium,-1,,2,2026,06,6,Blindside Flanker,0,,0,,1000854,Gianluca Gnecchi,1000944,Tomas Bertazza,530,Mike Lawrenson,248,Stefano Penne,119,World Rugby Nations Cup,N,W,0,,0,,
8,950890,25224,Alvar Gimeno,957,Spain,4.40,4.40,10,1,37,57,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-07-11T22:33:05Z,1,1,1,0,0,750,Tonga,957,Spain,11/07/2026,16:30,5,17,19,32,0,0,1542,Clarke Stadium,-1,,2,2026,12,12,Inside Centre,0,,0,,1000854,Gianluca Gnecchi,1000944,Tomas Bertazza,530,Mike Lawrenson,248,Stefano Penne,119,World Rugby Nations Cup,N,W,0,,0,,
9,950890,60399,Alvaro Garcia,957,Spain,5.52,5.52,11,1,37,57,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2026-07-11T22:33:06Z,1,1,1,0,0,750,Tonga,957,Spain,11/07/2026,16:30,5,17,19,32,0,0,1542,Clarke Stadium,-1,,2,2026,02,2,Hooker,0,,0,,1000854,Gianluca Gnecchi,1000944,Tomas Bertazza,530,Mike Lawrenson,248,Stefano Penne,119,World Rugby Nations Cup,N,W,0,,0,,
10,950890,56393,Imanol Urraza,957,Spain,5.96,5.96,11,1,37,57,0,0,43,Ruck OOA,574,Secured,586,Own Team 4th Entry,591,OOA Entry 4th Entry- Att,632,Attacking OOA,0,,0,4,0,,0,,0,,0,,0,0,0,0,2026-07-11T22:33:06Z,1,1,1,0,0,750,Tonga,957,Spain,11/07/2026,16:30,5,17,19,32,0,0,1542,Clarke Stadium,-1,,2,2026,04,4,Lock (4),0,,0,,1000854,Gianluca Gnecchi,1000944,Tomas Bertazza,530,Mike Lawrenson,248,Stefano Penne,119,World Rugby Nations Cup,N,W,0,,0,,
11,950890,37366,Gonzalo Lopez Bontempo,957,Spain,8.80,8.80,14,1,36,57,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-07-11T22:33:15Z,2,1,1,0,0,750,Tonga,957,Spain,11/07/2026,16:30,5,17,19,32,0,0,1542,Clarke Stadium,-1,,2,2026,10,10,Fly Half,0,,0,,1000854,Gianluca Gnecchi,1000944,Tomas Bertazza,530,Mike Lawrenson,248,Stefano Penne,119,World Rugby Nations Cup,N,W,0,,0,,
12,950890,37366,Gonzalo Lopez Bontempo,957,Spain,8.80,8.80,14,1,36,57,0,0,47,Playmaker Options,672,Acting Halfback at Breakdown,675,Playmaker Option - Pass,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-07-11T22:33:15Z,2,1,1,0,0,750,Tonga,957,Spain,11/07/2026,16:30,5,17,19,32,0,0,1542,Clarke Stadium,-1,,2,2026,10,10,Fly Half,0,,0,,1000854,Gianluca Gnecchi,1000944,Tomas Bertazza,530,Mike Lawrenson,248,Stefano Penne,119,World Rugby Nations Cup,N,W,0,,0,,
13,950890,37366,Gonzalo Lopez Bontempo,957,Spain,9.16,9.96,15,1,36,57,32,50,3,Pass,169,Complete,0,,686,Medium Pass,681,Left Pass,700,0th Receiver,0,,0,,0,,0,,0,,8,9,4,0,2026-07-11T22:33:15Z,2,1,1,0,0,750,Tonga,957,Spain,11/07/2026,16:30,5,17,19,32,0,0,1542,Clarke Stadium,-1,,2,2026,10,10,Fly Half,0,,0,,1000854,Gianluca Gnecchi,1000944,Tomas Bertazza,530,Mike Lawrenson,248,Stefano Penne,119,World Rugby Nations Cup,N,W,62111,Antonio Suarez,957,Spain,14
