ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,951126,8900,,8900,France A,0.00,3.92,0,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-06-19T16:17:09Z,0,0,0,0,0,8900,France A,70,England A,19/06/2026,18:15,14,12,35,19,0,0,245,Stade de la Rabine,-1,,1,2026,,,,0,,0,,1000854,Gianluca Gnecchi,1001830,Julien Caulier,1000705,Ludovic Carrillo,192,Philippe Bonhoure,1,Tour Match,Y,W,0,,0,,
1,951126,11041,George Ford,70,England A,0.00,3.92,0,1,50,34,76,66,14,Restart,281,50m Restart,284,Restart Retained,289,Short,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,26,42,33,0,2026-06-19T16:17:09Z,1,1,1,0,0,8900,France A,70,England A,19/06/2026,18:15,14,12,35,19,0,0,245,Stade de la Rabine,-1,,1,2026,10,10,Fly Half,0,,0,,1000854,Gianluca Gnecchi,1001830,Julien Caulier,1000705,Ludovic Carrillo,192,Philippe Bonhoure,1,Tour Match,N,L,0,,0,,
2,951126,0,,70,England A,0.00,3.92,4,1,50,34,76,66,15,Possession,350,50m Restart Retained,318,Turnover,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,26,0,0,0,2026-06-19T16:17:09Z,1,1,1,0,0,8900,France A,70,England A,19/06/2026,18:15,14,12,35,19,0,0,245,Stade de la Rabine,-1,,1,2026,,,,0,,0,,1000854,Gianluca Gnecchi,1001830,Julien Caulier,1000705,Ludovic Carrillo,192,Philippe Bonhoure,1,Tour Match,N,L,0,,0,,
3,951126,39354,Esteban Capilla,8900,France A,3.92,3.92,4,1,24,2,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-06-19T16:17:09Z,1,2,1,0,0,8900,France A,70,England A,19/06/2026,18:15,14,12,35,19,0,0,245,Stade de la Rabine,-1,,1,2026,07,7,Openside Flanker,0,,0,,1000854,Gianluca Gnecchi,1001830,Julien Caulier,1000705,Ludovic Carrillo,192,Philippe Bonhoure,1,Tour Match,Y,W,0,,0,,
4,951126,39354,Esteban Capilla,8900,France A,3.92,6.68,4,1,24,2,25,5,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,1,1,1,1,2026-06-19T16:17:12Z,1,2,1,0,0,8900,France A,70,England A,19/06/2026,18:15,14,12,35,19,0,0,245,Stade de la Rabine,-1,,1,2026,07,7,Openside Flanker,0,,0,,1000854,Gianluca Gnecchi,1001830,Julien Caulier,1000705,Ludovic Carrillo,192,Philippe Bonhoure,1,Tour Match,Y,W,25976,Ted Hill,70,England A,5
5,951126,25976,Ted Hill,70,England A,5.76,5.76,5,1,76,66,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-06-19T16:17:11Z,1,2,1,0,0,8900,France A,70,England A,19/06/2026,18:15,14,12,35,19,0,0,245,Stade de la Rabine,-1,,1,2026,06,6,Blindside Flanker,0,,0,,1000854,Gianluca Gnecchi,1001830,Julien Caulier,1000705,Ludovic Carrillo,192,Philippe Bonhoure,1,Tour Match,N,L,39354,Esteban Capilla,8900,France A,4
6,951126,39354,Esteban Capilla,8900,France A,6.68,11.00,6,1,25,5,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,556,4-5 Seconds,664,Close Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-3,8,2026-06-19T16:17:16Z,1,2,1,0,0,8900,France A,70,England A,19/06/2026,18:15,14,12,35,19,0,0,245,Stade de la Rabine,-1,,1,2026,07,7,Openside Flanker,0,,0,,1000854,Gianluca Gnecchi,1001830,Julien Caulier,1000705,Ludovic Carrillo,192,Philippe Bonhoure,1,Tour Match,Y,W,36660,Nolann Le Garrec,8900,France A,11
7,951126,35631,George Martin,70,England A,6.88,6.88,6,1,75,63,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,801,Jackal Attempt,0,1,0,,0,,0,,0,,0,0,0,0,2026-06-19T16:17:12Z,1,2,1,0,0,8900,France A,70,England A,19/06/2026,18:15,14,12,35,19,0,0,245,Stade de la Rabine,-1,,1,2026,05,5,Lock (5),0,,0,,1000854,Gianluca Gnecchi,1001830,Julien Caulier,1000705,Ludovic Carrillo,192,Philippe Bonhoure,1,Tour Match,N,L,0,,0,,
8,951126,20714,Tom Staniforth,8900,France A,7.36,7.36,7,1,25,5,0,0,43,Ruck OOA,572,Cleaned Out,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-06-19T16:17:12Z,1,2,1,0,0,8900,France A,70,England A,19/06/2026,18:15,14,12,35,19,0,0,245,Stade de la Rabine,-1,,1,2026,05,5,Lock (5),0,,0,,1000854,Gianluca Gnecchi,1001830,Julien Caulier,1000705,Ludovic Carrillo,192,Philippe Bonhoure,1,Tour Match,Y,W,0,,0,,
9,951126,56573,Theo Attissogbe,8900,France A,7.80,7.80,7,1,25,5,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2026-06-19T16:17:12Z,1,2,1,0,0,8900,France A,70,England A,19/06/2026,18:15,14,12,35,19,0,0,245,Stade de la Rabine,-1,,1,2026,15,15,Full Back,0,,0,,1000854,Gianluca Gnecchi,1001830,Julien Caulier,1000705,Ludovic Carrillo,192,Philippe Bonhoure,1,Tour Match,Y,W,0,,0,,
