ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,951845,953,,953,Canada,0.00,4.24,0,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-09-19T07:00:33Z,0,0,0,0,0,953,Canada,2950,USA,19/09/2026,16:00,12,10,19,16,0,0,69,Prince Chichibu Memorial Stadium,-1,,2,2026,,,,0,,0,,1001491,Katsuki Furuse,1001500,Koki Yamauchi,1001490,Ibuki Tetsuka,1000602,Matthew Rodden,219,Pacific Nations Cup,Y,W,0,,0,,
1,951845,33642,Cooper Coats,953,Canada,0.00,4.24,0,1,50,34,77,62,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,27,39,29,0,2026-09-19T07:00:33Z,1,0,1,0,0,953,Canada,2950,USA,19/09/2026,16:00,12,10,19,16,0,0,69,Prince Chichibu Memorial Stadium,-1,,2,2026,10,10,Fly Half,0,,0,,1001491,Katsuki Furuse,1001500,Koki Yamauchi,1001490,Ibuki Tetsuka,1000602,Matthew Rodden,219,Pacific Nations Cup,Y,W,0,,0,,
2,951845,25254,Marno Redelinghuys,2950,USA,4.24,4.24,4,1,23,6,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-09-19T07:00:37Z,1,1,1,0,0,953,Canada,2950,USA,19/09/2026,16:00,12,10,19,16,0,0,69,Prince Chichibu Memorial Stadium,-1,,2,2026,06,6,Blindside Flanker,0,,0,,1001491,Katsuki Furuse,1001500,Koki Yamauchi,1001490,Ibuki Tetsuka,1000602,Matthew Rodden,219,Pacific Nations Cup,N,L,0,,0,,
3,951845,25254,Marno Redelinghuys,2950,USA,4.24,5.44,4,1,23,6,25,6,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,2,2,1,1,2026-09-19T07:00:37Z,1,1,1,0,0,953,Canada,2950,USA,19/09/2026,16:00,12,10,19,16,0,0,69,Prince Chichibu Memorial Stadium,-1,,2,2026,06,6,Blindside Flanker,0,,0,,1001491,Katsuki Furuse,1001500,Koki Yamauchi,1001490,Ibuki Tetsuka,1000602,Matthew Rodden,219,Pacific Nations Cup,N,L,38465,Mason Flesch,953,Canada,4
4,951845,38465,Mason Flesch,953,Canada,4.72,4.72,5,1,75,61,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2026-09-19T07:00:36Z,1,1,1,0,0,953,Canada,2950,USA,19/09/2026,16:00,12,10,19,16,0,0,69,Prince Chichibu Memorial Stadium,-1,,2,2026,06,6,Blindside Flanker,0,,0,,1001491,Katsuki Furuse,1001500,Koki Yamauchi,1001490,Ibuki Tetsuka,1000602,Matthew Rodden,219,Pacific Nations Cup,Y,W,25254,Marno Redelinghuys,2950,USA,3
5,951845,901393,Kyle Tremblay,953,Canada,5.32,5.32,5,1,75,61,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-09-19T07:00:38Z,1,1,1,0,0,953,Canada,2950,USA,19/09/2026,16:00,12,10,19,16,0,0,69,Prince Chichibu Memorial Stadium,-1,,2,2026,14,14,Right Wing,0,,0,,1001491,Katsuki Furuse,1001500,Koki Yamauchi,1001490,Ibuki Tetsuka,1000602,Matthew Rodden,219,Pacific Nations Cup,Y,W,25254,Marno Redelinghuys,2950,USA,3
6,951845,25254,Marno Redelinghuys,2950,USA,5.44,11.04,5,1,25,6,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,557,5-6 Seconds,662,Mid Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-8,11,2026-09-19T07:00:38Z,1,1,1,0,0,953,Canada,2950,USA,19/09/2026,16:00,12,10,19,16,0,0,69,Prince Chichibu Memorial Stadium,-1,,2,2026,06,6,Blindside Flanker,0,,0,,1001491,Katsuki Furuse,1001500,Koki Yamauchi,1001490,Ibuki Tetsuka,1000602,Matthew Rodden,219,Pacific Nations Cup,N,L,30203,Ruben de Haas,2950,USA,11
7,951845,52991,Julian Roberts,2950,USA,6.64,6.64,6,1,25,6,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-09-19T07:00:34Z,1,1,1,0,0,953,Canada,2950,USA,19/09/2026,16:00,12,10,19,16,0,0,69,Prince Chichibu Memorial Stadium,-1,,2,2026,11,11,Left Wing,0,,0,,1001491,Katsuki Furuse,1001500,Koki Yamauchi,1001490,Ibuki Tetsuka,1000602,Matthew Rodden,219,Pacific Nations Cup,N,L,0,,0,,
8,951845,35299,Fakaosifolau Pifeleti,2950,USA,7.16,7.16,7,1,25,6,0,0,43,Ruck OOA,575,Attended,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-09-19T07:00:35Z,1,1,1,0,0,953,Canada,2950,USA,19/09/2026,16:00,12,10,19,16,0,0,69,Prince Chichibu Memorial Stadium,-1,,2,2026,01,1,Loosehead Prop,0,,0,,1001491,Katsuki Furuse,1001500,Koki Yamauchi,1001490,Ibuki Tetsuka,1000602,Matthew Rodden,219,Pacific Nations Cup,N,L,0,,0,,
9,951845,34447,Shilo Klein,2950,USA,7.88,7.88,8,1,25,6,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2026-09-19T07:00:36Z,1,1,1,0,0,953,Canada,2950,USA,19/09/2026,16:00,12,10,19,16,0,0,69,Prince Chichibu Memorial Stadium,-1,,2,2026,02,2,Hooker,0,,0,,1001491,Katsuki Furuse,1001500,Koki Yamauchi,1001490,Ibuki Tetsuka,1000602,Matthew Rodden,219,Pacific Nations Cup,N,L,0,,0,,
